,brandDrugName,originalDrugName,drugName,sponsor,properties,reviewType,yearApproval,drugId,diseaseIds,diseaseName,indication,therapeuticArea
18,Xacduro,"Sulbactam, durlobactam",SULBACTAM,Entasis,_-lactam antibacterial plus a _-lactamase inhibitor,,2023,CHEMBL403,EFO_1001865,ventilator-associated pneumonia,Hospital-acquired and ventilator-associated bacterial pneumonia caused by susceptible ABC,Other
19,Xacduro,"Sulbactam, durlobactam",DURLOBACTAM,Entasis,_-lactam antibacterial plus a _-lactamase inhibitor,,2023,CHEMBL4298137,EFO_1001865,ventilator-associated pneumonia,Hospital-acquired and ventilator-associated bacterial pneumonia caused by susceptible ABC,Other
20,Paxlovid,"Nirmatrelvir, ritonavir",NIRMATRELVIR,Pfizer,SARS-CoV-2 main protease inhibitor plus a CYP3A inhibitor,,2023,CHEMBL4802135,MONDO_0100096,COVID-19,Mild-to-moderate COVID-19,Other
21,Paxlovid,"Nirmatrelvir, ritonavir",RITONAVIR,Pfizer,SARS-CoV-2 main protease inhibitor plus a CYP3A inhibitor,,2023,CHEMBL163,MONDO_0100096,COVID-19,Mild-to-moderate COVID-19,Other
22,Posluma,Flotufolastat F18,FLOTUFOLASTAT F18,Blue Earth,Radioactive diagnostic agent,,2023,FLOTUFOLASTAT F18,MONDO_0008315,prostate cancer,PET imaging in prostate cancer,Other
23,Inpefa,Sotagliflozin,SOTAGLIFLOZIN,Lexicon,SGLT1/2 inhibitor,,2023,CHEMBL3039507,EFO_0003144,heart failure,Heart failure,Other
24,Columvi,Glofitamab,GLOFITAMAB,Genentech,CD20 _ CD3 T-cell engager,,2023,CHEMBL4298092,EFO_0000403,diffuse large B-cell lymphoma,DLBLC or large B-cell lymphoma,Oncology
25,Litfulo,Ritlecitinib,RITLECITINIB,Pfizer,JAK3 inhibitor,,2023,CHEMBL4085457,EFO_0004192,alopecia areata,Alopecia areata,Other
26,Rystiggo,Rozanolixizumab,ROZANOLIXIZUMAB,UCB,FcRn-targeted mAb,,2023,CHEMBL4297820,EFO_0004991,myasthenia gravis,AChR- or MuSK-antibody-positive gMG,Other
27,Ngenla,Somatrogon,SOMATROGON,Pfizer,Human growth hormone analogue,,2023,CHEMBL4297830,EFO_1001109,pituitary dwarfism,Growth hormone deficiency,Other
28,Beyfortus,Nirsevimab,NIRSEVIMAB,AstraZeneca,RSV F protein-targeted mAb,,2023,CHEMBL4297575,EFO_0009433,lower respiratory tract disease,RSV lower respiratory tract disease,Other
29,Vanflyta,Quizartinib,QUIZARTINIB,Daiichi Sankyo,FLT3 kinase inhibitor,,2023,CHEMBL576982,EFO_0000222,acute myeloid leukemia,AML,Oncology
30,Xdemvy,Lotilaner,LOTILANER,Tarsus,Ectoparasiticide,,2023,CHEMBL3707310,EFO_0009536,blepharitis,Demodex blepharitis,Other
31,Zurzuvae,Zuranolone,ZURANOLONE,Sage,GABAAÊreceptor PAM,,2023,CHEMBL4105630,EFO_0007453,postpartum depression,Postpartum depression,Other
32,Izervay,Avacincaptad pegol,AVACINCAPTAD PEGOL,Iveric/Astellas,C5-targeted aptamer,,2023,CHEMBL4297889,EFO_0001365,age-related macular degeneration,Geographic atrophy secondary to AMD,Other
33,Talvey,Talquetamab,TALQUETAMAB,Janssen,GPRC5D _ CD3 T-cell engager,,2023,CHEMBL4594503,EFO_0001378,multiple myeloma,Multiple myeloma,Oncology
34,Elrexfio,Elranatamab,ELRANATAMAB,Pfizer,BCMA _ CD3 T-cell engager,,2023,CHEMBL4297809,EFO_0001378,multiple myeloma,Multiple myeloma,Oncology
35,Sohonos,Palovarotene,PALOVAROTENE,Ipsen,Retinoic acid receptor agonist,,2023,CHEMBL2105648,MONDO_0007606,fibrodysplasia ossificans progressiva,Fibrodysplasia ossificans progressiva,Other
36,Veopoz,Pozelimab,POZELIMAB,Regeneron,C5-targeted mAb,,2023,CHEMBL4298086,HP_0002243,Protein-losing enteropathy,CHAPLE disease,Other
37,Aphexda,Motixafortide,MOTIXAFORTIDE,Biolinerx,CXCR4 inhibitor,,2023,CHEMBL5095030,EFO_0001378,multiple myeloma,Hematopoietic stem cell mobilization for autologous transplantation in multiple myeloma,Oncology
38,Ojjaara,Momelotinib,MOMELOTINIB,GSK,"JAK1/2, ALK2 inhibitor",,2023,CHEMBL1078178,EFO_0002430,primary myelofibrosis,Myelofibrosis in adults with anaemia,Other
39,Exxua,Gepirone,GEPIRONE,Fabre-Kramer,5HT1AÊreceptor agonist,,2023,CHEMBL284092,MONDO_0002009,major depressive disorder,Major depressive disorder,Other
40,Pombiliti,Cipaglucosidase alfa,CIPAGLUCOSIDASE ALFA,Amicus,Recombinant _-glucosidase,,2023,CHEMBL4594329,MONDO_0009290,glycogen storage disease II,Pompe disease,Other
41,Rivfloza,Nedosiran,NEDOSIRAN,Novo Nordisk,LDHA-targeted siRNA,,2023,CHEMBL4650244,MONDO_0009823,primary hyperoxaluria type 1,Primary hyperoxaluria type 1,Other
42,Velsipity,Etrasimod,ETRASIMOD,Pfizer,S1P receptor modulator,,2023,CHEMBL3358920,EFO_0000729,ulcerative colitis,Ulcerative colitis,Other
43,Zilbrysq,Zilucoplan,ZILUCOPLAN,UCB,Complement C5 inhibitor,,2023,CHEMBL4298207,EFO_0004991,myasthenia gravis,AChR-antibody positive gMG,Other
44,Bimzelx,Bimekizumab,BIMEKIZUMAB,UCB,IL-17A/F-targeted mAb,,2023,CHEMBL4297700,EFO_1001494,psoriasis vulgaris,Plaque psoriasis,Other
45,Agamree,Vamorolone,VAMOROLONE,Santhera,Corticosteroid,,2023,CHEMBL3707311,MONDO_0010679,Duchenne muscular dystrophy,Duchenne muscular dystrophy,Other
46,Omvoh,Mirikizumab,MIRIKIZUMAB,Eli Lilly,IL-23-targeted mAb,,2023,CHEMBL3990014,EFO_0000729,ulcerative colitis,Ulcerative colitis,Other
47,Loqtorzi,Toripalimab,TORIPALIMAB,Coherus,PD1-targeted mAb,,2023,CHEMBL4297843,EFO_1000058,nasopharyngeal squamous cell carcinoma,Nasopharyngeal carcinoma,Oncology
48,Fruzaqla,Fruquintinib,FRUQUINTINIB,Takeda,VEGFR1/2/3 kinase inhibitor,,2023,CHEMBL4303214,MONDO_0005575,colorectal cancer,Colorectal cancer,Oncology
49,Defencath,"Taurolidine, heparin",TAUROLIDINE,Cormedix,Thiadiazinane antimicrobial plus an anticoagulant,,2023,CHEMBL2105420,EFO_1001406,Prosthesis-Related Infections,Incidence of catheter-related bloodstream infections,Other
50,Defencath,"Taurolidine, heparin",HEPARIN,Cormedix,Thiadiazinane antimicrobial plus an anticoagulant,,2023,CHEMBL4650299,EFO_1001406,Prosthesis-Related Infections,Incidence of catheter-related bloodstream infections,Other
51,Augtyro,Repotrectinib,REPOTRECTINIB,Bristol Myers Squibb,ROS1 and TRK kinase inhibitor,,2023,CHEMBL4298138,EFO_0003060,non-small cell lung carcinoma,ROS1-positive NSCLC,Oncology
52,Ryzneuta,Efbemalenograstim alfa,EFBEMALENOGRASTIM ALFA,Evive,Recombinant leukocyte growth factor,,2023,EFBEMALENOGRASTIM ALFA,MONDO_0001475,neutropenia,Neutropenia,Other
53,Truqap,Capivasertib,CAPIVASERTIB,AstraZeneca,AKT kinase inhibitor,,2023,CHEMBL2325741,MONDO_0007254,breast cancer,Breast cancer,Oncology
54,Ogsiveo,Nirogacestat,NIROGACESTAT,Springworks,_-secretase inhibitor,,2023,CHEMBL1770916,EFO_0009907,Desmoid-type fibromatosis,Desmoid tumours,Oncology
55,Fabhalta,Iptacopan,IPTACOPAN,Novartis,Complement factor B inhibitor,,2023,CHEMBL4594448,MONDO_0100244,paroxysmal nocturnal hemoglobinuria,Paroxysmal nocturnal haemoglobinuria,Other
56,Filsuvez,Birch triterpenes,BIRCH TRITERPENES,Chiesi,Mechanism unknown,,2023,,EFO_1000690,epidermolysis bullosa,Epidermolysis bullosa,Other
57,Wainua,Eplontersen,EPLONTERSEN,Ionis/AstraZeneca,TTR-targeted ASO,,2023,CHEMBL4594334,"EFO_0009562, MONDO_0018634","polyneuropathy, hereditary amyloidosis",hATTR with polyneuropathy,Other
