,Drug_name,DrugId,Brand_name,Sponsor,Properties,Indication,Indication_curated,Indication_EFO,DiseaseId,TA,Year
44,MAFTIVIMAB,CHEMBL4298184,Inmazeb,Regeneron,Cocktail of Ebola glycoprotein-directed mAbs,Ebola virus,Ebola virus,Ebola hemorrhagic fever,EFO_0007243,,2020
45,REMDESIVIR,CHEMBL4065616,Veklury,Gilead,Nucleotide analogue RNA polymerase inhibitor,COVID-19,COVID-19,covid-19,MONDO:0100096,,2020
46,LONAFARNIB,CHEMBL298734,Zokinvy,Eiger,Farnesyltransferase inhibitor,HGPS,HGPS,hutchinson-gilford progeria syndrome,MONDO:0008310,,2020
47,LUMASIRAN,CHEMBL4297779,Oxlumo,Alnylam,HAO1-directed siRNA,Hyperoxaluria type 1,Hyperoxaluria,primary hyperoxaluria type 1,MONDO_0009823,,2020
48,NAXITAMAB,CHEMBL4297984,Danyelza,Y-mAbs Therapeutics,GD2-directed mAb,High-risk neuroblastoma,neuroblastoma,acute hepatic porphyria,ORDO:95157,,2020
49,SETMELANOTIDE,CHEMBL3301624,Imcivree,Rhythm,MC4 receptor agonist,Rare genetic diseases of obesity,obesity,schnyder corneal dystrophy;cardiac conduction defect,MONDO:0007374;EFO:1001497,,2020
50,PSMA-11 GA-68,CHEMBL4297335,NA,UCLA,Radioactive diagnostic,"Imaging, prostate cancer","Imaging, prostate cancer",NA,NA,,2020
51,BEROTRALSTAT,CHEMBL4594271,Orladeyo,BioCryst,Plasma kallikrein inhibitor,Hereditary angioedema,Hereditary angioedema,hereditary angioedema,MONDO:0019623,,2020
52,TIRBANIBULIN,CHEMBL571546,Klisyri,Athenex,Microtubule inhibitor,Actinic keratosis,Actinic keratosis,actinic keratosis,EFO:0002496,,2020
53,MARGETUXIMAB,CHEMBL2364649,Margenza,MacroGenics,HER2-directed mAb,HER2-positive breast cancer,breast cancer,migraine disorder,MONDO:0005277,,2020
54,RELUGOLIX,CHEMBL1800159,Orgovyx,Myovant Sciences,GnRH receptor antagonist,Prostate cancer,Prostate cancer,prostate cancer,MONDO:0008315,,2020
55,ANSUVIMAB,CHEMBL4594388,Ebanga,Ridgeback,Ebola glycoprotein-directed mAb,Ebola virus,Ebola virus,Ebola hemorrhagic fever,EFO_0007243,,2020
56,VIBEGRON,CHEMBL2107826,Gemtesa,Urovant Sciences,β3-adrenoceptor agonist,Overactive bladder,Overactive bladder,overactive bladder,EFO:1000781,,2020
57,PRABOTULINUMTOXINA,CHEMBL4297229,Jeuveau,Evolus,Acetylcholine release inhibitor and a neuromuscular blocking agent,Glabellar lines associated with corrugator and/or procerus muscle activity,Glabellar lines,Facial wrinkling,HP_0009762,,2019
58,CAPLACIZUMAB,CHEMBL2109624,Cablivi,Sanofi/Ablynx,vWF-directed nanobody,ATTP,Acquired thrombotic thrombocytopenic purpura,cystic fibrosis,MONDO:0009061,,2019
59,TRICLABENDAZOLE,CHEMBL1086440,Egaten,Novartis,Anthelmintic,Fascioliasis,Fascioliasis,fascioliasis,EFO:1001324,,2019
60,BREXANOLONE,CHEMBL207538,Zulresso,Sage Therapeutics,GABAA receptor-positive modulator,Postpartum depression,Postpartum depression,postpartum depression,EFO:0007453,,2019
61,SOLRIAMFETOL,CHEMBL4297620,Sunosi,Jazz,Dopamine and noradrenaline reuptake inhibitor,Excessive sleepiness due to narcolepsy or obstructive sleep apnoea,obstructive sleep apnoea,narcolepsy,MONDO_0021107,,2019
62,SIPONIMOD,CHEMBL2336071,Mayzent,Novartis,S1P receptor modulator,Relapsing forms of multiple sclerosis,multiple sclerosis,migraine disorder,MONDO:0005277,,2019
63,ROMOSOZUMAB,CHEMBL2107874,Evenity,Amgen,Sclerostin inhibitor,Osteoporosis,Osteoporosis,osteoporosis,EFO:0003882,,2019
64,ERDAFITINIB,CHEMBL3545376,Balversa,Janssen /J&J,FGFR inhibitor,Bladder cancer,Bladder cancer,urinary bladder carcinoma,MONDO:0004986,,2019
65,RISANKIZUMAB,CHEMBL3990029,Skyrizi,AbbVie,IL-23 antagonist,Plaque psoriasis,Plaque psoriasis,psoriasis vulgaris,EFO:1001494,,2019
66,TAFAMIDIS,CHEMBL2103837,Vyndaqel,Pfizer/Foldrx,Transthyretin stabilizer,Heart disease caused by ATTR-CM,transthyretin amyloidosis,rheumatoid arthritis,EFO:0000685,,2019
67,ALPELISIB,CHEMBL2396661,Piqray,Novartis,PI3K inhibitor,Breast cancer,Breast cancer,breast cancer,MONDO:0007254,,2019
68,POLATUZUMAB VEDOTIN,CHEMBL3301582,Polivy,Roche,CD79b-directed ADC,Diffuse large B-cell lymphoma,Diffuse large B-cell lymphoma,diffuse large b-cell lymphoma,EFO:0000403,,2019
69,BREMELANOTIDE,CHEMBL2070241,Vyleesi,Amag,Melanocortin receptor agonist,Hypoactive sexual desire disorder,sexual desire ,sexual dysfunction,EFO_0004714,,2019
70,SELINEXOR,CHEMBL3545185,Xpovio,Karyopharm Therapeutics,XPO1 inhibitor,Multiple myeloma,Multiple myeloma,multiple myeloma,EFO:0001378,,2019
71,CILASTATIN,CHEMBL766,Recarbrio,Merck & Co.,"A renal dehydropeptidase inhibitor, a penem antibacterial and a β-lactamase inhibitor",Complicated urinary tract and complicated intra-abdominal infections,intra-abdominal infections,NA,NA,,2019
72,IMIPENEM,CHEMBL43708,Recarbrio,Merck & Co.,"A renal dehydropeptidase inhibitor, a penem antibacterial and a β-lactamase inhibitor",Complicated urinary tract and complicated intra-abdominal infections,intra-abdominal infections,NA,NA,,2019
73,IMIPENEM,CHEMBL148,Recarbrio,Merck & Co.,"A renal dehydropeptidase inhibitor, a penem antibacterial and a β-lactamase inhibitor",Complicated urinary tract and complicated intra-abdominal infections,intra-abdominal infections,NA,NA,,2019
74,RELEBACTAM,CHEMBL3301605,Recarbrio,Merck & Co.,"A renal dehydropeptidase inhibitor, a penem antibacterial and a β-lactamase inhibitor",Complicated urinary tract and complicated intra-abdominal infections,intra-abdominal infections,NA,NA,,2019
75,RELEBACTAM,CHEMBL3112741,Recarbrio,Merck & Co.,"A renal dehydropeptidase inhibitor, a penem antibacterial and a β-lactamase inhibitor",Complicated urinary tract and complicated intra-abdominal infections,intra-abdominal infections,NA,NA,,2019
76,FERRIC MALTOL,CHEMBL4298110,Accrufer,Shield Therapeutics,Iron replacement product,Iron deficiency anaemia,Iron deficiency anaemia,iron deficiency anemia,HP:0001891,,2019
77,DAROLUTAMIDE,CHEMBL4297185,Nubeqa,Bayer,Androgen receptor inhibitor,Prostate cancer,Prostate cancer,prostate cancer,MONDO:0008315,,2019
78,PEXIDARTINIB,CHEMBL3813873,Turalio,Daiichi Sankyo,"CSF1R, KIT and FLT3 inhibitor",Tenosynovial giant cell tumour,cell tumour,Tenosynovial Giant Cell Tumor,EFO_1000562,,2019
79,PITOLISANT,CHEMBL462605,Wakix,Harmony,H3 receptor antagonist/inverse agonist,Excessive sleepiness due to narcolepsy,Excessive sleepiness,narcolepsy,MONDO_0021107,,2019
80,PRETOMANID,CHEMBL227875,Pretomanid,Pfizer/Mylan,Antimycobacterial,Tuberculosis,Tuberculosis,tuberculosis,MONDO:0018076,,2019
81,ENTRECTINIB,CHEMBL1983268,Rozlytrek,Roche,"TRKA, TRKB, TRKC, ROS1 and ALK inhibitor",NTRK fusion-positive solid tumours and ROS1-positive NSCLC,NSCLC,blastic plasmacytoid dendritic cell neoplasm,EFO:0010580,,2019
82,UPADACITINIB,CHEMBL3622821,Rinvoq,AbbVie,JAK inhibitor,Rheumatoid arthritis,Rheumatoid arthritis,rheumatoid arthritis,EFO:0000685,,2019
83,FEDRATINIB,CHEMBL1287853,Inrebic,Celgene/BMS,JAK2 and FLT3 inhibitor,Myelofibrosis,Myelofibrosis,myelofibrosis;myelofibrosis,HP:0011974;MONDO:0044903,,2019
84,LEFAMULIN,CHEMBL3291398,Xenleta,Nabriva,Pleuromutilin antibacterial,CABP,Community-acquired bacterial pneumonia,bacterial pneumonia,EFO_1001272,,2019
85,GALLIUM DOTATOC GA-68,CHEMBL4297340,NA,UIHC PET Imaging Center,Radioactive diagnostic,Localization of somatostatin receptor-positive neuroendocrine tumours,neuroendocrine tumours,neuroendocrine neoplasm,EFO_1001901,,2019
86,ISTRADEFYLLINE,CHEMBL431770,Nourianz,Kyowa Kirin,Adenosine receptor antagonist,Parkinson disease episodes,Parkinson disease,parkinson disease,MONDO:0005180,,2019
87,TENAPANOR,CHEMBL3304485,Ibsrela,Ardelyx,NHE3 inhibitor,IBS with constipation,IBS-C,irritable bowel syndrome,EFO_0000555,,2019
88,TRIFAROTENE,CHEMBL3707313,Aklief,Galderma,Retinoic acid receptor agonist,Acne vulgaris,Acne vulgaris,acne,EFO:0003894,,2019
89,BROLUCIZUMAB,CHEMBL3707357,Beovu,Novartis,VEGF inhibitor,Wet age-related macular degeneration,macular degeneration,wet macular degeneration,EFO_0004683,,2019
90,AFAMELANOTIDE,CHEMBL441738,Scenesse,Clinuvel,Melanocortin 1 receptor agonist,Erythropoietic protoporphyria,Erythropoietic protoporphyria,erythropoietic protoporphyria,MONDO:0001676,,2019
91,FLUORODOPA F-18,CHEMBL3400972,NA,Feinstein Institutes,Radioactive diagnostic,Diagnosis of parkinsonian syndromes,parkinsonian syndromes,parkinsonian disorder,MONDO_0021095,,2019
92,LASMIDITAN,CHEMBL3039520,Reyvow,Eli Lilly,Serotonin (5-HT) 1F receptor agonist,Migraine with or without aura,Migraine with or without aura,migraine disorder,MONDO:0005277,,2019
93,TEZACAFTOR,CHEMBL3544914,Trikafta,Vertex,Two CFTR correctors and a CFTR potentiator,Most common gene mutation that causes cystic fibrosis,cystic fibrosis,cystic fibrosis,MONDO:0009061,,2019
94,ELEXACAFTOR,CHEMBL4298128,Trikafta,Vertex,Two CFTR correctors and a CFTR potentiator,Most common gene mutation that causes cystic fibrosis,cystic fibrosis,cystic fibrosis,MONDO:0009061,,2019
95,IVACAFTOR,CHEMBL2010601,Trikafta,Vertex,Two CFTR correctors and a CFTR potentiator,Most common gene mutation that causes cystic fibrosis,cystic fibrosis,cystic fibrosis,MONDO:0009061,,2019
96,AIR POLYMER-TYPE A,CHEMBL4594264,ExEm Foam,Giskit,Ultrasound contrast agent,Assess fallopian tube patency in women with known or suspected infertility,fallopian tube patency,infertility,EFO_0000545,,2019
97,LUSPATERCEPT,CHEMBL3039545,Reblozyl,Celgene/BMS,Erythroid maturation agent,Anaemia in beta thalassemia,Anaemia ,anemia,MONDO_0002280,,2019
98,CEFIDEROCOL,CHEMBL3989974,Fetroja,Shionogi,Cephalosporin antibacterial,Complicated urinary tract infections,urinary tract infections,urinary tract infection,EFO:0003103,,2019
99,ZANUBRUTINIB,CHEMBL3936761,Brukinsa,BeiGene,BTK inhibitor,Mantle cell lymphoma,Mantle cell lymphoma,mantle cell lymphoma,EFO:1001469,,2019
100,CRIZANLIZUMAB,CHEMBL4297734,Adakveo,Novartis,P-selectin blocker,Painful complications of SCD,Sickle cell disease,sickle cell anemia,MONDO:0011382,,2019
101,GIVOSIRAN,CHEMBL4297760,Givlaari,Alnylam,ALAS1-directed siRNA,Acute hepatic porphyria,Acute hepatic porphyria,acute hepatic porphyria,ORDO:95157,,2019
102,CENOBAMATE,CHEMBL3989949,Xcopri,SK Life Science,Unknown,Partial onset seizures,seizures,seizure,HP:0001250,,2019
103,VOXELOTOR,CHEMBL4101807,Oxbryta,Global Blood Therapeutics,Haemoglobin S polymerization inhibitor,SCD,SCD,schnyder corneal dystrophy;cardiac conduction defect,MONDO:0007374;EFO:1001497,,2019
104,GOLODIRSEN,CHEMBL4297762,Vyondys 53,Sarepta,Exon 53 skipping antisense,Duchenne muscular dystrophy,Duchenne muscular dystrophy,duchenne muscular dystrophy,MONDO:0010679,,2019
105,ENFORTUMAB VEDOTIN,CHEMBL3301589,Padcev,Astellas,Nectin-4-directed ADC,Urothelial cancers,Bladder Cancer,urinary bladder carcinoma,MONDO:0004986,,2019
106,BRILLIANT BLUE G,CHEMBL4173394,Tissueblue,Dutch Ophthalmic Research,Brilliant Blue G dye,Staining the internal limiting membrane,Staining the internal limiting membrane,NA,NA,,2019
107,LEMBOREXANT,CHEMBL3545367,Dayvigo,Eisai,Orexin receptor antagonist,Insomnia,Insomnia,insomnia,EFO:0004698,,2019
108,TRASTUZUMAB DERUXTECAN,CHEMBL4297844,Enhertu,Daiichi Sankyo/AstraZeneca,HER2-directed ADC,HER2-positive breast cancer,breast cancer,HER2 Positive Breast Carcinoma,EFO_1000294,,2019
109,LUMATEPERONE,CHEMBL3306803,Caplyta,Intra-Cellular Therapies,Atypical antipsychotic,Schizophrenia,Schizophrenia,schizophrenia,MONDO:0005090,,2019
110,UBROGEPANT,CHEMBL2364638,Ubrelvy,Allergan,CGRP receptor antagonist,Migraine with or without aura,Migraine with or without aura,migraine disorder,MONDO:0005277,,2019
111,LUTETIUM LU 177 DOTATATE,CHEMBL3989924,Lutathera,Advanced Accelerator Applications/Novartis,Somatostatin receptor-targeted radiopharmaceutical,GEP-NETs,Gastro entero pancreatic neuroendocrine tumors,pancreatic neuroendocrine tumor,EFO_1000045,,2018
112,BICTEGRAVIR,CHEMBL3989866,Biktarvy,Gilead Sciences,HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors,HIV,HIV,hiv infection,EFO:0000764,,2018
113,EMTRICITABINE,CHEMBL885,Biktarvy,Gilead Sciences,HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors,HIV,HIV,hiv infection,EFO:0000764,,2018
114,TENOFOVIR ALAFENAMIDE,CHEMBL2107825,Biktarvy,Gilead Sciences,HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors,HIV,HIV,hiv infection,EFO:0000764,,2018
115,TEZACAFTOR,CHEMBL3544914,Symdeko,Vertex Pharmaceuticals,CFTR corrector and CFTR potentiator,Cystic fibrosis,Cystic fibrosis,cystic fibrosis,MONDO:0009061,,2018
116,IVACAFTOR,CHEMBL2010601,Symdeko,Vertex Pharmaceuticals,CFTR corrector and CFTR potentiator,Cystic fibrosis,Cystic fibrosis,cystic fibrosis,MONDO:0009061,,2018
117,APALUTAMIDE,CHEMBL3183409,Erleada,Johnson & Johnson,Androgen receptor inhibitor,Prostate cancer,Prostate cancer,prostate cancer,MONDO:0008315,,2018
118,IBALIZUMAB,CHEMBL1743029,Trogarzo,TaiMed Biologics/Theratechnologies,CD4 antibody,HIV,HIV,hiv infection,EFO:0000764,,2018
119,TILDRAKIZUMAB,CHEMBL2108681,Ilumya,Sun Pharma,IL-23 antibody,Plaque psoriasis,Plaque psoriasis,psoriasis vulgaris,EFO:1001494,,2018
120,FOSTAMATINIB,CHEMBL2103830,Tavalisse,Rigel Pharmaceuticals,SYK inhibitor,Immune thrombocytopenic purpura,thrombocytopenic purpura,autoimmune thrombocytopenic purpura,EFO_0007160,,2018
121,BUROSUMAB,CHEMBL3707326,Crysvita,Ultragenyx Pharmaceutical/Kyowa Hakko Kirin,FGF23 antibody,X-linked hypophosphataemia,hypophosphataemia,hypophosphatemia,HP:0002148,,2018
122,PALONOSETRON,CHEMBL1189679,Akynzeo IV,Helsinn Group,5-HT3 receptor antagonist and NK1 receptor antagonist,Chemotherapy-induced emesis,emesis,Chemotherapy-induced nausea and vomiting,EFO_0006911,,2018
123,FOSNETUPITANT,CHEMBL3989917,Akynzeo IV,Helsinn Group,5-HT3 receptor antagonist and NK1 receptor antagonist,Chemotherapy-induced emesis,emesis,Chemotherapy-induced nausea and vomiting,EFO_0006911,,2018
124,LOFEXIDINE,CHEMBL17860,Lucemyra,US WorldMeds,α2-adrenoceptor agonist,Opioid withdrawal,opioid dependence,opioid dependence,EFO:0005611,,2018
125,ERENUMAB,CHEMBL3833329,Aimovig,Amgen/Novartis,CGRP receptor antibody,Migraine,Migraine,migraine disorder,MONDO:0005277,,2018
126,SODIUM ZIRCONIUM CYCLOSILICATE,CHEMBL3301592,Lokelma,AstraZeneca,Potassium binder,Hyperkalaemia,Hyperkalaemia,hyperkalemia,HP:0002153,,2018
127,AVATROMBOPAG,CHEMBL2103883,Doptelet,Dova Pharmaceuticals,Thrombopoietin receptor agonist,Thrombocytopenia,Thrombocytopenia,thrombocytopenia,HP:0001873,,2018
128,PEGVALIASE,CHEMBL4297802,Palynziq,BioMarin Pharmaceutical,PAL replacement therapy,Phenylketonuria,Phenylketonuria,phenylketonuria,MONDO:0009861,,2018
129,BARICITINIB,CHEMBL2105759,Olumiant,Incyte/Eli Lilly,JAK inhibitor,Rheumatoid arthritis,Rheumatoid arthritis,rheumatoid arthritis,EFO:0000685,,2018
130,MOXIDECTIN,CHEMBL2104415,NA,Medicines Development for Global Health,Antihelmintic GABA receptor and glutamate channel modulator,River blindness,River blindness,ocular onchocerciasis,EFO:0007398,,2018
131,CANNABIDIOL,CHEMBL190461,Epidiolex,GW Pharmaceuticals,Cannabinoid,Dravet syndrome and Lennox-Gastaut Syndrome ,Childhood Epilepsie,epilepsy,EFO_0000474,,2018
132,PLAZOMICIN,CHEMBL1650559,Zemdri,Achaogen,Aminoglycoside antibacterial,Urinary tract infections,Urinary tract infections,urinary tract infection,EFO:0003103,,2018
133,BINIMETINIB,CHEMBL3187723,Mektovi,Array BioPharma,MEK inhibitor,BRAF-mutated melanoma,melanoma,melanoma,EFO:0000756,,2018
134,ENCORAFENIB,CHEMBL3301612,Braftovi,Array BioPharma,BRAF inhibitor,BRAF-mutated melanoma,melanoma,melanoma,EFO:0000756,,2018
135,TECOVIRIMAT,CHEMBL1257073,TPOXX,SIGA Technologies,Viral p37 protein inhibitor,Smallpox,Smallpox,smallpox,MONDO:0004651,,2018
136,IVOSIDENIB,CHEMBL3989958,Tibsovo,Agios Pharmaceuticals,IDH1 inhibitor,IDH1-mutated AML,AML,acute myeloid leukemia,EFO:0000222,,2018
137,TAFENOQUINE,CHEMBL298470,Krintafel,Medicines for Malaria Venture/GlaxoSmithKline,8-Aminoquinoline antimalarial,Plasmodium vivax malaria,malaria,malaria,EFO:0001068,,2018
138,ELAGOLIX SODIUM,CHEMBL502182,Orilissa,AbbVie,GnRH receptor antagonist,Pain associated with endometriosis,endometriosis,endometriosis,EFO:0001065,,2018
139,FISH OIL TRIGLYCERIDES,CHEMBL4297535,Omegaven,Fresenius,Mixture of fatty acids,Parenteral nutrition-associated cholestasis,cholestasis,cholestasis,MONDO:0001751,,2018
140,LUSUTROMBOPAG,CHEMBL2107831,Mulpleta,Shionogi,Thrombopoietin receptor agonist,Thrombocytopenia,Thrombocytopenia,thrombocytopenia,HP:0001873,,2018
141,MOGAMULIZUMAB,CHEMBL1743041,Poteligeo,Kyowa Hakko Kirin,CCR4 antibody,Mycosis fungoides and Sézary syndrome,Mycosis fungoides,mycosis fungoides,EFO:1001051,,2018
142,PATISIRAN,CHEMBL3989987,Onpattro,Alnylam Pharmaceuticals,TTR-directed small interfering RNA,Hereditary TTR-mediated amyloidosis,amyloidosis,hereditary amyloidosis,MONDO_0018634,,2018
143,SEGESTERONE ACETATE,CHEMBL3707377,Annovera,TherapeuticsMD,Progestin and estrogen combined hormonal contraceptive,Female contraception,contraception,contraception,EFO:0009520,,2018
144,ETHINYL ESTRADIOL,CHEMBL691,Annovera,TherapeuticsMD,Progestin and estrogen combined hormonal contraceptive,Female contraception,contraception,contraception,EFO:0009520,,2018
145,MIGALASTAT,CHEMBL110458,Galafold,Amicus Therapeutics,α-galactosidase regulator,Fabry disease,Fabry disease,fabry disease,MONDO:0010526,,2018
