brandDrugName,originalDrugName,drugName,drugId,sponsor,properties,therapeuticArea,indication,diseaseName,diseaseIds,diseaseClass,reviewType,yearApproval
Kadcyla,Ado-trastuzumab emtansine,TRASTUZUMABEMTANSINE,CHEMBL1743082,Genentech,HER2-targeted antibody and microtubule inhibitor conjugate,Oncology,HER2-positive metastatic breast cancer,HER2 Positive Breast Carcinoma,EFO_1000294,Serious,"P,F",2013
Kynamro,Mipomersen,MIPOMERSEN,CHEMBL2219536,Genzyme,Oligonucleotide inhibitor of apolipoprotein B100 synthesis,Other indication,Homozygous familial hypercholesterolaemia,homozygous familial hypercholesterolemia,MONDO_0018328,Serious,"S,O",2013
Luzu,Luliconazole,LULICONAZOLE,CHEMBL2105689,Medicis,Azole antifungal,No human target,"Interdigital tinea pedis, tinea cruris and tinea corporis caused by Trichophyton rubrum and Epidermophyton floccosum",tinea,EFO_0007510,Not serious,S,2013
Lymphoseek kit,Technetium TC 99m tilmanocept,TECHNETIUMTC99MTILMANOCEPT,CHEMBL2108726,Navidea,Radioactive diagnostic agent,Other indication,Lymphatic mapping in patients with breast cancer or melanoma,breast cancer; melanoma,"MONDO_0007254,EFO_0000756",Serious,S,2013
Mekinist,Trametinib,TRAMETINIB,CHEMBL2103875,GSK,MEK1 and MEK2 kinase inhibitor,Oncology,Unresectable or metastatic melanoma with BRAF(V600E) mutation as detected by an FDA-approved test,metastatic melanoma,EFO_0002617,Serious,"S,O,F",2013
Nesina,Alogliptin,ALOGLIPTIN,CHEMBL376359,Takeda,DPP4 inhibitor,Other indication,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,Not concordant,S,2013
Olysio,Simeprevir,SIMEPREVIR,CHEMBL501849,Janssen,HCV NS3/4A protease inhibitor,No human target,"Chronic HCV infection, as a component of a combination antiviral treatment regimen",hepatitis C virus infection,EFO_0003047,Serious,"P,F",2013
Opsumit,Macitentan,MACITENTAN,CHEMBL2103873,Actelion,Endothelin receptor antagonist,Other indication,Pulmonary arterial hypertension,pulmonary arterial hypertension,EFO_0001361,Serious,"S,O",2013
Osphena,Ospemifene,OSPEMIFENE,CHEMBL2105395,Shionogi,Oestrogen receptor modulator,Other indication,Moderate to Serious dyspareunia due to menopause,Dyspareunia,HP_0030016,Not serious,S,2013
Pomalyst,Pomalidomide,POMALIDOMIDE,CHEMBL43452,Celgene,Immunomodulatory antineoplastic agent,Oncology,Multiple myeloma,multiple myeloma,EFO_0001378,Serious,"S,O,F",2013
Sovaldi,Sofosbuvir,SOFOSBUVIR,CHEMBL1259059,Gilead,HCV nucleotide analogue NS5B polymerase inhibitor,No human target,"Chronic HCV infection, as a component of a combination antiviral treatment regimen",hepatitis C virus infection,EFO_0003047,Serious,"P,B,F",2013
Tafinlar,Dabrafenib,DABRAFENIB,CHEMBL2028663,GSK,"Kinase inhibitor with activity against BRAFV600E, BRAFV600K, BRAFV600D, wild-type BRAF and other kinases",Oncology,Unresectable or metastatic melanoma with BRAF(V600E) mutation as detected by an FDA-approved test,metastatic melanoma,EFO_0002617,Serious,"S,O,F",2013
Tecfidera,Dimethyl fumarate,DIMETHYLFUMARATE,CHEMBL2107333,Biogen Idec,MOA unknown; activates NRF2 pathway,Other indication,Relapsing forms of multiple sclerosis,relapsing-remitting multiple sclerosis,EFO_0003929,Serious,S,2013
Tivicay,Dolutegravir,DOLUTEGRAVIR,CHEMBL1229211,ViiV,HIV1 integrase strand transfer inhibitor,No human target,"HIV1 infection in adults and children, in combination with other antiretroviral agents",HIV infection,EFO_0000764,Serious,"P,F",2013
Vizamyl,Flutemetamol F-18,FLUTEMETAMOLF-18,CHEMBL2042122,GE Healthcare,Radioactive diagnostic agent,Other indication,PET imaging of the brain to estimate beta-amyloid neuritic plaque density in patients who are being evaluated for Alzheimer's disease,neuritic plaque measurement; Alzheimer disease,"EFO_0006798,MONDO_0004975",Serious,S,2013
Xofigo,Radium RA 223 dichloride,RADIUMRA223DICHLORIDE,CHEMBL2107816,Bayer,Alpha particle-emitting radioactive therapeutic,No human target,Castration-resistant prostate cancer,prostate cancer,MONDO_0008315,Serious,"P,F",2013
Akynzeo,"Netupitant, palonosetron","NETUPITANT,PALONOSETRON","CHEMBL206253,CHEMBL1189679",Helsinn,An NK1-receptor antagonist plus a 5-HT3-receptor antagonist,Other indication,Chemotherapy-related nausea,Chemotherapy-induced nausea and vomiting,EFO_0006911,Not serious,S,2014
Beleodaq,Belinostat,BELINOSTAT,CHEMBL408513,Spectrum,Histone-deacetylase inhibitor,Other indication,Peripheral T-cell lymphoma,unspecified peripheral T-cell lymphoma,EFO_0000211,Serious,"P,O,A,F",2014
Belsomra,Suvorexant,SUVOREXANT,CHEMBL1083659,Merck & Co.,Orexin-receptor antagonist,Other indication,Insomnia,insomnia,EFO_0004698,Not serious,S,2014
Blincyto,Blinatumomab,BLINATUMOMAB,CHEMBL1742992,Amgen,CD19- and CD3-bispecific antibody,Oncology,B-ALL,precursor B-cell acute lymphoblastic leukemia,MONDO_0020511,Serious,"P,O,B,A",2014
Cerdelga,Eliglustat,ELIGLUSTAT,CHEMBL2110588,Genzyme,Glucosylceramide-synthase inhibitor,Other indication,Gaucher's disease,Gaucher disease,MONDO_0018150,Serious,"P,O",2014
Cyramza,Ramucirumab,RAMUCIRUMAB,CHEMBL1743062,Eli Lilly,VEGFR2 antagonist,Oncology,Gastric cancer,gastric cancer,MONDO_0001056,Serious,"P,O,F",2014
Dalvance,Dalbavancin,DALBAVANCIN,CHEMBL3301669,Durata,Semisynthetic lipoglycopeptide,No human target,ABSSSI (Acute Bacterial Skin and Skin Structure Infections),staphylococcal skin infections,EFO_1001849,Not serious,"P,F",2014
Entyvio,Vedolizumab,VEDOLIZUMAB,CHEMBL1743087,Takeda,Integrin-receptor antagonist,Other indication,Ulcerative colitis and Crohn's disease,ulcerative colitis; Crohn's disease,"EFO_0000729,EFO_0000384",Serious,"P,F",2014
Esbriet,Pirfenidone,PIRFENIDONE,CHEMBL1256391,InterMune,MOA unknown,No human target,IPF (idiopathic pulmonary fibrosis),idiopathic pulmonary fibrosis,EFO_0000768,Serious,"P,O,B,F",2014
Farxiga,Dapagliflozin,DAPAGLIFLOZIN,CHEMBL429910,AstraZeneca,SGLT2 inhibitor,Other indication,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,Not concordant,"S,F",2014
Harvoni,"Ledipasvir, sofosbuvir","LEDIPASVIR,SOFOSBUVIR","CHEMBL2374220,CHEMBL1259059",Gilead Sciences,An NS5A inhibitor plus an HCV nucleotide-analogue NS5B-polymerase inhibitor,No human target,Genotype 1 HCV,hepatitis C virus infection,EFO_0003047,Serious,"P,B,F",2014
Hetlioz,Tasimelteon,TASIMELTEON,CHEMBL2103822,Vanda,Melatonin-receptor agonist,Other indication,Non-24-hour sleep-wake disorder,sleep-wake disorder,MONDO_0003406,Not serious,"P,O",2014
Impavido,Miltefosine,MILTEFOSINE,CHEMBL125,Knight,MOA unknown,No human target,Leishmaniasis,Leishmaniasis,EFO_0005044,Not concordant,"P,O,F",2014
Jardiance,Empagliflozin,EMPAGLIFLOZIN,CHEMBL2107830,Boehringer Ingelheim,SGLT2 inhibitor,Other indication,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,Not concordant,"S,F",2014
Jublia,Efinaconazole,EFINACONAZOLE,CHEMBL2103877,Dow,Azole antifungal,No human target,Onychomycosis of the toenails,paronychia,EFO_0007421,Not serious,S,2014
Kerydin,Tavaborole,TAVABOROLE,CHEMBL443052,Anacor,Oxaborole antifungal,No human target,Onychomycosis of the toenails,paronychia,EFO_0007421,Not serious,S,2014
Keytruda,Pembrolizumab,PEMBROLIZUMAB,CHEMBL3137343,Merck & Co.,PD1-specific antibody,Oncology,Metastatic melanoma *and others (2021 approval),metastatic melanoma,EFO_0002617,Serious,"P,O,B,A",2014
Lumason,Sulfur hexafluoride lipid-type A microspheres,SULFURHEXAFLUORIDELIPID-TYPEAMICROSPHERES,NA,Bracco,Ultrasound contrast agent,No human target,Cardiovascular imaging,NA,NA,NA,S,2014
Lynparza,Olaparib,OLAPARIB,CHEMBL521686,AstraZeneca,PARP inhibitor,Oncology,Advanced BRCA-mutated ovarian cancer,ovarian cancer,MONDO_0008170,Serious,"P,O,A,F",2014
Movantik,Naloxegol,NALOXEGOL,CHEMBL2219418,AstraZeneca,Opioid-receptor antagonist,Other indication,Opioid-induced constipation,Constipation,HP_0002019,Not serious,S,2014
Myalept,Metreleptin,METRELEPTIN,CHEMBL2107857,Amylin,Leptin analogue,Other indication,Leptin deficiency in patients with congenital or acquired generalized lipodystrophy,congenital generalized lipodystrophy,EFO_1000681,Serious,"P,O,F",2014
Neuraceq,Florbetaben-F18,FLORBETABEN-F18,CHEMBL566752,Piramal Imaging,Radioactive diagnostic agent,Other indication,Imaging of the brain to estimate density of neuritic amyloid-beta plaques,neuritic plaque measurement; Alzheimer disease,"EFO_0006798,MONDO_0004975",Serious,S,2014
Northera,Droxidopa,DROXIDOPA,CHEMBL2103827,Lundbeck,Synthetic amino-acid precursor of noradrenaline; MOA unknown,Other indication,Light-headedness in patients with neurogenic orthostatic hypotension,primary orthostatic hypotension,MONDO_0015914,Not serious,"P,O,A,F",2014
Ofev,Nintedanib,NINTEDANIB,CHEMBL502835,Boehringer Ingelheim,"Kinase inhibitor against PDGFRs, FGFRs, VEGFRs and FLT3",Other indication,IPF (idiopathic pulmonary fibrosis),idiopathic pulmonary fibrosis,EFO_0000768,Serious,"P,O,B,F",2014
Opdivo,Nivolumab,NIVOLUMAB,CHEMBL2108738,Bristol-Myers Squibb,PD1 inhibitor,Oncology,Unresectable or metastatic melanoma,metastatic melanoma,EFO_0002617,Serious,"P,O,B,A,F",2014
Orbactiv,Oritavancin,ORITAVANCIN,CHEMBL1688530,The Medicines Company,Semi-synthetic lipoglycopeptide,No human target,ABSSSI (Acute Bacterial Skin and Skin Structure Infections),staphylococcal skin infections,EFO_1001849,Not serious,P,2014
Otezla,Apremilast,APREMILAST,CHEMBL514800,Celgene,Phosphodiesterase 4 inhibitor,Other indication,Psoriatic arthritis and plaque psoriasis,psoriatic arthritis; psoriasis vulgaris,"EFO_0003778,EFO_1001494",Serious,S,2014
Plegridy,Peginterferon beta-1A,PEGINTERFERONBETA-1A,CHEMBL2108677,Biogen Idec,Long-acting interferon-beta1A,Other indication,Relapsing multiple sclerosis,relapsing-remitting multiple sclerosis,EFO_0003929,Serious,S,2014
Rapivab,Peramivir,"PERAMIVIR,PERAMIVIR","CHEMBL3989402,CHEMBL139367",BioCryst,Neuraminidase inhibitor,No human target,Influenza infection,influenza,EFO_0007328,Not serious,"S,F",2014
Sivextro,Tedizolid,TEDIZOLID,CHEMBL1257051,Cubist,Oxazolidinone-class antibacterial,No human target,ABSSSI (Acute Bacterial Skin and Skin Structure Infections),staphylococcal skin infections,EFO_1001849,Not serious,P,2014
Striverdi Respimat,Olodaterol,OLODATEROL,CHEMBL605846,Boehringer Ingelheim,Long-acting beta2-adrenoceptor agonist,Other indication,COPD,chronic obstructive pulmonary disease,EFO_0000341,Serious,S,2014
Sylvant,Siltuximab,SILTUXIMAB,CHEMBL1743070,Janssen Biotech,IL-6-specific antibody,Other indication,Multicentric Castleman's disease,Castleman disease,MONDO_0015564,Serious,"P,O",2014
Tanzeum,Albiglutide,ALBIGLUTIDE,CHEMBL2107841,GlaxoSmithKline,GLP1-receptor agonist,Other indication,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,Not concordant,S,2014
Trulicity,Dulaglutide,DULAGLUTIDE,CHEMBL2108027,Eli Lilly,GLP1-receptor agonist,Other indication,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,Not concordant,S,2014
Viekira Pak,"Ombitasvir, paritaprevir, dasabuvir, ritonavir","OMBITASVIR,PARITAPREVIR,DASABUVIR,RITONAVIR","CHEMBL3127326,CHEMBL3391662,CHEMBL3137312,CHEMBL163",AbbVie,An NS5A inhibitor plus an NS3A- and NS4A-protease inhibitor plus a non-nucleoside NS5B-palm-polymerase inhibitor plus a CYP3A inhibitor,Other indication,Chronic HCV genotype 1 infection,hepatitis C virus infection,EFO_0003047,Serious,"P,B,F",2014
Vimizim,Elosulfase alfa,ELOSULFASEALFA,CHEMBL2108676,BioMarin,Hydrolytic lysosomal glycosaminoglycan-specific enzyme,Other indication,Mucopolysaccharidosis type IVA,mucopolysaccharidosis type 4A,MONDO_0009659,Serious,"P,O,F",2014
Xtoro,Finafloxacin,FINAFLOXACIN,CHEMBL1908370,Alcon,Fluoroquinolone antimicrobial,No human target,Acute otitis externa (swimmer's ear),otitis externa,EFO_0009560,Not serious,P,2014
Zerbaxa,"Ceftolozane, tazobactam","CEFTOLOZANE,TAZOBACTAM","CHEMBL2103872,CHEMBL404",Cubist,A cephalosporin antibacterial plus a beta-lactamase inhibitor,No human target,Complicated intra-abdominal infections and complicated urinary tract infections,infection,EFO_0000544,Serious,"P,F",2014
Zontivity,Vorapaxar,VORAPAXAR,CHEMBL493982,Merck & Co.,Protease-activated receptor 1 antagonist,Other indication,Thrombotic cardiovascular events (after myocardial infarction or with peripheral arterial disease*),myocardial infarction; peripheral arterial disease,"EFO_0000612,EFO_0004265",Serious,"S,F",2014
Zydelig,Idelalisib,IDELALISIB,CHEMBL2216870,Gilead Sciences,PI3K‚p110-delta subunit inhibitor,Other indication,"CLL, B-cell non-Hodgkin lymphoma and SLL",chronic lymphocytic leukemia; B-cell non-Hodgkins lymphoma,"EFO_0000095,EFO_1001938",Serious,"P,O,B,A,F",2014
Zykadia,Ceritinib,CERITINIB,CHEMBL2403108,Novartis,"Kinase inhibitor against ALK, IGF1R, insulin receptor and ROS1",Oncology,ALK-positive metastatic NSCLC,non-small cell lung carcinoma,EFO_0003060,Serious,"P,O,B,A",2014
Addyi,Flibanserin,FLIBANSERIN,CHEMBL231068,Sprout,Serotonin receptor modulator,Other indication,Hypoactive sexual desire disorder,sexual dysfunction,EFO_0004714,Not serious,S,2015
Alecensa,Alectinib,ALECTINIB,CHEMBL1738797,Roche,ALK inhibitor,Oncology,NSCLC,non-small cell lung carcinoma,EFO_0003060,Serious,"P,O,B,A",2015
Aristada,Aripiprazole lauroxil,ARIPIPRAZOLELAUROXIL,CHEMBL2219425,Alkermes,Extended release atypical antipsychotic,Other indication,Schizophrenia,schizophrenia,MONDO_0005090,Not concordant,S,2015
Avycaz,"Avibactam, ceftazidime","AVIBACTAM,CEFTAZIDIME","CHEMBL1689063,CHEMBL44354",Allergan,A beta-lactamase inhibitor and a cephalosporin,No human target,Complicated intra-abdominal infections and complicated urinary tract infections,infection,EFO_0000544,Serious,"P,F",2015
Bridion,Sugammadex,SUGAMMADEX,CHEMBL2111107,Merck & Co.,A modified gamma cyclodextrin,No human target,Reversal of neuromuscular blockade during surgery,neuromuscular disease,EFO_1001902,Serious,P,2015
Cholbam,Cholic acid,CHOLICACID,CHEMBL205596,Retrophin,A primary bile acid,No human target,Bile acid synthesis disorders and peroxisomal disorders,peroxisomal disease; Disorder of bile acid synthesis,"MONDO_0019053,Orphanet_79168",Serious,"P,O",2015
Corlanor,Ivabradine,IVABRADINE,CHEMBL471737,Amgen,Hyperpolarization-activated cyclic nucleotide-gated channel blocker,Other indication,Chronic heart failure,Abnormality of the cardiovascular system,HP_0001626,Serious,"P,F",2015
Cosentyx,Secukinumab,SECUKINUMAB,CHEMBL1743068,Novartis,IL-17A antagonist,Other indication,"Plaque psoriasis, *psoriatic arthritis, ankylosing spondylitis, along with other joint inflammatory disorders.",psoriasis vulgaris,EFO_1001494,Not serious,S,2015
Cotellic,Cobimetinib,COBIMETINIB,CHEMBL2146883,Genentech,MEK inhibitor,Oncology,Melanoma with BRAFV600E/K mutations,melanoma,EFO_0000756,Serious,"P,O,F",2015
Cresemba,Isavuconazonium,ISAVUCONAZONIUM,CHEMBL1183349,Astellas,Azole antifungal,No human target,Antifungal,aspergillosis; mucormycosis,"EFO_0007157,EFO_0007380",Serious,"P,O",2015
Daklinza,Daclatasvir,DACLATASVIR,CHEMBL2023898,Bristol-Myers Squibb,NS5A inhibitor,No human target,HCV,hepatitis C virus infection,EFO_0003047,Serious,"P,F",2015
Darzalex,Daratumumab,DARATUMUMAB,CHEMBL1743007,Johnson & Johnson,CD38-directed mAb,Oncology,Multiple myeloma,multiple myeloma,EFO_0001378,Serious,"P,O,B,A,F",2015
Empliciti,Elotuzumab,ELOTUZUMAB,CHEMBL1743010,Bristol-Myers Squibb,SLAMF7-directed mAb,Oncology,Multiple myeloma,multiple myeloma,EFO_0001378,Serious,"P,O,B",2015
Entresto,"Sacubitril, valsartan","SACUBITRIL,VALSARTAN","CHEMBL3137301,CHEMBL1069",Novartis,A neprilysin inhibitor plus an angiotensin II receptor blocker,Other indication,Chronic heart failure,congestive heart failure,EFO_0000373,Serious,"P,F",2015
Farydak,Panobinostat,PANOBINOSTAT,CHEMBL483254,Novartis,Histone deacetylase inhibitor,Oncology,Multiple myeloma,multiple myeloma,EFO_0001378,Serious,"P,O,A",2015
Genvoya,"Elvitegravir, cobicistat, emtricitabine, tenofovir","ELVITEGRAVIR,COBICISTAT,EMTRICITABINE,TENOFOVIR","CHEMBL204656,CHEMBL2095208,CHEMBL885,CHEMBL483",Gilead,An INSTI plus a CYP3A inhibitor plus two nucleoside analogue reverse transcriptase inhibitors,No human target,HIV,HIV infection,EFO_0000764,Serious,"S,F",2015
Ibrance,Palbociclib,PALBOCICLIB,CHEMBL189963,Pfizer,CDK4 and CDK6 inhibitor,Oncology,"ER-positive, HER2-negative advanced breast cancer",HER2 negative breast carcinoma,EFO_0009780,Serious,"P,B,A",2015
Kanuma,Sebelipase alfa,SEBELIPASEALFA,CHEMBL3039537,Alexion,Enzyme replacement therapy,Other indication,LAL deficiency,lysosomal acid lipase deficiency,MONDO_0010204,Serious,"P,O,B,F",2015
Kengreal,Cangrelor,CANGRELOR,CHEMBL334966,Medicines Company,P2Y12 platelet inhibitor,Other indication,"Myocardial infarction, repeat coronary revascularization, and stent thrombosis",myocardial infarction,EFO_0000612,Serious,S,2015
Kybella,Deoxycholic acid,DEOXYCHOLICACID,CHEMBL406393,Kythera,Cytolytic drug,No human target,Fat below the chin,body fat distribution,EFO_0004341,Not serious,S,2015
Lenvima,Lenvatinib,LENVATINIB,CHEMBL1289601,Eisai,VEGFR inhibitor,Oncology,Thyroid cancer,thyroid cancer,MONDO_0002108,Serious,"P,O",2015
Lonsurf,"Tipiracil, trifluridine","TIPIRACIL,TRIFLURIDINE","CHEMBL235668,CHEMBL1129",Taiho,Thymidine phosphorylase inhibitor plus a nucleoside metabolic inhibitor,Oncology,Colorectal cancer,colorectal cancer,EFO_0005842,Serious,"S,F",2015
Natpara,Parathyroid hormone,PARATHYROIDHORMONE,CHEMBL2108078,NPS Pharma,Hormonal injection,Other indication,Hypocalcaemia in patients with hypoparathyroidism,hypoparathyroidism; Hypocalcemia,"EFO_0009451,HP_0002901",Not concordant,"S,O",2015
Ninlaro,Ixazomib,IXAZOMIB,CHEMBL2141296,Takeda,Oral proteasome inhibitor,Oncology,Multiple myeloma,multiple myeloma,EFO_0001378,Serious,"P,O",2015
Nucala,Mepolizumab,MEPOLIZUMAB,CHEMBL2108429,GlaxoSmithKline,IL-5 antagonist,Other indication,Serious asthma,Status Asthmaticus,EFO_0008590,Serious,"S,F",2015
Odomzo,Sonidegib,SONIDEGIB,CHEMBL2105737,Novartis,Smoothened inhibitor,Oncology,Basal cell carcinoma,basal cell carcinoma,EFO_0004193,Not serious,S,2015
Orkambi,"Ivacaftor, lumacaftor","IVACAFTOR,LUMACAFTOR","CHEMBL2010601,CHEMBL2103870",Vertex,CFTR potentiator plus CFTR corrector,Other indication,Cystic fibrosis in patients with homozygous DF508 CFTR mutation,cystic fibrosis,MONDO_0009061,Serious,"P,O,B,F",2015
Portrazza,Necitumumab,NECITUMUMAB,CHEMBL1743047,Eli Lilly,EGFR antagonist,Oncology,NSCLC,non-small cell lung carcinoma,EFO_0003060,Serious,"S,O,F",2015
Praluent,Alirocumab,ALIROCUMAB,CHEMBL2109540,Sanofi,PCSK9 inhibitor,Other indication,LDL lowering,low density lipoprotein cholesterol measurement,EFO_0004611,Not serious,P,2015
Praxbind,Idarucizumab,IDARUCIZUMAB,CHEMBL3544996,Boehringer Ingelheim,Dabigatran-binding mAb fragment,No human target,Reversal of anticoagulant effects of dabigatran,response to anticoagulant,GO_0061476,Not serious,"P,O,B,A",2015
Repatha,Evolocumab,EVOLOCUMAB,CHEMBL2364655,Amgen,PCSK9 inhibitor,Other indication,LDL lowering,LDL cholesterol change measurement,EFO_0007804,Not serious,"S,O",2015
Rexulti,Brexpiprazole,BREXPIPRAZOLE,CHEMBL2105760,Otsuka,Atypical antipsychotic,Other indication,MDD and schizophrenia,major depressive disorder; schizophrenia,"MONDO_0002009,MONDO_0005090",Serious,S,2015
Savaysa,Edoxaban,EDOXABAN,CHEMBL1269025,Daiichi Sankyo,Factor Xa inhibitor,Other indication,"Risk of stroke and systemic embolism in NVAF, and deep vein thrombosis",atrial fibrillation; deep vein thrombosis,"EFO_0000275,EFO_0003907",Serious,S,2015
Strensiq,Asfotase alfa,ASFOTASEALFA,CHEMBL2108311,Alexion,Alkaline phosphatase,Other indication,Hypophosphatasia,hypophosphatasia,MONDO_0018570,Serious,"P,O,B,F",2015
Tagrisso,Osimertinib,OSIMERTINIB,CHEMBL3353410,AstraZeneca,EGFR inhibitor,Oncology,NSCLC with EGFRT790M mutations,non-small cell lung carcinoma,EFO_0003060,Serious,"P,O,B,A,F",2015
Tresiba,Insulin degludec,INSULINDEGLUDEC,CHEMBL2107869,Novo Nordisk,Long-acting insulin,Other indication,Diabetes,diabetes mellitus,EFO_0000400,Not concordant,S,2015
Unituxin,Dinutuximab,DINUTUXIMAB,CHEMBL3137342,United Therapeutics,GD2-binding mAb,NA,Neuroblastoma,neuroblastoma,EFO_0000621,Serious,"P,O",2015
Uptravi,Selexipag,SELEXIPAG,CHEMBL238804,Actelion,Prostacyclin receptor agonist,Other indication,Pulmonary arterial hypertension,pulmonary arterial hypertension,EFO_0001361,Serious,"S,O",2015
Varubi,Rolapitant,ROLAPITANT,CHEMBL3707331,Tesaro,Neurokinin 1 receptor antagonist,Other indication,Nausea and vomiting associated with chemotherapy,Chemotherapy-induced nausea and vomiting,EFO_0006911,Not serious,S,2015
Veltassa,Patiromer sorbitex,PATIROMERSORBITEX,CHEMBL2107840,Relypsa,Potassium binder,No human target,Hyperkalaemia,Hyperkalemia,HP_0002153,Not concordant,S,2015
Viberzi,Eluxadoline,ELUXADOLINE,CHEMBL2159122,Allergan,Mu-opioid receptor agonist,Other indication,Irritable bowel syndrome,irritable bowel syndrome,EFO_0000555,Not serious,"P,F",2015
Vraylar,Cariprazine,CARIPRAZINE,CHEMBL2028019,Forest,Atypical antipsychotic,Other indication,Schizophrenia and bipolar 1 disorder,Schizophrenia; bipolar disorder,"MONDO_0005090,MONDO_0004985",Serious,S,2015
Xuriden,Uridine,URIDINE,CHEMBL100259,Wellstat,Pyrimidine analogue,No human target,Hereditary orotic aciduria,Hereditary orotic aciduria,Orphanet_30,Serious,"P,O,B",2015
Yondelis,Trabectedin,TRABECTEDIN,CHEMBL450449,Johnson & Johnson,Alkylating drug,NA,Liposarcoma or leiomyosarcoma,liposarcoma; leiomyosarcoma,"EFO_0000569,EFO_0000564",Serious,"P,O",2015
Zurampic,Lesinurad,LESINURAD,CHEMBL2105720,AstraZeneca,URAT1 inhibitor,Other indication,Gout,gout,EFO_0004274,Not serious,S,2015
Adlyxin,Lixisenatide,LIXISENATIDE,CHEMBL2108336,Sanofi,GLP1 receptor agonist,Other indication,Diabetes,diabetes mellitus,EFO_0000400,Not concordant,S,2016
Anthim,Obiltoxaximab,OBILTOXAXIMAB,CHEMBL3544926,Elusys Therapeutics,mAb against anthrax toxin,No human target,Anthrax,anthrax infection,EFO_0000778,Serious,"S,O,F",2016
Axumin,Fluciclovine F-18,FLUCICLOVINEF-18,CHEMBL3707267,Blue Earth,Radioactive diagnostic,Other indication,Suspected prostate cancer recurrence,prostate cancer,MONDO_0008315,Serious,P,2016
Briviact,Brivaracetam,BRIVARACETAM,CHEMBL607400,UCB,"Anticonvulsant with unknown MOA, binds to SV2A",Other indication,Partial-onset seizures,Focal-onset seizure,HP_0007359,Not concordant,S,2016
Cinqair,Reslizumab,RESLIZUMAB,CHEMBL2107884,Teva,IL-5 antagonist,Other indication,Serious asthma,Status Asthmaticus,EFO_0008590,Serious,S,2016
Defitelio,Defibrotide sodium,DEFIBROTIDESODIUM,CHEMBL3707226,Gentium,Profibrinolytic,Other indication,Hepatic veno-occlusive disease,hepatic veno-occlusive disease,MONDO_0019514,Serious,"P,O,F",2016
