"Brand_name","Drug_name_original","Drug_name","Sponsor","DrugId","Properties","Indication","Indication_EFO","DiseaseId","TA","Review_type_2","Year","targetIds"
"Epidiolex","Cannabidiol","CANNABIDIOL","GW Pharmaceuticals","CHEMBL190461","Cannabinoid","Dravet syndrome and Lennox-Gastaut syndrome","Dravet syndrome; Lennox-Gastaut syndrome","Orphanet_33069; MONDO_0016532","Other","P, O, F",2018,"ENSG00000118432"
"Zemdri","Plazomicin","PLAZOMICIN","Achaogen","CHEMBL1650559","Aminoglycoside antibacterial","Urinary tract infections","urinary tract infection","EFO_0003103","Other","P",2018,""
"Mektovi","Binimetinib","BINIMETINIB","Array BioPharma","CHEMBL3187723","MEK inhibitor","BRAF-mutated melanoma","melanoma","EFO_0000756","Oncology","S, O",2018,"ENSG00000169032, ENSG00000126934"
"Braftovi","Encorafenib","ENCORAFENIB","Array BioPharma","CHEMBL3301612","BRAF inhibitor","BRAF-mutated melanoma","melanoma","EFO_0000756","Oncology","S, O",2018,"ENSG00000157764"
"TPOXX","Tecovirimat","TECOVIRIMAT","SIGA Technologies","CHEMBL1257073","Viral p37 protein inhibitor","Smallpox","smallpox","MONDO_0004651","Other","P, O, F",2018,""
"Tibsovo","Ivosidenib","IVOSIDENIB","Agios Pharmaceuticals","CHEMBL3989958","IDH1 inhibitor","IDH1-mutated AML, Locally Advanced or Metastatic Cholangiocarcinoma (*)","acute myeloid leukemia; cholangiocarcinoma","EFO_0000222; EFO_0005221","Oncology","P, O, F",2018,"ENSG00000138413"
"Krintafel","Tafenoquine","TAFENOQUINE","Medicines for Malaria Venture/GlaxoSmithKline","CHEMBL298470","8-Aminoquinoline antimalarial","Plasmodium vivax malaria","Plasmodium vivax malaria","EFO_0007445","Other","P, O, B, F",2018,""
"Orilissa","Elagolix sodium","ELAGOLIX SODIUM","AbbVie","CHEMBL502182","GnRH receptor antagonist","Pain associated with endometriosis","adenomyosis; pain","MONDO_0010888; EFO_0003843","Other","P",2018,"ENSG00000109163"
"Omegaven","Fish oil triglycerides","FISH OIL TRIGLYCERIDES","Fresenius","CHEMBL4297535","Mixture of fatty acids","Parenteral nutrition-associated cholestasis","cholestasis","MONDO_0001751","Other","P, O, F",2018,""
"Mulpleta","Lusutrombopag","LUSUTROMBOPAG","Shionogi","CHEMBL2107831","Thrombopoietin receptor agonist","Thrombocytopenia","thrombocytopenia","HP_0001873","Other","P, F",2018,"ENSG00000117400"
"Poteligeo","Mogamulizumab","MOGAMULIZUMAB","Kyowa Hakko Kirin","CHEMBL1743041","CCR4 antibody","mycosis fungoides or Sezary syndrome","mycosis fungoides","EFO_1001051","Oncology","P, O, B",2018,"ENSG00000183813"
"Onpattro","Patisiran","PATISIRAN","Alnylam Pharmaceuticals","CHEMBL3989987","TTR-directed small interfering RNA","Hereditary TTR-mediated amyloidosis","hereditary ATTR amyloidosis","MONDO_0017132","Other","P, O, B, F",2018,"ENSG00000118271"
"Annovera","Segesterone acetate; ethinyl estradiol","SEGESTERONE ACETATE","TherapeuticsMD","CHEMBL3707377","Progestin and estrogen combined hormonal contraceptive","Female contraception","contraception","EFO_0009520","Other","S",2018,"ENSG00000082175"
"Annovera","Segesterone acetate; ethinyl estradiol","ETHINYL ESTRADIOL","TherapeuticsMD","CHEMBL691","Progestin and estrogen combined hormonal contraceptive","Female contraception","contraception","EFO_0009520","Other","S",2018,"ENSG00000091831"
"Galafold","Migalastat","MIGALASTAT","Amicus Therapeutics","CHEMBL110458","beta-galactosidase regulator","Fabry disease","fabry disease","MONDO_0010526","Other","P, O, A, F",2018,"ENSG00000102393"
"Diacomit","Stiripentol","STIRIPENTOL","Biocodex","CHEMBL1983350","GABA reuptake inhibitor","Dravet syndrome","dravet syndrome","Orphanet_33069","Other","P, O",2018,"ENSG00000022355"
"Oxervate","Cenegermin","CENEGERMIN","Domp‚àö¬©","CHEMBL4297852","Recombinant NGF","Neurotrophic keratitis","keratitis","EFO_0009449","Other","P, O, B, F",2018,"ENSG00000140538, ENSG00000148053, ENSG00000198400"
"Takhzyro","Lanadelumab","LANADELUMAB","Dyax/Shire","CHEMBL3545189","Kallikrein antibody","Hereditary angioedema","hereditary angioedema","MONDO_0019623","Other","P, O, B, F",2018,"ENSG00000164344"
"Xerava","Eravacycline","ERAVACYCLINE","Tetraphase Pharmaceuticals","CHEMBL1951095","Tetracycline antibiotic","Complicated intra-abdominal infections","infectious disease","EFO_0005741","Other","P, F",2018,""
"Pifeltro","Doravirine","DORAVIRINE","Merck & Co.","CHEMBL2364608","NNRTI","HIV","hiv infection","EFO_0000764","Other","S",2018,""
"Lumoxiti","Moxetumomab pasudotox","MOXETUMOMAB PASUDOTOX","AstraZeneca","CHEMBL1743043","CD22-directed antibody‚Äö√Ñ√¨drug conjugate","Hairy cell leukaemia","hairy cell leukemia","EFO_1000956","Oncology","P, O, F",2018,"ENSG00000167658, ENSG00000012124"
"Ajovy","Fremanezumab","FREMANEZUMAB","Teva","CHEMBL4297756","CGRP antibody","Migraine","migraine disorder","MONDO_0005277","Other","P",2018,"ENSG00000110680, ENSG00000175868"
"Copiktra","Duvelisib","DUVELISIB","Verastem","CHEMBL3039502","PI3K inhibitor","CLL, FL and SLL","chronic lymphocytic leukemia; follicular lymphoma","EFO_0000095; MONDO_0018906","Oncology","P, O, A, F",2018,"ENSG00000105851, ENSG00000171608"
"Emgality","Galcanezumab","GALCANEZUMAB","Eli Lilly","CHEMBL3707328","CGRP antibody","Migraine","migraine disorder","MONDO_0005277","Other","S, F",2018,"ENSG00000175868, ENSG00000110680"
"Vizimpro","Dacomitinib","DACOMITINIB","Pfizer","CHEMBL2105719","EGFR inhibitor","EGFR-mutated NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O",2018,"ENSG00000178568, ENSG00000146648, ENSG00000141736"
"Libtayo","Cemiplimab","CEMIPLIMAB","Regeneron/Sanofi","CHEMBL4297723","PD1 antibody","CSCC, BCC(*), NSCLC(*)","cutaneous squamous cell carcinoma; basal cell carcinoma; non-small cell lung carcinoma","EFO_1001927; EFO_0004193; EFO_0003060","Oncology","P, B",2018,"ENSG00000188389"
"Seysara","Sarecycline","SARECYCLINE","Allergan","CHEMBL2364632","Tetracycline antibiotic","Severe acne vulgaris","acne","EFO_0003894","Other","S",2018,""
"Nuzyra","Omadacycline","OMADACYCLINE","Paratek Pharmaceuticals","CHEMBL1689772","Tetracycline antibiotic","CABP and ABSSSI","bacterial pneumonia; skin disease caused by bacterial infection","EFO_1001272; MONDO_0024295","Other","P, F",2018,""
"Revcovi","Elapegademase","ELAPEGADEMASE","Leadiant Biosciences","CHEMBL3990026","Recombinant adenosine deaminase","ADA-SCID","severe combined immunodeficiency, autosomal recessive, t cell-negative, b cell-negative, nk cell-negative, due to adenosine deaminase deficiency","MONDO_0007064","Other","P, O, F",2018,"ENSG00000196839"
"Tegsedi","Inotersen","INOTERSEN","Ionis Pharmaceuticals","CHEMBL4297770","TTR-directed antisense oligonucleotide","Hereditary TTR-mediated amyloidosis","hereditary ATTR amyloidosis","MONDO_0017132","Other","P, O, F",2018,"ENSG00000118271"
"Talzenna","Talazoparib","TALAZOPARIB","Pfizer","CHEMBL3137320","PARP inhibitor","BRCA-mutated HER2-negative breast cancer","HER2 negative breast carcinoma","EFO_0009780","Oncology","P",2018,"ENSG00000143799, ENSG00000129484"
"Xofluza","Baloxavir marboxil","BALOXAVIR MARBOXIL","Shionogi/Roche","CHEMBL4297503","Polymerase acidic endonuclease inhibitor","Acute uncomplicated influenza","influenza","EFO_0007328","Other","P",2018,""
"Lorbrena","Lorlatinib","LORLATINIB","Pfizer","CHEMBL3286830","ALK and ROS1 inhibitor","ALK-positive NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2018,"ENSG00000171094, ENSG00000143924"
"Yupelri","Revefenacin","REVEFENACIN","Theravance Biopharma/Mylan","CHEMBL3833319","Long-acting muscarinic receptor antagonist","COPD","chronic obstructive pulmonary disease","EFO_0000341","Other","S",2018,"ENSG00000133019"
"Aemcolo","Rifamycin","RIFAMYCIN","Cosmo Technologies","CHEMBL437765","Ansamycin antibacterial","Travellers diarrhoea","Diarrhea","HP_0002014","Other","P, F",2018,""
"Gamifant","Emapalumab","EMAPALUMAB","Novimmune","CHEMBL3989977","Interferon-≈í‚â•-blocking antibody","Primary haemophagocytic lymphohistiocytosis","genetic hemophagocytic lymphohistiocytosis","MONDO_0015541","Other","P, O, B",2018,"ENSG00000111537"
"Daurismo","Glasdegib","GLASDEGIB","Pfizer","CHEMBL2043437","Hedgehog pathway inhibitor","AML",NA,"EFO_0000222","Oncology","P, O",2018,"ENSG00000128602"
"Vitrakvi","Larotrectinib","LAROTRECTINIB","Loxo Oncology/Bayer","CHEMBL3889654","TRKA, TRKB and TRKC inhibitor","NTRK-positive solid cancers","salivary gland cancer; soft tissue sarcoma; thyroid cancer","MONDO_0004669; EFO_1001968; MONDO_0002108","Oncology","P, O, B, A",2018,"ENSG00000148053, ENSG00000198400, ENSG00000140538"
"Xospata","Gilteritinib","GILTERITINIB","Astellas","CHEMBL3301622","FLT3 inhibitor","FLT3-positive AML","acute myeloid leukemia","EFO_0000222","Oncology","P, O, B, F",2018,"ENSG00000122025, ENSG00000167601"
"Firdapse","Amifampridine","AMIFAMPRIDINE","Catalyst Pharmaceuticals","CHEMBL354077","Potassium channel blocker","Lambert-Eaton myasthenic syndrome","Lambert-Eaton myasthenic syndrome","Orphanet_43393","Other","P, O",2018,"ENSG00000130037, ENSG00000182255, ENSG00000173826, ENSG00000111262, ENSG00000178342, ENSG00000131398, ENSG00000140015, ENSG00000055118, ENSG00000168418, ENSG00000143473, ENSG00000183960, ENSG00000151079, ENSG00000184408, ENSG00000116396, ENSG00000171126, ENSG00000168263, ENSG00000026559, ENSG00000170745, ENSG00000185760, ENSG00000135519, ENSG00000184156, ENSG00000075043, ENSG00000117013, ENSG00000158445, ENSG00000166006, ENSG00000129159, ENSG00000124134, ENSG00000156486, ENSG00000143105, ENSG00000182674, ENSG00000053918, ENSG00000089558, ENSG00000177301, ENSG00000162975, ENSG00000102057, ENSG00000184611, ENSG00000171385, ENSG00000177272, ENSG00000104848, ENSG00000164794"
"Motegrity","Prucalopride","PRUCALOPRIDE","Shire/Takeda","CHEMBL117287","5-HT4-receptor agonist","Chronic idiopathic constipation","constipation disorder","MONDO_0002203","Other","S",2018,"ENSG00000164270"
"Asparlas","Calaspargase pegol","CALASPARGASE PEGOL","Servier","CHEMBL2108728","Asparagine specific enzyme","ALL","acute lymphoblastic leukemia","EFO_0000220","Oncology","S, O",2018,"ENSG00000166183"
"Ultomiris","Ravulizumab","RAVULIZUMAB","Alexion","CHEMBL3989986","Complement inhibitor","Paroxysmal nocturnal haemoglobinuria, atypical hemolytic uremic syndrome (*), generalized myasthenia gravis AChR+ (*)","paroxysmal nocturnal hemoglobinuria, atypical hemolytic-uremic syndrome, Myasthenia gravis","MONDO_0100244; MONDO_0016244; EFO_0004991","Other","S, O",2018,"ENSG00000106804"
"Elzonris","Tagraxofusp","TAGRAXOFUSP","Stemline Therapeutics","CHEMBL4297573","IL-3 and diphtheria toxin fusion protein","Blastic plasmacytoid dendritic cell neoplasm","blastic plasmacytoid dendritic cell neoplasm","EFO_0010580","Oncology","P, O, B",2018,"ENSG00000167658, ENSG00000185291"
"Jeuveau","Prabotulinumtoxin A","PRABOTULINUMTOXIN A","Evolus","CHEMBL4297229","Acetylcholine release inhibitor and a neuromuscular blocking agent","Glabellar lines associated with corrugator and/or procerus muscle activity","Facial wrinkling","HP_0009762","Other","S",2019,"ENSG00000132639"
"Cablivi","Caplacizumab","CAPLACIZUMAB","Sanofi/Ablynx","CHEMBL2109624","vWF-directed nanobody","ATTP","thrombotic thrombocytopenic purpura","MONDO_0018896","Other","P, O, F",2019,"ENSG00000110799"
"Egaten","Triclabendazole","TRICLABENDAZOLE","Novartis","CHEMBL1086440","Anthelmintic","Fascioliasis","fascioliasis","EFO_1001324","Other","P, O, F",2019,""
"Zulresso","Brexanolone","BREXANOLONE","Sage Therapeutics","CHEMBL207538","GABAA-receptor-positive modulator","Postpartum depression","postpartum depression","EFO_0007453","Other","P, B",2019,"ENSG00000094755, ENSG00000109158, ENSG00000186297, ENSG00000022355, ENSG00000145864, ENSG00000166206, ENSG00000182256, ENSG00000011677, ENSG00000268089, ENSG00000102287, ENSG00000113327, ENSG00000163285, ENSG00000151834, ENSG00000145863, ENSG00000163288, ENSG00000187730"
"Sunosi","Solriamfetol","SOLRIAMFETOL","Jazz","CHEMBL4297620","Dopamine and noradrenaline reuptake inhibitor","Excessive sleepiness due to narcolepsy or obstructive sleep apnoea","hypersomnia; narcolepsy; obstructive sleep apnea","EFO_0005246; MONDO_0021107; EFO_0003918","Other","S, O",2019,""
"Mayzent","Siponimod","SIPONIMOD","Novartis","CHEMBL2336071","S1P receptor modulator","Relapsing forms of multiple sclerosis","relapsing-remitting multiple sclerosis","EFO_0003929","Other","S",2019,"ENSG00000170989"
"Evenity","Romosozumab","ROMOSOZUMAB","Amgen","CHEMBL2107874","Sclerostin inhibitor","Osteoporosis","osteoporosis","EFO_0003882","Other","S",2019,"ENSG00000167941"
"Balversa","Erdafitinib","ERDAFITINIB","Janssen /J&J","CHEMBL3545376","FGFR inhibitor","Bladder cancer","urinary bladder carcinoma","MONDO_0004986","Oncology","P, B, A",2019,"ENSG00000077782, ENSG00000066468, ENSG00000160867, ENSG00000068078"
"Skyrizi","Risankizumab","RISANKIZUMAB","AbbVie","CHEMBL3990029","IL-23 antagonist","Plaque psoriasis","psoriasis vulgaris","EFO_1001494","Other","S",2019,"ENSG00000110944, ENSG00000113302"
"Vyndaqel","Tafamidis","TAFAMIDIS","Pfizer/Foldrx","CHEMBL2103837","Transthyretin stabilizer","Heart disease caused by ATTR-CM","cardiomyopathy","EFO_0000318","Other","P, O, B, F",2019,"ENSG00000118271"
"Piqray","Alpelisib","ALPELISIB","Novartis","CHEMBL2396661","PI3K inhibitor","Breast cancer","breast cancer","MONDO_0007254","Oncology","P",2019,"ENSG00000121879"
"Polivy","Polatuzumab vedotin","POLATUZUMAB VEDOTIN","Roche","CHEMBL3301582","CD79b-directed ADC","Diffuse large B-cell lymphoma","diffuse large b-cell lymphoma","EFO_0000403","Oncology","P, O, B, A",2019,"ENSG00000198033, ENSG00000167552, ENSG00000261456, ENSG00000176014, ENSG00000258947, ENSG00000123416, ENSG00000101162, ENSG00000188229, ENSG00000152086, ENSG00000007312, ENSG00000137285, ENSG00000167553, ENSG00000196230, ENSG00000137267, ENSG00000127824, ENSG00000104833"
"Vyleesi","Bremelanotide","BREMELANOTIDE","Amag","CHEMBL2070241","Melanocortin receptor agonist","Hypoactive sexual desire disorder","sexual dysfunction","EFO_0004714","Other","S",2019,"ENSG00000166603"
"Xpovio","Selinexor","SELINEXOR","Karyopharm Therapeutics","CHEMBL3545185","XPO1 inhibitor","Multiple myeloma","multiple myeloma","EFO_0001378","Oncology","P, O, A, F",2019,"ENSG00000082898"
"Recarbrio","Cilastatin; imipenem; relebactam","CILASTATIN","Merck & Co.","CHEMBL766","A renal dehydropeptidase inhibitor, a penem antibacterial and a beta-lactamase inhibitor","Complicated urinary tract and complicated intra-abdominal infections","urinary tract infection","EFO_0003103","Other","P, F",2019,"ENSG00000015413"
"Recarbrio","Cilastatin; imipenem; relebactam","IMIPENEM","Merck & Co.","CHEMBL148","A renal dehydropeptidase inhibitor, a penem antibacterial and a beta-lactamase inhibitor","Complicated urinary tract and complicated intra-abdominal infections","urinary tract infection","EFO_0003103","Other","P, F",2019,""
"Recarbrio","Cilastatin; imipenem; relebactam","RELEBACTAM","Merck & Co.","CHEMBL3301605","A renal dehydropeptidase inhibitor, a penem antibacterial and a beta-lactamase inhibitor","Complicated urinary tract and complicated intra-abdominal infections","urinary tract infection","EFO_0003103","Other","P, F",2019,""
"Accrufer","Ferric maltol","FERRIC MALTOL","Shield Therapeutics","CHEMBL4298110","Iron replacement product","Iron deficiency anaemia","iron deficiency anemia","HP_0001891","Other","S",2019,""
"Nubeqa","Darolutamide","DAROLUTAMIDE","Bayer","CHEMBL4297185","Androgen receptor inhibitor","Prostate cancer","prostate cancer","MONDO_0008315","Oncology","P, F",2019,"ENSG00000169083"
"Turalio","Pexidartinib","PEXIDARTINIB","Daiichi Sankyo","CHEMBL3813873","CSF1R, KIT and FLT3 inhibitor","Tenosynovial giant cell tumour","Tenosynovial Giant Cell Tumor","EFO_1000562","Oncology","P, O, B",2019,"ENSG00000182578, ENSG00000122025, ENSG00000157404"
"Wakix","Pitolisant","PITOLISANT","Harmony","CHEMBL462605","H3-receptor antagonist/inverse agonist","Excessive sleepiness due to narcolepsy","narcolepsy","MONDO_0021107","Other","P, O, F",2019,"ENSG00000101180"
"Pretomanid","Pretomanid","PRETOMANID","Pfizer/Mylan","CHEMBL227875","Antimycobacterial","Tuberculosis","tuberculosis","MONDO_0018076","Other","P, O, F",2019,""
"Rozlytrek","Entrectinib","ENTRECTINIB","Roche","CHEMBL1983268","TRKA, TRKB, TRKC, ROS1 and ALK inhibitor","NTRK fusion-positive solid tumours and ROS1-positive NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2019,"ENSG00000148053, ENSG00000198400, ENSG00000140538, ENSG00000047936, ENSG00000171094"
"Rinvoq","Upadacitinib","UPADACITINIB","AbbVie","CHEMBL3622821","JAK inhibitor","Rheumatoid arthritis","rheumatoid arthritis","EFO_0000685","Other","S",2019,"ENSG00000162434, ENSG00000096968, ENSG00000105397, ENSG00000105639"
"Inrebic","Fedratinib","FEDRATINIB","Celgene/BMS","CHEMBL1287853","JAK2 and FLT3 inhibitor","Myelofibrosis","myelofibrosis","MONDO_0044903","Other","P, O",2019,"ENSG00000096968, ENSG00000122025"
"Xenleta","Lefamulin","LEFAMULIN","Nabriva","CHEMBL3291398","Pleuromutilin antibacterial","CABP","bacterial pneumonia","EFO_1001272","Other","P, F",2019,""
"Gallium dotatoc Ga-68","Gallium dotatoc Ga-68","GALLIUM DOTATOC GA-68","UIHC PET Imaging Center","CHEMBL4297340","Radioactive diagnostic","Localization of somatostatin receptor-positive neuroendocrine tumours","neuroendocrine neoplasm","EFO_1001901","Other","S, O",2019,"ENSG00000180616"
"Nourianz","Istradefylline","ISTRADEFYLLINE","Kyowa Kirin","CHEMBL431770","Adenosine receptor antagonist","Parkinson disease episodes","Parkinson disease","MONDO_0005180","Other","S",2019,"ENSG00000128271"
"Ibsrela","Tenapanor","TENAPANOR","Ardelyx","CHEMBL3304485","NHE3 inhibitor","IBS with constipation","irritable bowel syndrome","EFO_0000555","Other","S",2019,"ENSG00000066230"
"Aklief","Trifarotene","TRIFAROTENE","Galderma","CHEMBL3707313","Retinoic acid receptor agonist","Acne vulgaris","acne","EFO_0003894","Other","S",2019,"ENSG00000172819"
"Beovu","Brolucizumab","BROLUCIZUMAB","Novartis","CHEMBL3707357","VEGF inhibitor","Wet age-related macular degeneration","macular degeneration","EFO_0009606","Other","S",2019,"ENSG00000112715"
"Scenesse","Afamelanotide","AFAMELANOTIDE","Clinuvel","CHEMBL441738","Melanocortin 1 receptor agonist","Erythropoietic protoporphyria","erythropoietic protoporphyria","MONDO_0001676","Other","P, O, F",2019,"ENSG00000258839"
"Fluorodopa F-18","Fluorodopa F-18","FLUORODOPA F-18","Feinstein Institutes","CHEMBL3400972","Radioactive diagnostic","Diagnosis of parkinsonian syndromes","Parkinson disease","MONDO_0005180","Other","S",2019,""
"Reyvow","Lasmiditan","LASMIDITAN","Eli Lilly","CHEMBL3039520","Serotonin (5-HT) 1F receptor agonist","Migraine with or without aura","migraine disorder","MONDO_0005277","Other","S",2019,"ENSG00000179097"
"Trikafta","Tezacaftor; elexacaftor; ivacaftor","TEZACAFTOR","Vertex","CHEMBL3544914","Two CFTR correctors and a CFTR potentiator","Most common gene mutation that causes cystic fibrosis","cystic fibrosis","MONDO_0009061","Other","P, O, B, F",2019,"ENSG00000001626"
"Trikafta","Tezacaftor; elexacaftor; ivacaftor","ELEXACAFTOR","Vertex","CHEMBL4298128","Two CFTR correctors and a CFTR potentiator","Most common gene mutation that causes cystic fibrosis","cystic fibrosis","MONDO_0009061","Other","P, O, B, F",2019,"ENSG00000001626"
"Trikafta","Tezacaftor; elexacaftor; ivacaftor","IVACAFTOR","Vertex","CHEMBL2010601","Two CFTR correctors and a CFTR potentiator","Most common gene mutation that causes cystic fibrosis","cystic fibrosis","MONDO_0009061","Other","P, O, B, F",2019,"ENSG00000001626"
"ExEm Foam","Air polymer-type A","AIR POLYMER-TYPE A","Giskit","CHEMBL4594264","Ultrasound contrast agent","Assess fallopian tube patency in women with known or suspected infertility","infertility","EFO_0000545","Other","S",2019,""
"Reblozyl","Luspatercept","LUSPATERCEPT","Celgene/BMS","CHEMBL3039545","Erythroid maturation agent","Anaemia in beta-thalassaemia","beta thalassemia; anemia","MONDO_0019402; MONDO_0002280","Other","P, O, F",2019,"ENSG00000105329, ENSG00000092969, ENSG00000119699"
"Fetroja","Cefiderocol","CEFIDEROCOL","Shionogi","CHEMBL3989974","Cephalosporin antibacterial","Complicated urinary tract infections","urinary tract infection","EFO_0003103","Other","P, F",2019,""
"Brukinsa","Zanubrutinib","ZANUBRUTINIB","BeiGene","CHEMBL3936761","BTK inhibitor","Mantle cell lymphoma","mantle cell lymphoma","EFO_1001469","Oncology","P, O, B, A, F",2019,"ENSG00000010671"
"Adakveo","Crizanlizumab","CRIZANLIZUMAB","Novartis","CHEMBL4297734","P-selectin blocker","Painful complications of SCD","sickle cell disease and related diseases","MONDO_0017146","Other","P, O, B",2019,"ENSG00000174175"
"Givlaari","Givosiran","GIVOSIRAN","Alnylam","CHEMBL4297760","ALAS1-directed siRNA","Acute hepatic porphyria","acute hepatic porphyria","Orphanet_95157","Other","P, O, B",2019,"ENSG00000023330"
"Xcopri","Cenobamate","CENOBAMATE","SK Life Science","CHEMBL3989949","Unknown","Partial onset seizures","seizure","HP_0001250","Other","S",2019,"ENSG00000168356, ENSG00000196876, ENSG00000185313, ENSG00000144285, ENSG00000153253, ENSG00000183873, ENSG00000136531, ENSG00000169432, ENSG00000136546, ENSG00000007314, ENSG00000186297, ENSG00000151834, ENSG00000011677, ENSG00000187730, ENSG00000109158, ENSG00000022355, ENSG00000166206, ENSG00000182256, ENSG00000145864, ENSG00000268089, ENSG00000145863, ENSG00000094755, ENSG00000163288, ENSG00000113327, ENSG00000102287, ENSG00000163285"
