"Brand_name","Drug_name_original","Drug_name","Sponsor","DrugId","Properties","Indication","Indication_EFO","DiseaseId","TA","Review_type","Year.x","Year.y","has_GE"
"Annovera","Segesterone acetate; ethinyl estradiol","SEGESTERONE ACETATE","TherapeuticsMD","CHEMBL3707377","Progestin and estrogen combined hormonal contraceptive","Female contraception","contraception","EFO_0009520","Other","S",2018,2018,TRUE
"Annovera","Segesterone acetate; ethinyl estradiol","ETHINYL ESTRADIOL","TherapeuticsMD","CHEMBL691","Progestin and estrogen combined hormonal contraceptive","Female contraception","contraception","EFO_0009520","Other","S",2018,2018,TRUE
"Galafold","Migalastat","MIGALASTAT","Amicus Therapeutics","CHEMBL110458","beta-galactosidase regulator","Fabry disease","fabry disease","MONDO_0010526","Metabolic","P, O, A",2018,2018,TRUE
"Diacomit","Stiripentol","STIRIPENTOL","Biocodex","CHEMBL1983350","GABA reuptake inhibitor","Dravet syndrome","dravet syndrome","Orphanet_33069","Neurological","P, O",2018,2018,TRUE
"Oxervate","Cenegermin","CENEGERMIN","Dompé","CHEMBL4297852","Recombinant NGF","Neurotrophic keratitis","keratitis","EFO_0009449","Ophthalmology","P, O, B",2018,2018,TRUE
"Takhzyro","Lanadelumab","LANADELUMAB","Dyax/Shire","CHEMBL3545189","Kallikrein antibody","Hereditary angioedema","hereditary angioedema","MONDO_0019623","Immunology","P, O, B",2018,2018,FALSE
"Xerava","Eravacycline","ERAVACYCLINE","Tetraphase Pharmaceuticals","CHEMBL1951095","Tetracycline antibiotic","Complicated intra-abdominal infections","infectious disease","EFO_0005741","Infectious","P",2018,NA,NA
"Pifeltro","Doravirine","DORAVIRINE","Merck & Co.","CHEMBL2364608","NNRTI","HIV","hiv infection","EFO_0000764","Infectious","S",2018,NA,NA
"Lumoxiti","Moxetumomab pasudotox","MOXETUMOMAB PASUDOTOX","AstraZeneca","CHEMBL1743043","CD22-directed antibody–drug conjugate","Hairy cell leukaemia","hairy cell leukemia","EFO_1000956","Oncology","P, O",2018,2018,TRUE
"Ajovy","Fremanezumab","FREMANEZUMAB","Teva","CHEMBL4297756","CGRP antibody","Migraine","migraine disorder","MONDO_0005277","Neurological","P",2018,2018,TRUE
"Copiktra","Duvelisib","DUVELISIB","Verastem","CHEMBL3039502","PI3K inhibitor","CLL, FL and SLL","chronic lymphocytic leukemia; follicular lymphoma","EFO_0000095; MONDO_0018906","Oncology","P, O, A",2018,2018,TRUE
"Emgality","Galcanezumab","GALCANEZUMAB","Eli Lilly","CHEMBL3707328","CGRP antibody","Migraine","migraine disorder","MONDO_0005277","Neurological","S",2018,2018,TRUE
"Vizimpro","Dacomitinib","DACOMITINIB","Pfizer","CHEMBL2105719","EGFR inhibitor","EGFR-mutated NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O",2018,2018,TRUE
"Libtayo","Cemiplimab","CEMIPLIMAB","Regeneron/Sanofi","CHEMBL4297723","PD1 antibody","CSCC, BCC(*), NSCLC(*)","cutaneous squamous cell carcinoma; basal cell carcinoma; non-small cell lung carcinoma","EFO_1001927; EFO_0004193; EFO_0003060","Oncology","P, B",2018,2018,TRUE
"Seysara","Sarecycline","SARECYCLINE","Allergan","CHEMBL2364632","Tetracycline antibiotic","Severe acne vulgaris","acne","EFO_0003894","Dermatology","S",2018,NA,NA
"Nuzyra","Omadacycline","OMADACYCLINE","Paratek Pharmaceuticals","CHEMBL1689772","Tetracycline antibiotic","CABP and ABSSSI","bacterial pneumonia; skin disease caused by bacterial infection","EFO_1001272; MONDO_0024295","Other","P",2018,NA,NA
"Revcovi","Elapegademase","ELAPEGADEMASE","Leadiant Biosciences","CHEMBL3990026","Recombinant adenosine deaminase","ADA-SCID","severe combined immunodeficiency, autosomal recessive, t cell-negative, b cell-negative, nk cell-negative, due to adenosine deaminase deficiency","MONDO_0007064","Immunology","P, O",2018,2018,TRUE
"Tegsedi","Inotersen","INOTERSEN","Ionis Pharmaceuticals","CHEMBL4297770","TTR-directed antisense oligonucleotide","Hereditary TTR-mediated amyloidosis","hereditary ATTR amyloidosis","MONDO_0017132","Metabolic","P, O",2018,2018,TRUE
"Talzenna","Talazoparib","TALAZOPARIB","Pfizer","CHEMBL3137320","PARP inhibitor","BRCA-mutated HER2-negative breast cancer","HER2 negative breast carcinoma","EFO_0009780","Oncology","P",2018,2018,TRUE
"Xofluza","Baloxavir marboxil","BALOXAVIR MARBOXIL","Shionogi/Roche","CHEMBL4297503","Polymerase acidic endonuclease inhibitor","Acute uncomplicated influenza","influenza","EFO_0007328","Infectious","P",2018,NA,NA
"Lorbrena","Lorlatinib","LORLATINIB","Pfizer","CHEMBL3286830","ALK and ROS1 inhibitor","ALK-positive NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2018,2018,TRUE
"Yupelri","Revefenacin","REVEFENACIN","Theravance Biopharma/Mylan","CHEMBL3833319","Long-acting muscarinic receptor antagonist","COPD","chronic obstructive pulmonary disease","EFO_0000341","Respiratory","S",2018,2018,TRUE
"Aemcolo","Rifamycin","RIFAMYCIN","Cosmo Technologies","CHEMBL437765","Ansamycin antibacterial","Travellers diarrhoea","Diarrhea","HP_0002014","Other","P",2018,NA,NA
"Gamifant","Emapalumab","EMAPALUMAB","Novimmune","CHEMBL3989977","Interferon-γ-blocking antibody","Primary haemophagocytic lymphohistiocytosis","genetic hemophagocytic lymphohistiocytosis","MONDO_0015541","Hematology","P, O, B",2018,2018,TRUE
"Daurismo","Glasdegib","GLASDEGIB","Pfizer","CHEMBL2043437","Hedgehog pathway inhibitor","AML",NA,"EFO_0000222","Oncology","P, O",2018,2018,TRUE
"Vitrakvi","Larotrectinib","LAROTRECTINIB","Loxo Oncology/Bayer","CHEMBL3889654","TRKA, TRKB and TRKC inhibitor","NTRK-positive solid cancers","salivary gland cancer; soft tissue sarcoma; thyroid cancer","MONDO_0004669; EFO_1001968; MONDO_0002108","Oncology","P, O, B, A",2018,2018,TRUE
"Xospata","Gilteritinib","GILTERITINIB","Astellas","CHEMBL3301622","FLT3 inhibitor","FLT3-positive AML","acute myeloid leukemia","EFO_0000222","Oncology","P, O, B",2018,2018,TRUE
"Firdapse","Amifampridine","AMIFAMPRIDINE","Catalyst Pharmaceuticals","CHEMBL354077","Potassium channel blocker","Lambert-Eaton myasthenic syndrome","Lambert-Eaton myasthenic syndrome","Orphanet_43393","Neurological","P, O",2018,2018,FALSE
"Motegrity","Prucalopride","PRUCALOPRIDE","Shire/Takeda","CHEMBL117287","5-HT4-receptor agonist","Chronic idiopathic constipation","constipation disorder","MONDO_0002203","Gastrointestinal","S",2018,2018,FALSE
"Asparlas","Calaspargase pegol","CALASPARGASE PEGOL","Servier","CHEMBL2108728","Asparagine specific enzyme","ALL","acute lymphoblastic leukemia","EFO_0000220","Oncology","S, O",2018,2018,FALSE
"Ultomiris","Ravulizumab","RAVULIZUMAB","Alexion","CHEMBL3989986","Complement inhibitor","Paroxysmal nocturnal haemoglobinuria, atypical hemolytic uremic syndrome (*), generalized myasthenia gravis AChR+ (*)","paroxysmal nocturnal hemoglobinuria, atypical hemolytic-uremic syndrome, Myasthenia gravis","MONDO_0100244; MONDO_0016244; EFO_0004991","Hematology","S, O",2018,2018,TRUE
"Elzonris","Tagraxofusp","TAGRAXOFUSP","Stemline Therapeutics","CHEMBL4297573","IL-3 and diphtheria toxin fusion protein","Blastic plasmacytoid dendritic cell neoplasm","blastic plasmacytoid dendritic cell neoplasm","EFO_0010580","Oncology","P, O, B",2018,2018,FALSE
"Jeuveau","Prabotulinumtoxin A","PRABOTULINUMTOXIN A","Evolus","CHEMBL4297229","Acetylcholine release inhibitor and a neuromuscular blocking agent","Glabellar lines associated with corrugator and/or procerus muscle activity","Facial wrinkling","HP_0009762","Other","S",2019,2019,FALSE
"Cablivi","Caplacizumab","CAPLACIZUMAB","Sanofi/Ablynx","CHEMBL2109624","vWF-directed nanobody","ATTP","thrombotic thrombocytopenic purpura","MONDO_0018896","Hematology","P, O",2019,2019,TRUE
"Egaten","Triclabendazole","TRICLABENDAZOLE","Novartis","CHEMBL1086440","Anthelmintic","Fascioliasis","fascioliasis","EFO_1001324","Infectious","P, O",2019,NA,NA
"Zulresso","Brexanolone","BREXANOLONE","Sage Therapeutics","CHEMBL207538","GABAA-receptor-positive modulator","Postpartum depression","postpartum depression","EFO_0007453","Mental health","P, B",2019,2019,TRUE
"Sunosi","Solriamfetol","SOLRIAMFETOL","Jazz","CHEMBL4297620","Dopamine and noradrenaline reuptake inhibitor","Excessive sleepiness due to narcolepsy or obstructive sleep apnoea","hypersomnia; narcolepsy; obstructive sleep apnea","EFO_0005246; MONDO_0021107; EFO_0003918","Other","S, O",2019,2019,TRUE
"Mayzent","Siponimod","SIPONIMOD","Novartis","CHEMBL2336071","S1P receptor modulator","Relapsing forms of multiple sclerosis","relapsing-remitting multiple sclerosis","EFO_0003929","Neurological","S",2019,2019,TRUE
"Evenity","Romosozumab","ROMOSOZUMAB","Amgen","CHEMBL2107874","Sclerostin inhibitor","Osteoporosis","osteoporosis","EFO_0003882","Endocrine","S",2019,2019,TRUE
"Balversa","Erdafitinib","ERDAFITINIB","Janssen /J&J","CHEMBL3545376","FGFR inhibitor","Bladder cancer","urinary bladder carcinoma","MONDO_0004986","Oncology","P, B, A",2019,2019,TRUE
"Skyrizi","Risankizumab","RISANKIZUMAB","AbbVie","CHEMBL3990029","IL-23 antagonist","Plaque psoriasis","psoriasis vulgaris","EFO_1001494","Dermatology","S",2019,2019,TRUE
"Vyndaqel","Tafamidis","TAFAMIDIS","Pfizer/Foldrx","CHEMBL2103837","Transthyretin stabilizer","Heart disease caused by ATTR-CM","cardiomyopathy","EFO_0000318","Cardiovascular","P, O, B",2019,2019,TRUE
"Piqray","Alpelisib","ALPELISIB","Novartis","CHEMBL2396661","PI3K inhibitor","Breast cancer","breast cancer","MONDO_0007254","Oncology","P",2019,2019,TRUE
"Polivy","Polatuzumab vedotin","POLATUZUMAB VEDOTIN","Roche","CHEMBL3301582","CD79b-directed ADC","Diffuse large B-cell lymphoma","diffuse large b-cell lymphoma","EFO_0000403","Oncology","P, O, B, A",2019,2019,TRUE
"Vyleesi","Bremelanotide","BREMELANOTIDE","Amag","CHEMBL2070241","Melanocortin receptor agonist","Hypoactive sexual desire disorder","sexual dysfunction","EFO_0004714","Other","S",2019,2019,FALSE
"Xpovio","Selinexor","SELINEXOR","Karyopharm Therapeutics","CHEMBL3545185","XPO1 inhibitor","Multiple myeloma","multiple myeloma","EFO_0001378","Oncology","P, O, A",2019,2019,TRUE
"Recarbrio","Cilastatin; imipenem; relebactam","CILASTATIN","Merck & Co.","CHEMBL766","A renal dehydropeptidase inhibitor, a penem antibacterial and a beta-lactamase inhibitor","Complicated urinary tract and complicated intra-abdominal infections","urinary tract infection","EFO_0003103","Infectious","P",2019,2019,FALSE
"Recarbrio","Cilastatin; imipenem; relebactam","IMIPENEM","Merck & Co.","CHEMBL148","A renal dehydropeptidase inhibitor, a penem antibacterial and a beta-lactamase inhibitor","Complicated urinary tract and complicated intra-abdominal infections","urinary tract infection","EFO_0003103","Infectious","P",2019,2019,FALSE
"Recarbrio","Cilastatin; imipenem; relebactam","RELEBACTAM","Merck & Co.","CHEMBL3301605","A renal dehydropeptidase inhibitor, a penem antibacterial and a beta-lactamase inhibitor","Complicated urinary tract and complicated intra-abdominal infections","urinary tract infection","EFO_0003103","Infectious","P",2019,2019,FALSE
"Accrufer","Ferric maltol","FERRIC MALTOL","Shield Therapeutics","CHEMBL4298110","Iron replacement product","Iron deficiency anaemia","iron deficiency anemia","HP_0001891","Hematology","S",2019,2019,TRUE
"Nubeqa","Darolutamide","DAROLUTAMIDE","Bayer","CHEMBL4297185","Androgen receptor inhibitor","Prostate cancer","prostate cancer","MONDO_0008315","Oncology","P",2019,2019,TRUE
"Turalio","Pexidartinib","PEXIDARTINIB","Daiichi Sankyo","CHEMBL3813873","CSF1R, KIT and FLT3 inhibitor","Tenosynovial giant cell tumour","Tenosynovial Giant Cell Tumor","EFO_1000562","Oncology","P, O, B",2019,2019,TRUE
"Wakix","Pitolisant","PITOLISANT","Harmony","CHEMBL462605","H3-receptor antagonist/inverse agonist","Excessive sleepiness due to narcolepsy","narcolepsy","MONDO_0021107","Neurological","P, O",2019,2019,FALSE
"Pretomanid","Pretomanid","PRETOMANID","Pfizer/Mylan","CHEMBL227875","Antimycobacterial","Tuberculosis","tuberculosis","MONDO_0018076","Infectious","P, O",2019,NA,NA
"Rozlytrek","Entrectinib","ENTRECTINIB","Roche","CHEMBL1983268","TRKA, TRKB, TRKC, ROS1 and ALK inhibitor","NTRK fusion-positive solid tumours and ROS1-positive NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2019,2019,TRUE
"Rinvoq","Upadacitinib","UPADACITINIB","AbbVie","CHEMBL3622821","JAK inhibitor","Rheumatoid arthritis","rheumatoid arthritis","EFO_0000685","Immunology","S",2019,2019,TRUE
"Inrebic","Fedratinib","FEDRATINIB","Celgene/BMS","CHEMBL1287853","JAK2 and FLT3 inhibitor","Myelofibrosis","myelofibrosis","MONDO_0044903","Hematology","P, O",2019,2019,TRUE
"Xenleta","Lefamulin","LEFAMULIN","Nabriva","CHEMBL3291398","Pleuromutilin antibacterial","CABP","bacterial pneumonia","EFO_1001272","Respiratory","P",2019,NA,NA
"Gallium dotatoc Ga-68","Gallium dotatoc Ga-68","GALLIUM DOTATOC GA-68","UIHC PET Imaging Center","CHEMBL4297340","Radioactive diagnostic","Localization of somatostatin receptor-positive neuroendocrine tumours","neuroendocrine neoplasm","EFO_1001901","Oncology","S, O",2019,NA,NA
"Nourianz","Istradefylline","ISTRADEFYLLINE","Kyowa Kirin","CHEMBL431770","Adenosine receptor antagonist","Parkinson disease episodes","Parkinson disease","MONDO_0005180","Neurological","S",2019,2019,TRUE
"Ibsrela","Tenapanor","TENAPANOR","Ardelyx","CHEMBL3304485","NHE3 inhibitor","IBS with constipation","irritable bowel syndrome","EFO_0000555","Gastrointestinal","S",2019,2019,FALSE
"Aklief","Trifarotene","TRIFAROTENE","Galderma","CHEMBL3707313","Retinoic acid receptor agonist","Acne vulgaris","acne","EFO_0003894","Dermatology","S",2019,2019,FALSE
"Beovu","Brolucizumab","BROLUCIZUMAB","Novartis","CHEMBL3707357","VEGF inhibitor","Wet age-related macular degeneration","macular degeneration","EFO_0009606","Ophthalmology","S",2019,2019,TRUE
"Scenesse","Afamelanotide","AFAMELANOTIDE","Clinuvel","CHEMBL441738","Melanocortin 1 receptor agonist","Erythropoietic protoporphyria","erythropoietic protoporphyria","MONDO_0001676","Dermatology","P, O",2019,2019,TRUE
"Fluorodopa F-18","Fluorodopa F-18","FLUORODOPA F-18","Feinstein Institutes","CHEMBL3400972","Radioactive diagnostic","Diagnosis of parkinsonian syndromes","Parkinson disease","MONDO_0005180","Neurological","S",2019,NA,NA
"Reyvow","Lasmiditan","LASMIDITAN","Eli Lilly","CHEMBL3039520","Serotonin (5-HT) 1F receptor agonist","Migraine with or without aura","migraine disorder","MONDO_0005277","Neurological","S",2019,2019,FALSE
"Trikafta","Tezacaftor; elexacaftor; ivacaftor","TEZACAFTOR","Vertex","CHEMBL3544914","Two CFTR correctors and a CFTR potentiator","Most common gene mutation that causes cystic fibrosis","cystic fibrosis","MONDO_0009061","Metabolic","P, O, B",2019,2019,TRUE
"Trikafta","Tezacaftor; elexacaftor; ivacaftor","ELEXACAFTOR","Vertex","CHEMBL4298128","Two CFTR correctors and a CFTR potentiator","Most common gene mutation that causes cystic fibrosis","cystic fibrosis","MONDO_0009061","Metabolic","P, O, B",2019,2019,TRUE
"Trikafta","Tezacaftor; elexacaftor; ivacaftor","IVACAFTOR","Vertex","CHEMBL2010601","Two CFTR correctors and a CFTR potentiator","Most common gene mutation that causes cystic fibrosis","cystic fibrosis","MONDO_0009061","Metabolic","P, O, B",2019,2019,TRUE
"ExEm Foam","Air polymer-type A","AIR POLYMER-TYPE A","Giskit","CHEMBL4594264","Ultrasound contrast agent","Assess fallopian tube patency in women with known or suspected infertility","infertility","EFO_0000545","Other","S",2019,NA,NA
"Reblozyl","Luspatercept","LUSPATERCEPT","Celgene/BMS","CHEMBL3039545","Erythroid maturation agent","Anaemia in beta-thalassaemia","beta thalassemia; anemia","MONDO_0019402; MONDO_0002280","Hematology","P, O",2019,2019,TRUE
"Fetroja","Cefiderocol","CEFIDEROCOL","Shionogi","CHEMBL3989974","Cephalosporin antibacterial","Complicated urinary tract infections","urinary tract infection","EFO_0003103","Infectious","P",2019,NA,NA
"Brukinsa","Zanubrutinib","ZANUBRUTINIB","BeiGene","CHEMBL3936761","BTK inhibitor","Mantle cell lymphoma","mantle cell lymphoma","EFO_1001469","Oncology","P, O, B, A",2019,2019,TRUE
"Adakveo","Crizanlizumab","CRIZANLIZUMAB","Novartis","CHEMBL4297734","P-selectin blocker","Painful complications of SCD","sickle cell disease and related diseases","MONDO_0017146","Hematology","P, O, B",2019,2019,FALSE
"Givlaari","Givosiran","GIVOSIRAN","Alnylam","CHEMBL4297760","ALAS1-directed siRNA","Acute hepatic porphyria","acute hepatic porphyria","Orphanet_95157","Metabolic","P, O, B",2019,2019,FALSE
"Xcopri","Cenobamate","CENOBAMATE","SK Life Science","CHEMBL3989949","Unknown","Partial onset seizures","seizure","HP_0001250","Neurological","S",2019,2019,TRUE
"Oxbryta","Voxelotor","VOXELOTOR","Global Blood Therapeutics","CHEMBL4101807","Haemoglobin S polymerization inhibitor","SCD (sickle cell disease)","sickle cell anemia","MONDO_0011382","Hematology","P, O, B, A",2019,2019,TRUE
"Vyondys 53","Golodirsen","GOLODIRSEN","Sarepta","CHEMBL4297762","Exon 53 skipping antisense","Duchenne muscular dystrophy","duchenne muscular dystrophy","MONDO_0010679","Neurological","P, O, A",2019,2019,TRUE
"Padcev","Enfortumab vedotin","ENFORTUMAB VEDOTIN","Astellas","CHEMBL3301589","Nectin-4-directed ADC","Urothelial cancers","urothelial neoplasm","MONDO_0024337","Oncology","P, B, A",2019,2019,TRUE
"Tissueblue","Brilliant Blue G","BRILLIANT BLUE G","Dutch Ophthalmic Research","CHEMBL4173394","Brilliant Blue G dye","Staining the internal limiting membrane",NA,NA,"Other","P, O",2019,NA,NA
"Dayvigo","Lemborexant","LEMBOREXANT","Eisai","CHEMBL3545367","Orexin receptor antagonist","Insomnia","insomnia","EFO_0004698","Neurological","S",2019,2019,TRUE
"Enhertu","Trastuzumab deruxtecan","TRASTUZUMAB DERUXTECAN","Daiichi Sankyo/AstraZeneca","CHEMBL4297844","HER2-directed ADC","HER2-positive breast cancer","HER2 Positive Breast Carcinoma","EFO_1000294","Oncology","P, B, A",2019,2019,TRUE
"Caplyta","Lumateperone","LUMATEPERONE","Intra-Cellular Therapies","CHEMBL3306803","Atypical antipsychotic","Schizophrenia","schizophrenia","MONDO_0005090","Neurological","S",2019,2019,TRUE
"Ubrelvy","Ubrogepant","UBROGEPANT","Allergan","CHEMBL2364638","CGRP receptor antagonist","Migraine with or without aura","migraine disorder","MONDO_0005277","Neurological","S",2019,2019,TRUE
"Ayvakit","Avapritinib","AVAPRITINIB","Blueprint Medicines","CHEMBL4204794","PDGFRA, PDGFRA mutants and KIT kinase inhibitor","GIST with PDGFRA exon 18 mutations","gastrointestinal stromal tumor","MONDO_0011719","Oncology",NA,2020,2020,TRUE
"Tepezza","Teprotumumab","TEPROTUMUMAB","Horizon Therapeutics","CHEMBL1743079","IGF1R-directed mAb","Thyroid eye disease","Graves disease","EFO_0004237","Ophthalmology",NA,2020,2020,FALSE
"Tazverik","Tazemetostat","TAZEMETOSTAT","Epizyme","CHEMBL3414621","EZH2 inhibitor","Epithelioid sarcoma","epithelioid sarcoma","MONDO_0017387","Oncology",NA,2020,2020,TRUE
"Pizensy","Lactitol","LACTITOL","Braintree Labs","CHEMBL1661","Osmotic laxative","Chronic idiopathic constipation","Chronic constipation","HP_0012450","Other",NA,2020,NA,NA
