Drug_name,Brand_name,Sponsor,Properties,Review_type,Year,Indication,Indication_EFO,DiseaseId,TA,Drug_name_original,DrugId,Why_has_no
PERAMIVIR,Rapivab,BioCryst,Neuraminidase inhibitor,S,2014,Influenza infection,influenza,EFO_0007328,Infectious,Peramivir,CHEMBL139367,
NIVOLUMAB,Opdivo,Bristol-Myers Squibb,PD1 inhibitor,"P, O, B, A",2014,Unresectable or metastatic melanoma,metastatic melanoma; cancer,EFO_0002617; MONDO_0004992,Oncology,Nivolumab,CHEMBL2108738,"Downstream regulator (CD274), Post-approval"
EDOXABAN,Savaysa,Daiichi Sankyo,Factor Xa inhibitor,S,2015,"Risk of stroke and systemic embolism in NVAF, and deep vein thrombosis",atrial fibrillation; deep vein thrombosis,EFO_0000275; EFO_0003907,Cardiovascular,Edoxaban,CHEMBL1269025,
SECUKINUMAB,Cosentyx,Novartis,IL-17A antagonist,S,2015,"Plaque psoriasis, *psoriatic arthritis, ankylosing spondylitis, along with other joint inflammatory disorders.",psoriasis vulgaris,EFO_1001494,Dermatology,Secukinumab,CHEMBL1743068,
PARATHYROID HORMONE,Natpara,NPS Pharma,Hormonal injection,"S, O",2015,Hypocalcaemia in patients with hypoparathyroidism,hypoparathyroidism; Hypocalcemia,EFO_0009451; HP_0002901,Endocrine,Parathyroid hormone,CHEMBL2108078,
PALBOCICLIB,Ibrance,Pfizer,CDK4 and CDK6 inhibitor,"P, B, A",2015,"ER-positive, HER2-negative advanced breast cancer",HER2 negative breast carcinoma,EFO_0009780,Oncology,Palbociclib,CHEMBL189963,Related indication (arthritis)
LENVATINIB,Lenvima,Eisai,VEGFR inhibitor,"P, O",2015,Thyroid cancer,thyroid cancer,MONDO_0002108,Oncology,Lenvatinib,CHEMBL1289601,
PANOBINOSTAT,Farydak,Novartis,Histone deacetylase inhibitor,"P, O, A",2015,Multiple myeloma,multiple myeloma,EFO_0001378,Oncology,Panobinostat,CHEMBL483254,
AVIBACTAM,Avycaz,Allergan,A beta-lactamase inhibitor and a cephalosporin,P,2015,Complicated intra-abdominal infections and complicated urinary tract infections,infection,EFO_0000544,Infectious,Avibactam; ceftazidime,CHEMBL1689063,
CEFTAZIDIME,Avycaz,Allergan,A beta-lactamase inhibitor and a cephalosporin,P,2015,Complicated intra-abdominal infections and complicated urinary tract infections,infection,EFO_0000544,Infectious,Avibactam; ceftazidime,CHEMBL44354,
ISAVUCONAZONIUM,Cresemba,Astellas,Azole antifungal,"P, O",2015,Antifungal,aspergillosis; mucormycosis,EFO_0007157; EFO_0007380,Infectious,Isavuconazonium,CHEMBL1183349,
DINUTUXIMAB,Unituxin,United Therapeutics,GD2-binding mAb,"P, O",2015,Neuroblastoma,neuroblastoma,EFO_0000621,Oncology,Dinutuximab,CHEMBL3137342,
CHOLIC ACID,Cholbam,Retrophin,A primary bile acid,"P, O",2015,Bile acid synthesis disorders and peroxisomal disorders,peroxisomal disease; Disorder of bile acid synthesis,MONDO_0019053; Orphanet_79168,Metabolic,Cholic acid,CHEMBL205596,Target (NR1H4)
IVABRADINE,Corlanor,Amgen,Hyperpolarization-activated cyclic nucleotide-gated channel blocker,P,2015,Chronic heart failure,congestive heart failure,EFO_0000373,Cardiovascular,Ivabradine,CHEMBL471737,
DEOXYCHOLIC ACID,Kybella,Kythera,Cytolytic drug,S,2015,Fat below the chin,body fat distribution,EFO_0004341,Other,Deoxycholic acid,CHEMBL406393,Downstream?
ELUXADOLINE,Viberzi,Allergan,Mu-opioid receptor agonist,P,2015,Irritable bowel syndrome,irritable bowel syndrome,EFO_0000555,Gastrointestinal,Eluxadoline,CHEMBL2159122,Unknown
CANGRELOR,Kengreal,Medicines Company,P2Y12 platelet inhibitor,S,2015,"Myocardial infarction, repeat coronary revascularization, and stent thrombosis",myocardial infarction,EFO_0000612,Cardiovascular,Cangrelor,CHEMBL334966,Related indication (Abnormal bleeding)
IVACAFTOR,Orkambi,Vertex,CFTR potentiator plus CFTR corrector,"P, O, B",2015,Cystic fibrosis in patients with homozygous DF508 CFTR mutation,cystic fibrosis,MONDO_0009061,Other,Ivacaftor; lumacaftor,CHEMBL2010601,
LUMACAFTOR,Orkambi,Vertex,CFTR potentiator plus CFTR corrector,"P, O, B",2015,Cystic fibrosis in patients with homozygous DF508 CFTR mutation,cystic fibrosis,MONDO_0009061,Other,Ivacaftor; lumacaftor,CHEMBL2103870,
SACUBITRIL,Entresto,Novartis,A neprilysin inhibitor plus an angiotensin II receptor blocker,P,2015,Chronic heart failure,congestive heart failure,EFO_0000373,Cardiovascular,Sacubitril; valsartan,CHEMBL3137301,
VALSARTAN,Entresto,Novartis,A neprilysin inhibitor plus an angiotensin II receptor blocker,P,2015,Chronic heart failure,congestive heart failure,EFO_0000373,Cardiovascular,Sacubitril; valsartan,CHEMBL1069,
BREXPIPRAZOLE,Rexulti,Otsuka,Atypical antipsychotic,S,2015,MDD and schizophrenia,major depressive disorder; schizophrenia,MONDO_0002009; MONDO_0005090,Mental health,Brexpiprazole,CHEMBL2105760,
ALIROCUMAB,Praluent,Sanofi,PCSK9 inhibitor,P,2015,LDL lowering,LDL cholesterol change measurement,EFO_0007804,Cardiovascular,Alirocumab,CHEMBL2109540,
SONIDEGIB,Odomzo,Novartis,Smoothened inhibitor,S,2015,Basal cell carcinoma,basal cell carcinoma,EFO_0004193,Oncology,Sonidegib,CHEMBL2105737,
DACLATASVIR,Daklinza,Bristol-Myers Squibb,NS5A inhibitor,P,2015,HCV,hepatitis C virus infection,EFO_0003047,Infectious,Daclatasvir,CHEMBL2023898,
FLIBANSERIN,Addyi,Sprout,Serotonin receptor modulator,S,2015,Hypoactive sexual desire disorder,sexual dysfunction,EFO_0004714,Other,Flibanserin,CHEMBL231068,Related indication (female reproductive system disease)
EVOLOCUMAB,Repatha,Amgen,PCSK9 inhibitor,"S, O",2015,LDL lowering,LDL cholesterol change measurement,EFO_0007804,Cardiovascular,Evolocumab,CHEMBL2364655,
ROLAPITANT,Varubi,Tesaro,Neurokinin 1 receptor antagonist,S,2015,Nausea and vomiting associated with chemotherapy,Chemotherapy-induced nausea and vomiting,EFO_0006911,Other,Rolapitant,CHEMBL3707331,Cohort problem
URIDINE,Xuriden,Wellstat,Pyrimidine analogue,"P, O, B",2015,Hereditary orotic aciduria,Hereditary orotic aciduria,Orphanet_30,Metabolic,Uridine,CHEMBL100259,
CARIPRAZINE,Vraylar,Forest,Atypical antipsychotic,S,2015,Schizophrenia and bipolar 1 disorder,Schizophrenia; bipolar disorder,MONDO_0005090; MONDO_0004985,Mental health,Cariprazine,CHEMBL2028019,
TIPIRACIL,Lonsurf,Taiho,Thymidine phosphorylase inhibitor plus a nucleoside metabolic inhibitor,S,2015,Colorectal cancer,colorectal cancer,EFO_0005842,Oncology,Tipiracil; trifluridine,CHEMBL235668,
TRIFLURIDINE,Lonsurf,Taiho,Thymidine phosphorylase inhibitor plus a nucleoside metabolic inhibitor,S,2015,Colorectal cancer,colorectal cancer,EFO_0005842,Oncology,Tipiracil; trifluridine,CHEMBL1129,
INSULIN DEGLUDEC,Tresiba,Novo Nordisk,Long-acting insulin,S,2015,Diabetes,diabetes mellitus,EFO_0000400,Metabolic,Insulin degludec,CHEMBL2107869,
ARIPIPRAZOLE LAUROXIL,Aristada,Alkermes,Extended release atypical antipsychotic,S,2015,Schizophrenia,schizophrenia,MONDO_0005090,Mental health,Aripiprazole lauroxil,CHEMBL2219425,
IDARUCIZUMAB,Praxbind,Boehringer Ingelheim,Dabigatran-binding mAb fragment,"P, O, B, A",2015,Reversal of anticoagulant effects of dabigatran,response to anticoagulant,GO_0061476,Other,Idarucizumab,CHEMBL3544996,
PATIROMER SORBITEX,Veltassa,Relypsa,Potassium binder,S,2015,Hyperkalaemia,Hyperkalemia,HP_0002153,Other,Patiromer sorbitex,CHEMBL2107840,
ASFOTASE ALFA,Strensiq,Alexion,Alkaline phosphatase,"P, O, B",2015,Hypophosphatasia,hypophosphatasia,MONDO_0018570,Other,Asfotase alfa,CHEMBL2108311,
TRABECTEDIN,Yondelis,Johnson & Johnson,Alkylating drug,"P, O",2015,Liposarcoma or leiomyosarcoma,liposarcoma; leiomyosarcoma,EFO_0000569; EFO_0000564,Oncology,Trabectedin,CHEMBL450449,
MEPOLIZUMAB,Nucala,GlaxoSmithKline,IL-5 antagonist,S,2015,Severe asthma,Status Asthmaticus,EFO_0008590,Respiratory,Mepolizumab,CHEMBL2108429,
ELVITEGRAVIR,Genvoya,Gilead,An INSTI plus a CYP3A inhibitor plus two nucleoside analogue reverse transcriptase inhibitors,S,2015,HIV,HIV infection,EFO_0000764,Infectious,Elvitegravir; cobicistat; emtricitabine; tenofovir,CHEMBL204656,
COBICISTAT,Genvoya,Gilead,An INSTI plus a CYP3A inhibitor plus two nucleoside analogue reverse transcriptase inhibitors,S,2015,HIV,HIV infection,EFO_0000764,Infectious,Elvitegravir; cobicistat; emtricitabine; tenofovir,CHEMBL2095208,
EMTRICITABINE,Genvoya,Gilead,An INSTI plus a CYP3A inhibitor plus two nucleoside analogue reverse transcriptase inhibitors,S,2015,HIV,HIV infection,EFO_0000764,Infectious,Elvitegravir; cobicistat; emtricitabine; tenofovir,CHEMBL885,
TENOFOVIR,Genvoya,Gilead,An INSTI plus a CYP3A inhibitor plus two nucleoside analogue reverse transcriptase inhibitors,S,2015,HIV,HIV infection,EFO_0000764,Infectious,Elvitegravir; cobicistat; emtricitabine; tenofovir,CHEMBL483,
COBIMETINIB,Cotellic,Genentech,MEK inhibitor,"P, O",2015,Melanoma with BRAFV600E/K mutations,melanoma,EFO_0000756,Oncology,Cobimetinib,CHEMBL2146883,
OSIMERTINIB,Tagrisso,AstraZeneca,EGFR inhibitor,"P, O, B, A",2015,NSCLC with EGFRT790M mutations,non-small cell lung carcinoma,EFO_0003060,Oncology,Osimertinib,CHEMBL3353410,
DARATUMUMAB,Darzalex,Johnson & Johnson,CD38-directed mAb,"P, O, B, A",2015,Multiple myeloma,multiple myeloma,EFO_0001378,Oncology,Daratumumab,CHEMBL1743007,
IXAZOMIB,Ninlaro,Takeda,Oral proteasome inhibitor,"P, O",2015,Multiple myeloma,multiple myeloma,EFO_0001378,Oncology,Ixazomib,CHEMBL2141296,
NECITUMUMAB,Portrazza,Eli Lilly,EGFR antagonist,"S, O",2015,NSCLC,non-small cell lung carcinoma,EFO_0003060,Oncology,Necitumumab,CHEMBL1743047,
ELOTUZUMAB,Empliciti,Bristol-Myers Squibb,SLAMF7-directed mAb,"P, O, B",2015,Multiple myeloma,multiple myeloma,EFO_0001378,Oncology,Elotuzumab,CHEMBL1743010,
SEBELIPASE ALFA,Kanuma,Alexion,Enzyme replacement therapy,"P, O, B",2015,LAL deficiency,lysosomal acid lipase deficiency,MONDO_0010204,Metabolic,Sebelipase alfa,CHEMBL3039537,
ALECTINIB,Alecensa,Roche,ALK inhibitor,"P, O, B, A",2015,NSCLC,non-small cell lung carcinoma,EFO_0003060,Oncology,Alectinib,CHEMBL1738797,
SUGAMMADEX,Bridion,Merck & Co.,A modified gamma cyclodextrin,P,2015,Reversal of neuromuscular blockade during surgery,neuromuscular disease,EFO_1001902,Other,Sugammadex,CHEMBL2111107,Cohort problem
SELEXIPAG,Uptravi,Actelion,Prostacyclin receptor agonist,"S, O",2015,Pulmonary arterial hypertension,pulmonary arterial hypertension,EFO_0001361,Cardiovascular,Selexipag,CHEMBL238804,Downstream regulator (prostacyclin synthase)
LESINURAD,Zurampic,AstraZeneca,URAT1 inhibitor,S,2015,Gout,gout,EFO_0004274,Other,Lesinurad,CHEMBL2105720,
