Drug_name,Brand_name,Sponsor,Properties,Review_type,Year,Indication,Indication_EFO,DiseaseId,TA
Brexpiprazole,Rexulti,Otsuka,Atypical antipsychotic,S,2015,MDD and schizophrenia,major depressive disorder; schizophrenia,MONDO_0002009; MONDO_0005090,Mental health
Alirocumab,Praluent,Sanofi,PCSK9 inhibitor,P,2015,LDL lowering,LDL cholesterol change measurement,EFO_0007804,Cardiovascular
Sonidegib,Odomzo,Novartis,Smoothened inhibitor,S,2015,Basal cell carcinoma,basal cell carcinoma,EFO_0004193,Oncology
Daclatasvir,Daklinza,Bristol-Myers Squibb,NS5A inhibitor,P,2015,HCV,hepatitis C virus infection,EFO_0003047,Infectious
Flibanserin,Addyi,Sprout,Serotonin receptor modulator,S,2015,Hypoactive sexual desire disorder,sexual dysfunction,EFO_0004714,Other
Evolocumab,Repatha,Amgen,PCSK9 inhibitor,"S, O",2015,LDL lowering,LDL cholesterol change measurement,EFO_0007804,Cardiovascular
Rolapitant,Varubi,Tesaro,Neurokinin 1 receptor antagonist,S,2015,Nausea and vomiting associated with chemotherapy,Chemotherapy-induced nausea and vomiting,EFO_0006911,Other
Uridine,Xuriden,Wellstat,Pyrimidine analogue,"P, O, B",2015,Hereditary orotic aciduria,Hereditary orotic aciduria,Orphanet_30,Metabolic
Cariprazine,Vraylar,Forest,Atypical antipsychotic,S,2015,Schizophrenia and bipolar 1 disorder,Schizophrenia; bipolar disorder,MONDO_0005090; MONDO_0004985,Mental health
Tipiracil; trifluridine,Lonsurf,Taiho,Thymidine phosphorylase inhibitor plus a nucleoside metabolic inhibitor,S,2015,Colorectal cancer,colorectal cancer,EFO_0005842,Oncology
Insulin degludec,Tresiba,Novo Nordisk,Long-acting insulin,S,2015,Diabetes,diabetes mellitus,EFO_0000400,Metabolic
Aripiprazole lauroxil,Aristada,Alkermes,Extended release atypical antipsychotic,S,2015,Schizophrenia,schizophrenia,MONDO_0005090,Mental health
Idarucizumab,Praxbind,Boehringer Ingelheim,Dabigatran-binding mAb fragment,"P, O, B, A",2015,Reversal of anticoagulant effects of dabigatran,response to anticoagulant,GO_0061476,Other
Patiromer sorbitex,Veltassa,Relypsa,Potassium binder,S,2015,Hyperkalaemia,Hyperkalemia,HP_0002153,Other
Asfotase alfa,Strensiq,Alexion,Alkaline phosphatase,"P, O, B",2015,Hypophosphatasia,hypophosphatasia,MONDO_0018570,Other
Trabectedin,Yondelis,Johnson & Johnson,Alkylating drug,"P, O",2015,Liposarcoma or leiomyosarcoma,liposarcoma; leiomyosarcoma,EFO_0000569; EFO_0000564,Oncology
Mepolizumab,Nucala,GlaxoSmithKline,IL-5 antagonist,S,2015,Severe asthma,Status Asthmaticus,EFO_0008590,Respiratory
Elvitegravir; cobicistat; emtricitabine; tenofovir,Genvoya,Gilead,An INSTI plus a CYP3A inhibitor plus two nucleoside analogue reverse transcriptase inhibitors,S,2015,HIV,HIV infection,EFO_0000764,Infectious
Cobimetinib,Cotellic,Genentech,MEK inhibitor,"P, O",2015,Melanoma with BRAFV600E/K mutations,melanoma,EFO_0000756,Oncology
Osimertinib,Tagrisso,AstraZeneca,EGFR inhibitor,"P, O, B, A",2015,NSCLC with EGFRT790M mutations,non-small cell lung carcinoma,EFO_0003060,Oncology
Daratumumab,Darzalex,Johnson & Johnson,CD38-directed mAb,"P, O, B, A",2015,Multiple myeloma,multiple myeloma,EFO_0001378,Oncology
Ixazomib,Ninlaro,Takeda,Oral proteasome inhibitor,"P, O",2015,Multiple myeloma,multiple myeloma,EFO_0001378,Oncology
Necitumumab,Portrazza,Eli Lilly,EGFR antagonist,"S, O",2015,NSCLC,non-small cell lung carcinoma,EFO_0003060,Oncology
Elotuzumab,Empliciti,Bristol-Myers Squibb,SLAMF7-directed mAb,"P, O, B",2015,Multiple myeloma,multiple myeloma,EFO_0001378,Oncology
Sebelipase alfa,Kanuma,Alexion,Enzyme replacement therapy,"P, O, B",2015,LAL deficiency,lysosomal acid lipase deficiency,MONDO_0010204,Metabolic
Alectinib,Alecensa,Roche,ALK inhibitor,"P, O, B, A",2015,NSCLC,non-small cell lung carcinoma,EFO_0003060,Oncology
Sugammadex,Bridion,Merck & Co.,A modified gamma cyclodextrin,P,2015,Reversal of neuromuscular blockade during surgery,neuromuscular disease,EFO_1001902,Other
Selexipag,Uptravi,Actelion,Prostacyclin receptor agonist,"S, O",2015,Pulmonary arterial hypertension,pulmonary arterial hypertension,EFO_0001361,Cardiovascular
Lesinurad,Zurampic,AstraZeneca,URAT1 inhibitor,S,2015,Gout,gout,EFO_0004274,Other
