"","Drug_name","Brand_name","Sponsor","Properties","Indication","TA","Review_type","Year","Drug_name_original","DrugId"
"86","DAROLUTAMIDE","Nubeqa","Bayer","Androgen receptor inhibitor","Prostate cancer",NA,"P",2019,"Darolutamide","CHEMBL4297185"
"87","PEXIDARTINIB","Turalio","Daiichi Sankyo","CSF1R, KIT and FLT3 inhibitor","Tenosynovial giant cell tumour",NA,"P, O, B",2019,"Pexidartinib","CHEMBL3813873"
"88","PITOLISANT","Wakix","Harmony","H3 receptor antagonist/inverse agonist","Excessive sleepiness due to narcolepsy",NA,"P, O",2019,"Pitolisant","CHEMBL462605"
"89","PRETOMANID","Pretomanid","Pfizer/Mylan","Antimycobacterial","Tuberculosis",NA,"P, O",2019,"Pretomanid","CHEMBL227875"
"90","ENTRECTINIB","Rozlytrek","Roche","TRKA, TRKB, TRKC, ROS1 and ALK inhibitor","NTRK fusion-positive solid tumours and ROS1-positive NSCLC",NA,"P, O, B, A",2019,"Entrectinib","CHEMBL1983268"
"91","UPADACITINIB","Rinvoq","AbbVie","JAK inhibitor","Rheumatoid arthritis",NA,"S",2019,"Upadacitinib","CHEMBL3622821"
"92","FEDRATINIB","Inrebic","Celgene/BMS","JAK2 and FLT3 inhibitor","Myelofibrosis",NA,"P, O",2019,"Fedratinib","CHEMBL1287853"
"93","LEFAMULIN","Xenleta","Nabriva","Pleuromutilin antibacterial","CABP",NA,"P",2019,"Lefamulin","CHEMBL3291398"
"94","GALLIUM DOTATOC GA-68",NA,"UIHC PET Imaging Center","Radioactive diagnostic","Localization of somatostatin receptor-positive neuroendocrine tumours",NA,"S, O",2019,"Gallium dotatoc Ga-68",NA
"95","ISTRADEFYLLINE","Nourianz","Kyowa Kirin","Adenosine receptor antagonist","Parkinson disease, ‘off’ episodes",NA,"S",2019,"Istradefylline","CHEMBL431770"
"96","TENAPANOR","Ibsrela","Ardelyx","NHE3 inhibitor","IBS with constipation",NA,"S",2019,"Tenapanor","CHEMBL3304485"
"97","TRIFAROTENE","Aklief","Galderma","Retinoic acid receptor agonist","Acne vulgaris",NA,"S",2019,"Trifarotene","CHEMBL3707313"
"98","BROLUCIZUMAB","Beovu","Novartis","VEGF inhibitor","Wet age-related macular degeneration",NA,"S",2019,"Brolucizumab","CHEMBL3707357"
"99","AFAMELANOTIDE","Scenesse","Clinuvel","Melanocortin 1 receptor agonist","Erythropoietic protoporphyria",NA,"P, O",2019,"Afamelanotide","CHEMBL441738"
"100","FLUORODOPA F-18",NA,"Feinstein Institutes","Radioactive diagnostic","Diagnosis of parkinsonian syndromes",NA,"S",2019,"Fluorodopa F-18",NA
"101","LASMIDITAN","Reyvow","Eli Lilly","Serotonin (5-HT) 1F receptor agonist","Migraine with or without aura",NA,"S",2019,"Lasmiditan","CHEMBL3039520"
"102","TEZACAFTOR","Trikafta","Vertex","Two CFTR correctors and a CFTR potentiator","Most common gene mutation that causes cystic fibrosis",NA,"P, O, B",2019,"Tezacaftor; elexacaftor; ivacaftor","CHEMBL3544914"
"103","ELEXACAFTOR","Trikafta","Vertex","Two CFTR correctors and a CFTR potentiator","Most common gene mutation that causes cystic fibrosis",NA,"P, O, B",2019,"Tezacaftor; elexacaftor; ivacaftor","CHEMBL4298128"
"104","IVACAFTOR","Trikafta","Vertex","Two CFTR correctors and a CFTR potentiator","Most common gene mutation that causes cystic fibrosis",NA,"P, O, B",2019,"Tezacaftor; elexacaftor; ivacaftor","CHEMBL2010601"
"105","AIR POLYMER-TYPE A","ExEm Foam","Giskit","Ultrasound contrast agent","Assess fallopian tube patency in women with known or suspected infertility",NA,"S",2019,"Air polymer-type A","CHEMBL4594264"
"106","LUSPATERCEPT","Reblozyl","Celgene/BMS","Erythroid maturation agent","Anaemia in β-thalassaemia",NA,"P, O",2019,"Luspatercept","CHEMBL3039545"
"107","CEFIDEROCOL","Fetroja","Shionogi","Cephalosporin antibacterial","Complicated urinary tract infections",NA,"P",2019,"Cefiderocol","CHEMBL3989974"
"108","ZANUBRUTINIB","Brukinsa","BeiGene","BTK inhibitor","Mantle cell lymphoma",NA,"P, O, B, A",2019,"Zanubrutinib","CHEMBL3936761"
"109","CRIZANLIZUMAB","Adakveo","Novartis","P-selectin blocker","Painful complications of SCD",NA,"P, O, B",2019,"Crizanlizumab","CHEMBL4297734"
"110","GIVOSIRAN","Givlaari","Alnylam","ALAS1-directed siRNA","Acute hepatic porphyria",NA,"P, O, B",2019,"Givosiran","CHEMBL4297760"
"111","CENOBAMATE","Xcopri","SK Life Science","Unknown","Partial onset seizures",NA,"S",2019,"Cenobamate","CHEMBL3989949"
"112","VOXELOTOR","Oxbryta","Global Blood Therapeutics","Haemoglobin S polymerization inhibitor","SCD",NA,"P, O, B, A",2019,"Voxelotor","CHEMBL4101807"
"113","GOLODIRSEN","Vyondys 53","Sarepta","Exon 53 skipping antisense","Duchenne muscular dystrophy",NA,"P, O, A",2019,"Golodirsen","CHEMBL4297762"
"114","ENFORTUMAB VEDOTIN","Padcev","Astellas","Nectin-4-directed ADC","Urothelial cancers",NA,"P, B, A",2019,"Enfortumab vedotin","CHEMBL3301589"
"115","BRILLIANT BLUE G","Tissueblue","Dutch Ophthalmic Research","Brilliant Blue G dye","Staining the internal limiting membrane",NA,"P, O",2019,"Brilliant Blue G","CHEMBL4173394"
"116","LEMBOREXANT","Dayvigo","Eisai","Orexin receptor antagonist","Insomnia",NA,"S",2019,"Lemborexant","CHEMBL3545367"
"117","TRASTUZUMAB DERUXTECAN","Enhertu","Daiichi Sankyo/AstraZeneca","HER2-directed ADC","HER2-positive breast cancer",NA,"P, B, A",2019,"Trastuzumab deruxtecan","CHEMBL4297844"
"118","LUMATEPERONE","Caplyta","Intra-Cellular Therapies","Atypical antipsychotic","Schizophrenia",NA,"S",2019,"Lumateperone","CHEMBL3306803"
"119","UBROGEPANT","Ubrelvy","Allergan","CGRP receptor antagonist","Migraine with or without aura",NA,"S",2019,"Ubrogepant","CHEMBL2364638"
