Drug_name,Brand_name,Sponsor,Properties,Indication,TA,Review type,Year
Tecovirimat ,TPOXX,SIGA Technologies,Viral p37 protein inhibitor,Smallpox,,"P, O",2018
Ivosidenib ,Tibsovo,Agios Pharmaceuticals,IDH1 inhibitor,IDH1-mutated AML,,"P, O",2018
Tafenoquine ,Krintafel,Medicines for Malaria Venture/GlaxoSmithKline,8-Aminoquinoline antimalarial,Plasmodium vivax malaria,,"P, O, B",2018
Elagolix sodium ,Orilissa,AbbVie,GnRH receptor antagonist,Pain associated with endometriosis,,P,2018
Fish oil triglycerides ,Omegaven,Fresenius,Mixture of fatty acids,Parenteral nutrition-associated cholestasis,,"P, O",2018
Lusutrombopag ,Mulpleta,Shionogi,Thrombopoietin receptor agonist,Thrombocytopenia,,P,2018
Mogamulizumab ,Poteligeo,Kyowa Hakko Kirin,CCR4 antibody,Mycosis fungoides and Sézary syndrome,,"P, O, B",2018
Patisiran ,Onpattro,Alnylam Pharmaceuticals,TTR-directed small interfering RNA,Hereditary TTR-mediated amyloidosis,,"P, O, B",2018
Segesterone acetate; ethinyl estradiol vaginal system ,Annovera,TherapeuticsMD,Progestin and estrogen combined hormonal contraceptive,Female contraception,,S,2018
Migalastat ,Galafold,Amicus Therapeutics,α-galactosidase regulator,Fabry disease,,"P, O, A",2018
Stiripentol ,Diacomit,Biocodex,GABA reuptake inhibitor,Dravet syndrome,,"P, O",2018
Cenegermin ,Oxervate,Dompé,Recombinant NGF,Neurotrophic keratitis,,"P, O, B",2018
Lanadelumab ,Takhzyro,Dyax/Shire,Kallikrein antibody,Hereditary angioedema,,"P, O, B",2018
Eravacycline ,Xerava,Tetraphase Pharmaceuticals,Tetracycline antibiotic,Complicated intra-abdominal infections,,P,2018
Doravirine ,Pifeltro,Merck & Co.,NNRTI,HIV,,S,2018
Moxetumomab pasudotox ,Lumoxiti,AstraZeneca,CD22-directed antibody–drug conjugate,Hairy cell leukaemia,,"P, O",2018
Fremanezumab ,Ajovy,Teva,CGRP antibody,Migraine,,P,2018
Duvelisib ,Copiktra,Verastem,PI3K inhibitor,"CLL, FL and SLL",,"P, O, A",2018
Galcanezumab ,Emgality,Eli Lilly,CGRP antibody,Migraine,,S,2018
Dacomitinib ,Vizimpro,Pfizer,EGFR inhibitor,EGFR-mutated NSCLC,,"P, O",2018
Cemiplimab ,Libtayo,Regeneron/Sanofi,PD1 antibody,CSCC,,"P, B",2018
Sarecycline ,Seysara,Allergan,Tetracycline antibiotic,Severe acne vulgaris,,S,2018
Omadacycline ,Nuzyra,Paratek Pharmaceuticals,Tetracycline antibiotic,CABP and ABSSSI,,P,2018
Elapegademase ,Revcovi,Leadiant Biosciences,Recombinant adenosine deaminase,ADA-SCID,,"P, O",2018
Inotersen ,Tegsedi,Ionis Pharmaceuticals,TTR-directed antisense oligonucleotide,Hereditary TTR-mediated amyloidosis,,"P, O",2018
Talazoparib ,Talzenna,Pfizer,PARP inhibitor,BRCA-mutated HER2-negative breast cancer,,P,2018
Baloxavir marboxil ,Xofluza,Shionogi/Roche,Polymerase acidic endonuclease inhibitor,Acute uncomplicated influenza,,P,2018
Lorlatinib ,Lorbrena,Pfizer,ALK and ROS1 inhibitor,ALK-positive NSCLC,,"P, O, B, A",2018
Revefenacin ,Yupelri,Theravance Biopharma/Mylan,Long-acting muscarinic receptor antagonist,COPD,,S,2018
Rifamycin ,Aemcolo,Cosmo Technologies,Ansamycin antibacterial,Travellers’ diarrhoea,,P,2018
Emapalumab ,Gamifant,Novimmune,Interferon-γ-blocking antibody,Primary haemophagocytic lymphohistiocytosis,,"P, O, B",2018
Glasdegib ,Daurismo,Pfizer,Hedgehog pathway inhibitor,AML,,"P, O",2018
Larotrectinib ,Vitrakvi,Loxo Oncology/Bayer,"TRKA, TRKB and TRKC inhibitor",NTRK-positive solid cancers,,"P, O, B, A",2018
Gilteritinib ,Xospata,Astellas,FLT3 inhibitor,FLT3-positive AML,,"P, O, B",2018
Amifampridine ,Firdapse,Catalyst Pharmaceuticals,Potassium channel blocker,Lambert–Eaton myasthenic syndrome,,"P, O",2018
Prucalopride ,Motegrity,Shire/Takeda,5-HT4 receptor agonist,Chronic idiopathic constipation,,S,2018
Calaspargase pegol ,Asparlas,Servier,Asparagine specific enzyme,ALL,,"S, O",2018
Ravulizumab ,Ultomiris,Alexion,Complement inhibitor,Paroxysmal nocturnal haemoglobinuria,,"S, O",2018
Tagraxofusp ,Elzonris,Stemline Therapeutics,IL-3 and diphtheria toxin fusion protein,Blastic plasmacytoid dendritic cell neoplasm,,"P, O, B",2018
PrabotulinumtoxinA ,Jeuveau,Evolus,Acetylcholine release inhibitor and a neuromuscular blocking agent,Glabellar lines associated with corrugator and/or procerus muscle activity,,S,2019
Caplacizumab ,Cablivi,Sanofi/Ablynx,vWF-directed nanobody,ATTP,,"P, O",2019
Triclabendazole ,Egaten,Novartis,Anthelmintic,Fascioliasis,,"P, O",2019
Brexanolone ,Zulresso,Sage Therapeutics,GABAA receptor-positive modulator,Postpartum depression,,"P, B",2019
Solriamfetol ,Sunosi,Jazz,Dopamine and noradrenaline reuptake inhibitor,Excessive sleepiness due to narcolepsy or obstructive sleep apnoea,,"S, O",2019
Siponimod ,Mayzent,Novartis,S1P receptor modulator,Relapsing forms of multiple sclerosis,,S,2019
Romosozumab ,Evenity,Amgen,Sclerostin inhibitor,Osteoporosis,,S,2019
Erdafitinib ,Balversa,Janssen /J&J,FGFR inhibitor,Bladder cancer,,"P, B, A",2019
Risankizumab ,Skyrizi,AbbVie,IL-23 antagonist,Plaque psoriasis,,S,2019
Tafamidis ,Vyndaqel,Pfizer/Foldrx,Transthyretin stabilizer,Heart disease caused by ATTR-CM,,"P, O, B",2019
Alpelisib ,Piqray,Novartis,PI3K inhibitor,Breast cancer,,P,2019
Polatuzumab vedotin ,Polivy,Roche,CD79b-directed ADC,Diffuse large B-cell lymphoma,,"P, O, B, A",2019
Bremelanotide ,Vyleesi,Amag,Melanocortin receptor agonist,Hypoactive sexual desire disorder,,S,2019
Selinexor ,Xpovio,Karyopharm Therapeutics,XPO1 inhibitor,Multiple myeloma,,"P, O, A",2019
Cilastatin; imipenem; relebactam ,Recarbrio,Merck & Co.,"A renal dehydropeptidase inhibitor, a penem antibacterial and a β-lactamase inhibitor",Complicated urinary tract and complicated intra-abdominal infections,,P,2019
Ferric maltol ,Accrufer,Shield Therapeutics,Iron replacement product,Iron deficiency anaemia,,S,2019
Darolutamide ,Nubeqa,Bayer,Androgen receptor inhibitor,Prostate cancer,,P,2019
Pexidartinib ,Turalio,Daiichi Sankyo,"CSF1R, KIT and FLT3 inhibitor",Tenosynovial giant cell tumour,,"P, O, B",2019
Pitolisant ,Wakix,Harmony,H3 receptor antagonist/inverse agonist,Excessive sleepiness due to narcolepsy,,"P, O",2019
Pretomanid ,Pretomanid,Pfizer/Mylan,Antimycobacterial,Tuberculosis,,"P, O",2019
Entrectinib ,Rozlytrek,Roche,"TRKA, TRKB, TRKC, ROS1 and ALK inhibitor",NTRK fusion-positive solid tumours and ROS1-positive NSCLC,,"P, O, B, A",2019
Upadacitinib ,Rinvoq,AbbVie,JAK inhibitor,Rheumatoid arthritis,,S,2019
Fedratinib ,Inrebic,Celgene/BMS,JAK2 and FLT3 inhibitor,Myelofibrosis,,"P, O",2019
Lefamulin ,Xenleta,Nabriva,Pleuromutilin antibacterial,CABP,,P,2019
Gallium dotatoc Ga-68,,UIHC PET Imaging Center,Radioactive diagnostic,Localization of somatostatin receptor-positive neuroendocrine tumours,,"S, O",2019
Istradefylline ,Nourianz,Kyowa Kirin,Adenosine receptor antagonist,"Parkinson disease, ‘off’ episodes",,S,2019
Tenapanor ,Ibsrela,Ardelyx,NHE3 inhibitor,IBS with constipation,,S,2019
Trifarotene ,Aklief,Galderma,Retinoic acid receptor agonist,Acne vulgaris,,S,2019
Brolucizumab ,Beovu,Novartis,VEGF inhibitor,Wet age-related macular degeneration,,S,2019
Afamelanotide ,Scenesse,Clinuvel,Melanocortin 1 receptor agonist,Erythropoietic protoporphyria,,"P, O",2019
Fluorodopa F-18,,Feinstein Institutes,Radioactive diagnostic,Diagnosis of parkinsonian syndromes,,S,2019
Lasmiditan ,Reyvow,Eli Lilly,Serotonin (5-HT) 1F receptor agonist,Migraine with or without aura,,S,2019
Tezacaftor; elexacaftor; ivacaftor ,Trikafta,Vertex,Two CFTR correctors and a CFTR potentiator,Most common gene mutation that causes cystic fibrosis,,"P, O, B",2019
Air polymer-type A ,ExEm Foam,Giskit,Ultrasound contrast agent,Assess fallopian tube patency in women with known or suspected infertility,,S,2019
Luspatercept ,Reblozyl,Celgene/BMS,Erythroid maturation agent,Anaemia in β-thalassaemia,,"P, O",2019
Cefiderocol ,Fetroja,Shionogi,Cephalosporin antibacterial,Complicated urinary tract infections,,P,2019
Zanubrutinib ,Brukinsa,BeiGene,BTK inhibitor,Mantle cell lymphoma,,"P, O, B, A",2019
Crizanlizumab ,Adakveo,Novartis,P-selectin blocker,Painful complications of SCD,,"P, O, B",2019
Givosiran ,Givlaari,Alnylam,ALAS1-directed siRNA,Acute hepatic porphyria,,"P, O, B",2019
Cenobamate ,Xcopri,SK Life Science,Unknown,Partial onset seizures,,S,2019
Voxelotor ,Oxbryta,Global Blood Therapeutics,Haemoglobin S polymerization inhibitor,SCD,,"P, O, B, A",2019
Golodirsen ,Vyondys 53,Sarepta,Exon 53 skipping antisense,Duchenne muscular dystrophy,,"P, O, A",2019
Enfortumab vedotin ,Padcev,Astellas,Nectin-4-directed ADC,Urothelial cancers,,"P, B, A",2019
Brilliant Blue G ,Tissueblue,Dutch Ophthalmic Research,Brilliant Blue G dye,Staining the internal limiting membrane,,"P, O",2019
Lemborexant ,Dayvigo,Eisai,Orexin receptor antagonist,Insomnia,,S,2019
Trastuzumab deruxtecan ,Enhertu,Daiichi Sankyo/AstraZeneca,HER2-directed ADC,HER2-positive breast cancer,,"P, B, A",2019
Lumateperone ,Caplyta,Intra-Cellular Therapies,Atypical antipsychotic,Schizophrenia,,S,2019
Ubrogepant ,Ubrelvy,Allergan,CGRP receptor antagonist,Migraine with or without aura,,S,2019
