"","id","name"
"124","CHEMBL4594455","AGS-16C3F"
"125","CHEMBL1201469","GRAMICIDIN"
"126","CHEMBL470670","LEVOMENTHOL"
"127","CHEMBL2109001","CARBOXYMETHYLCELLULOSE SODIUM"
"128","CHEMBL1200392","DOXYLAMINE SUCCINATE"
"129","CHEMBL23550","LOBUCAVIR"
"130","CHEMBL2106261","ETHYL BISCOUMACETATE"
"131","CHEMBL1437847","SULFAQUINOXALINE"
"132","CHEMBL2170582","R-343"
"133","CHEMBL2105611","TACALCITOL"
"134","CHEMBL1513","IRBESARTAN"
"135","CHEMBL214502","CHEMBL214502"
"136","CHEMBL299155","TRANSTORINE"
"137","CHEMBL4297651","ACLIMOSTAT"
"138","CHEMBL1231132","CHEMBL1231132"
"139","CHEMBL2107319","CANFOSFAMIDE HYDROCHLORIDE"
"140","CHEMBL1231683","CHEMBL1231683"
"141","CHEMBL1275868","AZELNIDIPINE"
"142","CHEMBL1734","SOLIFENACIN"
"143","CHEMBL81","RALOXIFENE"
"144","CHEMBL286494","HYPERICIN"
"145","CHEMBL420","GUANABENZ"
"146","CHEMBL2105401","TIOCLOMAROL"
"147","CHEMBL41286","DIACEREIN"
"148","CHEMBL3301586","CLIVATUZUMAB TETRAXETAN"
"149","CHEMBL1200357","MOXALACTAM DISODIUM"
"150","CHEMBL4298037","RETIFANLIMAB"
"151","CHEMBL23552","Ionositol 1,3,4,5-Tetraphosphate"
"152","CHEMBL293776","HISPIDULIN"
"153","CHEMBL507795","TERPINEOL"
"154","CHEMBL1201136","TITANIUM DIOXIDE"
"155","CHEMBL2108508","INTERFERON ALFA-2A"
"156","CHEMBL4297296","KOS-1584"
"157","CHEMBL1451633","ETOFENAMATE"
"158","CHEMBL1743024","GANITUMAB"
"159","CHEMBL435298","ESFLURBIPROFEN"
"160","CHEMBL191083","METHYLENE BLUE"
"161","CHEMBL237786","CHEMBL237786"
"162","CHEMBL3948730","UMBRALISIB"
"163","CHEMBL3301620","TEMSAVIR"
"164","CHEMBL3989966","CONTEZOLID ACEFOSAMIL"
"165","CHEMBL2105011","IODOCHOLESTEROL I 131"
"166","CHEMBL2109649","RG-7594"
"167","CHEMBL76232","D-GLUTAMATE"
"168","CHEMBL2109225","RUBELLA VIRUS VACCINE LIVE"
"169","CHEMBL2108448","HETASTARCH"
"170","CHEMBL1201834","CANAKINUMAB"
"171","CHEMBL289351","FOSBRETABULIN DISODIUM"
"172","CHEMBL1095282","CAMAZEPAM"
"173","CHEMBL3707398","PAC-14028"
"174","CHEMBL4650445","ASP-1951"
"175","CHEMBL1042","CHOLECALCIFEROL"
"176","CHEMBL1201832","ROMIPLOSTIM"
"177","CHEMBL2103857","EDIVOXETINE"
"178","CHEMBL360328","LORCASERIN"
"179","CHEMBL289422","CHEMBL289422"
"180","CHEMBL490665","NALFURAFINE HYDROCHLORIDE"
"181","CHEMBL471144","5'-O-(Sulfamoyl)Adenosine"
"182","CHEMBL220491","BRINZOLAMIDE"
"183","CHEMBL1201115","ESMOLOL HYDROCHLORIDE"
"184","CHEMBL939","GEFITINIB"
"185","CHEMBL2108020","BCG LIVE"
"186","CHEMBL1743079","TEPROTUMUMAB"
"187","CHEMBL1201761","BESIFLOXACIN HYDROCHLORIDE"
"188","CHEMBL2110563","CYANOCOBALAMIN"
"189","CHEMBL1230795","8-Bromo-Adenosine Diphosphate"
"190","CHEMBL3301669","DALBAVANCIN"
"191","CHEMBL3545985","BENZPHETAMINE"
"192","CHEMBL1201583","BEVACIZUMAB"
"193","CHEMBL1428","NIMODIPINE"
"194","CHEMBL3707356","SYL-1001"
"195","CHEMBL1774080","PF-00217830"
"196","CHEMBL225111","LANOSTEROL"
"197","CHEMBL3989833","ZIPRASIDONE MESYLATE"
"198","CHEMBL438497","NICOTINAMIDE RIBOSIDE"
"199","CHEMBL991","STAVUDINE"
"200","CHEMBL2029605","LIVOLETIDE"
"201","CHEMBL827","DEXMETHYLPHENIDATE"
"202","CHEMBL2109267","M195"
"203","CHEMBL2104103","CLOCAPRAMINE"
"204","CHEMBL830","EFLORNITHINE"
"205","CHEMBL1112","ARIPIPRAZOLE"
"206","CHEMBL2108442","MITUMOMAB"
"207","CHEMBL1200649","QUINUPRISTIN"
"208","CHEMBL216543","CHEMBL216543"
"209","CHEMBL2103832","PARDOPRUNOX"
"210","CHEMBL661","ALPRAZOLAM"
"211","CHEMBL4594564","TESNATILIMAB"
"212","CHEMBL118218","IROFULVEN"
"213","CHEMBL237370","CINNAMIC ACID HYDROXAMATE"
"214","CHEMBL668","PROTRIPTYLINE"
"215","CHEMBL457665","CHEMBL457665"
"216","CHEMBL3707325","LENZILUMAB"
"217","CHEMBL142348","ANDROSTENOL"
"218","CHEMBL4297736","PRALUZATAMAB RAVTANSINE"
"219","CHEMBL139877","SULFACARBAMIDE"
"220","CHEMBL55214","NERIDRONIC ACID"
"221","CHEMBL3039529","TIRASEMTIV"
"222","CHEMBL1410743","PARALDEHYDE"
"223","CHEMBL290960","NIFURTIMOX"
"224","CHEMBL1201064","FLUOROMETHOLONE ACETATE"
"225","CHEMBL1232164","SEBACIC ACID"
"226","CHEMBL2107324","CORTICORELIN ACETATE"
"227","CHEMBL4298207","ZILUCOPLAN"
"228","CHEMBL498416","L-KYNURENINE"
"229","CHEMBL1234593","CHEMBL1234593"
"230","CHEMBL2109598","BIIB-023"
"231","CHEMBL3989451","ACETORPHINE"
"232","CHEMBL2146133","ESOMEPRAZOLE MAGNESIUM"
"233","CHEMBL371197","TRIDOLGOSIR"
"234","CHEMBL110094","MELITRACEN"
"235","CHEMBL2111081","ALAGEBRIUM"
"236","CHEMBL2107960","POISON IVY EXTRACT, ALUM PRECIPITATED"
"237","CHEMBL513521","BL-1020"
"238","CHEMBL248594","RAC-3-N-BUTYLPHTHALIDE"
"239","CHEMBL4594427","ABX-196"
"240","CHEMBL267894","AMOBARBITAL"
"241","CHEMBL4297898","AVIDIN PERIODATE OXIDIZED"
"242","CHEMBL1946186","DEPTROPINE"
"243","CHEMBL2111092","EPRODISATE"
"244","CHEMBL655","MIDAZOLAM"
"245","CHEMBL4227721","PF-06815345"
"246","CHEMBL1908335","DEPREOTIDE"
"247","CHEMBL3621988","TUCIDINOSTAT"
"248","CHEMBL197865","CHEMBL197865"
"249","CHEMBL1614854","DEXTROSE"
"250","CHEMBL3989855","PSEUDOEPHEDRINE SULFATE"
"251","CHEMBL1330588","METHYLTHIOURACIL"
"252","CHEMBL1443","NAFCILLIN"
"253","CHEMBL2107873","VONICOG ALFA"
"254","CHEMBL2105722","NOMEGESTROL"
"255","CHEMBL4","OFLOXACIN"
"256","CHEMBL1592101","BISMUTH SUBGALLATE"
"257","CHEMBL278623","MACIMORELIN"
"258","CHEMBL807","MEMANTINE"
"259","CHEMBL43719","HEPTYLFORMAMIDE"
"260","CHEMBL460741","Uridine 3'-Phosphate"
"261","CHEMBL1201197","ALATROFLOXACIN"
"262","CHEMBL818","IOBENGUANE"
"263","CHEMBL1743038","LUCATUMUMAB"
"264","CHEMBL2107845","CARLECORTEMCEL-L"
"265","CHEMBL4594326","APITEGROMAB"
"266","CHEMBL1200933","HEXAFLUORENIUM BROMIDE"
"267","CHEMBL1200910","SULFISOXAZOLE ACETYL"
"268","CHEMBL1006","AMIFOSTINE"
"269","CHEMBL41","FLUOXETINE"
"270","CHEMBL1200599","DIFENOXIN HYDROCHLORIDE"
"271","CHEMBL4594360","TRK-950"
"272","CHEMBL1725880","TREPIBUTONE"
"273","CHEMBL2110959","METABUTETHAMINE"
"274","CHEMBL528","CEFTIZOXIME"
"275","CHEMBL2106011","CLOCORTOLONE ACETATE"
"276","CHEMBL982","NALMEFENE"
"277","CHEMBL1441059","ALBUTEROL SULFATE"
"278","CHEMBL164660","PSORALEN"
"279","CHEMBL3260567","VACTOSERTIB"
"280","CHEMBL28218","BROMPERIDOL"
"281","CHEMBL3182320","TROXERUTIN"
"282","CHEMBL87223","AMINOQUINURIDE"
"283","CHEMBL1256819","ANTAZOLINE HYDROCHLORIDE"
"284","CHEMBL4297922","TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY MEMBER 9"
"285","CHEMBL4802209","INCB-086550"
"286","CHEMBL4650521","TNO-155"
"287","CHEMBL4298138","REPOTRECTINIB"
"288","CHEMBL291386","CHEMBL291386"
"289","CHEMBL264374","BEZAFIBRATE"
"290","CHEMBL3989866","BICTEGRAVIR"
"291","CHEMBL606258","OLEANDOMYCIN"
"292","CHEMBL4297904","BAY-1093884"
"293","CHEMBL159659","LEVOMETHADONE"
"294","CHEMBL4297772","INTERLEUKIN-7"
"295","CHEMBL1232817","CHEMBL1232817"
"296","CHEMBL207413","ACETOXOLONE"
"297","CHEMBL241694","ETHISTERONE"
"298","CHEMBL1241855","RIGOSERTIB"
"299","CHEMBL1237070","MICAFUNGIN SODIUM"
"300","CHEMBL298734","LONAFARNIB"
"301","CHEMBL1201270","METHENAMINE"
"302","CHEMBL2040682","CICLESONIDE"
"303","CHEMBL197577","CHEMBL197577"
"304","CHEMBL3975308","TP-3654"
"305","CHEMBL499","TIMOLOL"
"306","CHEMBL177","AMIKACIN"
"307","CHEMBL4650429","TOZINAMERAN"
"308","CHEMBL3545280","EFATUTAZONE"
"309","CHEMBL1201006","PYRILAMINE MALEATE"
"310","CHEMBL1201058","POTASSIUM ACETATE"
"311","CHEMBL1660","RIFAPENTINE"
"312","CHEMBL1201193","LEVOBUPIVACAINE"
"313","CHEMBL4298172","SOTICLESTAT"
"314","CHEMBL3545366","VOXTALISIB"
"315","CHEMBL1630842","BILR 355"
"316","CHEMBL1719","OLOPATADINE HYDROCHLORIDE"
"317","CHEMBL1200681","MONTELUKAST SODIUM"
"318","CHEMBL48361","DABIGATRAN"
"319","CHEMBL2364656","TOPSALYSIN"
"320","CHEMBL1201621","SOMATROPIN"
"321","CHEMBL159660","ALPHAMETHADOL"
"322","CHEMBL2111129","PENTETATE INDIUM DISODIUM"
"323","CHEMBL371428","CHEMBL371428"
"324","CHEMBL4559134","SELPERCATINIB"
"325","CHEMBL4298194","GIROCTOCOGENE FITELPARVOVEC"
"326","CHEMBL65375","TIPIRACIL HYDROCHLORIDE"
"327","CHEMBL1098","BUPIVACAINE"
"328","CHEMBL460287","ETOGLUCID"
"329","CHEMBL1231840","CARBON MONOXIDE"
"330","CHEMBL2108210","LAVENDER OIL"
"331","CHEMBL372303","PJ34"
"332","CHEMBL4650343","IZENCITINIB"
"333","CHEMBL4594260","TAZEMETOSTAT HYDROBROMIDE"
"334","CHEMBL1421","DASATINIB"
"335","CHEMBL2108559","SENNOSIDES"
"336","CHEMBL487465","DEFERITAZOLE"
"337","CHEMBL394875","CHEMBL394875"
"338","CHEMBL459","METHYLDOPA"
"339","CHEMBL1200541","AMBENONIUM CHLORIDE"
"340","CHEMBL2104993","VORTIOXETINE"
"341","CHEMBL2108396","DEFIBROTIDE"
"342","CHEMBL1201232","ISOPROPAMIDE"
"343","CHEMBL108877","2-CHLOROPHENOL"
"344","CHEMBL485253","METHYSERGIDE"
"345","CHEMBL4650512","RO-7296682"
"346","CHEMBL2106989","RACEMENTHOL"
"347","CHEMBL225304","PIMAGEDINE"
"348","CHEMBL2105059","MORNIFLUMATE"
"349","CHEMBL4297393","KOSN-1724"
"350","CHEMBL2109582","81C6 131I"
"351","CHEMBL1284","3,4-DIHYDROXYPHENYLACETIC ACID "
"352","CHEMBL2111076","HEPTAMINOL"
"353","CHEMBL12198","ALANINE"
"354","CHEMBL1743033","ITOLIZUMAB"
"355","CHEMBL1496","ROSUVASTATIN"
"356","CHEMBL1201190","LEVOCETIRIZINE DIHYDROCHLORIDE"
"357","CHEMBL2108059","VELAFERMIN"
"358","CHEMBL1201650","THYROGLOBULIN"
"359","CHEMBL1604375","FENTHION"
"360","CHEMBL292411","Hydroxy-Phenyl-Acetic Acid Anion"
"361","CHEMBL1076930","INARIGIVIR SOPROXIL"
"362","CHEMBL2109477","SELICRELUMAB"
"363","CHEMBL109227","4,4'-Biphenyldiboronic Acid"
"364","CHEMBL1200485","SORAFENIB TOSYLATE"
"365","CHEMBL2021422","FOSPROPOFOL DISODIUM"
"366","CHEMBL455136","ALMOREXANT"
"367","CHEMBL507674","CEFOPERAZONE"
"368","CHEMBL15722","3-METHYLPYRIDINE"
"369","CHEMBL4297892","ARX-788"
"370","CHEMBL1486","TENOFOVIR DISOPROXIL FUMARATE"
"371","CHEMBL1652128","LB80380"
"372","CHEMBL430341","REBAUDIOSIDE A"
"373","CHEMBL1055","CHLORTHALIDONE"
"374","CHEMBL1702","ATOMOXETINE HYDROCHLORIDE"
"375","CHEMBL2218908","COLISTIN SULFATE"
"376","CHEMBL3544935","XL-418"
"377","CHEMBL127592","OXETHAZAINE"
"378","CHEMBL2108567","TANEZUMAB"
"379","CHEMBL1232699","FLUORESCIN"
"380","CHEMBL27769","STANOLONE"
"381","CHEMBL43068","VALINE"
"382","CHEMBL178","DAUNORUBICIN"
"383","CHEMBL113948","CHEMBL113948"
"384","CHEMBL654","MIRTAZAPINE"
"385","CHEMBL1197118","CHEMBL1197118"
"386","CHEMBL15571","1,2,4-TRIAZOLE"
"387","CHEMBL525028","VASOACTIVE INTESTINAL PEPTIDE"
"388","CHEMBL4297495","NM-404 I-131"
"389","CHEMBL1233985","LUMIFLAVIN"
"390","CHEMBL1743019","FIGITUMUMAB"
"391","CHEMBL3218578","BGT-226"
"392","CHEMBL398880","PIPOTIAZINE"
"393","CHEMBL1206161","CHEMBL1206161"
"394","CHEMBL262101","CIAFTALAN"
"395","CHEMBL485","CODEINE"
"396","CHEMBL1476245","DEXISOMETHEPTENE"
"397","CHEMBL457077","SALVIANOLIC ACID A"
"398","CHEMBL1201496","INSULIN ASPART"
"399","CHEMBL280998","CATECHOL"
"400","CHEMBL1200420","MIDAZOLAM HYDROCHLORIDE"
"401","CHEMBL500779","CHEMBL500779"
"402","CHEMBL1231501","1,3-BUTANEDIOL"
"403","CHEMBL4297404","MK-0767"
"404","CHEMBL1200868","PHENYL AMINOSALICYLATE"
"405","CHEMBL2165224","ANISODAMINE"
"406","CHEMBL2104514","ARGININE GLUTAMATE"
"407","CHEMBL3545293","FGF401"
"408","CHEMBL4297583","TEGOPRAZAN"
"409","CHEMBL1200885","ALOSETRON HYDROCHLORIDE"
"410","CHEMBL1201248","CISATRACURIUM"
"411","CHEMBL127907","WHI-P180"
"412","CHEMBL393949","CHEMBL393949"
"413","CHEMBL66879","COUMARIC ACID"
"414","CHEMBL1407943","CLEMIZOLE"
"415","CHEMBL2108151","NACOLOMAB TAFENATOX"
"416","CHEMBL134713","GTS-21"
"417","CHEMBL288010","CHEMBL288010"
"418","CHEMBL4297701","BIO-11006"
"419","CHEMBL2107831","LUSUTROMBOPAG"
"420","CHEMBL145","CAFFEIC ACID"
"421","CHEMBL1233524","MK-3281"
"422","CHEMBL4297781","MCLA-158"
"423","CHEMBL292303","D-TRYPTOPHAN"
"424","CHEMBL21","SULFANILAMIDE"
"425","CHEMBL404313","ASIATIC ACID"
"426","CHEMBL2109508","IMMURAIT-LL2"
"427","CHEMBL351298","CHEMBL351298"
"428","CHEMBL189963","PALBOCICLIB"
"429","CHEMBL3545354","CAFUSERTIB"
"430","CHEMBL1201177","LEVOBUNOLOL HYDROCHLORIDE"
"431","CHEMBL48046","CHEMBL48046"
"432","CHEMBL2108278","ETEPLIRSEN"
"433","CHEMBL188865","CHEMBL188865"
"434","CHEMBL1922673","FIBOFLAPON SODIUM"
"435","CHEMBL1172736","CHEMBL1172736"
"436","CHEMBL1596","CARBENICILLIN INDANYL"
"437","CHEMBL2103996","ADRENALONE"
"438","CHEMBL538940","CHEMBL538940"
"439","CHEMBL3544993","AGLATIMAGENE BESADENOVEC"
"440","CHEMBL4297708","BMS-986258"
"441","CHEMBL564","PROMAZINE"
"442","CHEMBL1233","CARISOPRODOL"
"443","CHEMBL412763","CHEMBL412763"
"444","CHEMBL1213529","ACRYLIC ACID"
"445","CHEMBL404116","LATRUNCULIN A"
"446","CHEMBL369180","CHEMBL369180"
"447","CHEMBL1023","BEXAROTENE"
"448","CHEMBL1534","RIBOFLAVIN"
"449","CHEMBL3301598","FOSTEMSAVIR TROMETHAMINE"
"450","CHEMBL3833316","RIVIPANSEL SODIUM"
"451","CHEMBL1909072","PIPAMAZINE"
"452","CHEMBL1235115","CHEMBL1235115"
"453","CHEMBL301141","4-HYDROXYCOUMARINS"
"454","CHEMBL1668","RESCINNAMINE"
"455","CHEMBL1214598","UMIFENOVIR"
"456","CHEMBL2108309","CUSTIRSEN"
"457","CHEMBL15844","INDOLE"
"458","CHEMBL578390","APX-3330"
"459","CHEMBL3545393","XL550"
"460","CHEMBL503481","PHOSPHATIDYLCHOLINE"
"461","CHEMBL187785","CHEMBL187785"
"462","CHEMBL256105","MONENSIN"
"463","CHEMBL31601","REMIKIREN"
"464","CHEMBL1579","PARAMETHASONE"
"465","CHEMBL4301898","E133"
"466","CHEMBL3545395","BI-811283"
"467","CHEMBL2287680","FLUFENOXURON"
"468","CHEMBL1201776","TAPENTADOL"
"469","CHEMBL2104462","MEPIXANOX"
"470","CHEMBL236720","CHEMBL236720"
"471","CHEMBL4297970","MELRILIMAB"
"472","CHEMBL2106978","POTASSIUM GLUCONATE"
"473","CHEMBL3989859","TOCOPHEROL ACETATE"
"474","CHEMBL1644029","POTASSIUM NITRATE"
"475","CHEMBL1200331","FOSFOMYCIN TROMETHAMINE"
"476","CHEMBL70927","DEFERIPRONE"
"477","CHEMBL222838","L-EFLORNITHINE"
"478","CHEMBL127","MEROPENEM"
"479","CHEMBL4112930","PAMIPARIB"
"480","CHEMBL1349073","EFLOXATE"
"481","CHEMBL447664","VIPADENANT"
"482","CHEMBL1200461","MIDODRINE HYDROCHLORIDE"
"483","CHEMBL360563","CHEMBL360563"
"484","CHEMBL1232770","FLAVIOLIN"
"485","CHEMBL191","LOSARTAN"
"486","CHEMBL8706","CLORGILINE"
"487","CHEMBL1229868","SC-77774"
"488","CHEMBL2105748","PRUCALOPRIDE SUCCINATE"
"489","CHEMBL1200491","EPINASTINE HYDROCHLORIDE"
"490","CHEMBL4650506","IMAPRELIMAB"
"491","CHEMBL3545290","PRS-211375"
"492","CHEMBL1215331","PF-3882845"
"493","CHEMBL2104970","INCYCLINIDE"
"494","CHEMBL2095224","PYRONARIDINE TETRAPHOSPHATE"
"495","CHEMBL3990043","DONAPERMINOGENE SELTOPLASMID"
"496","CHEMBL240624","PRELADENANT"
"497","CHEMBL3707284","FERRIC SODIUM CITRATE"
"498","CHEMBL4650462","REGDANVIMAB"
"499","CHEMBL87708","LOFEPRAMINE"
"500","CHEMBL2109478","DAPIROLIZUMAB PEGOL"
"501","CHEMBL1235478","PLATINUM"
"502","CHEMBL572284","OMBRABULIN"
"503","CHEMBL450995","CHEMBL450995"
"504","CHEMBL1964120","TALIGLUCERASE ALFA"
"505","CHEMBL126075","DILAZEP"
"506","CHEMBL2108963","HEMOGLOBIN RAFFIMER"
"507","CHEMBL2109398","KB-004"
"508","CHEMBL3707375","AMISELIMOD"
"509","CHEMBL30","CIMETIDINE"
"510","CHEMBL185097","CHEMBL185097"
"511","CHEMBL269264","CHEMBL269264"
"512","CHEMBL3140370","AZIMILIDE DIHYDROCHLORIDE"
"513","CHEMBL3544909","CALCIFEDIOL"
"514","CHEMBL4297883","IVUXOLIMAB"
"515","CHEMBL2105983","AMINOSALICYLATE CALCIUM"
"516","CHEMBL3545311","BRIGATINIB"
"517","CHEMBL594722","CHEMBL594722"
"518","CHEMBL101541","CHEMBL101541"
"519","CHEMBL855","TRIPROLIDINE"
"520","CHEMBL2181776","BILB-1941"
"521","CHEMBL1231160","PEVONEDISTAT"
"522","CHEMBL290814","BAFILOMYCIN A1"
"523","CHEMBL1351","CARBOPLATIN"
"524","CHEMBL3545013","APN1125"
"525","CHEMBL4297739","DANVATIRSEN"
"526","CHEMBL4297989","INTERLEUKIN 15, RECOMBINANT NON-GLYCOSYLATED"
"527","CHEMBL3989426","CALAMINE"
"528","CHEMBL1201289","CLINDAMYCIN PALMITATE"
"529","CHEMBL2108512","HEPATITIS B IMMUNE GLOBULIN"
"530","CHEMBL35241","DIMINAZENE"
"531","CHEMBL92915","AMINOPENTAMIDE SULFATE"
"532","CHEMBL107498","DECANOIC ACID"
"533","CHEMBL48802","SULFORAPHANE"
"534","CHEMBL2109644","TNT-1B"
"535","CHEMBL4297771","INTERLEUKIN-10"
"536","CHEMBL4802219","TAS-266"
"537","CHEMBL267719","ALLOBARBITAL"
"538","CHEMBL2108583","CINTREDEKIN BESUDOTOX"
"539","CHEMBL1614766","RO-4987655"
"540","CHEMBL1650","CORTISONE ACETATE"
"541","CHEMBL4297765","HT-2157"
"542","CHEMBL4297616","OLINCIGUAT"
"543","CHEMBL1871418","RONNEL"
"544","CHEMBL1201082","FLUOXETINE HYDROCHLORIDE"
"545","CHEMBL3707313","TRIFAROTENE"
"546","CHEMBL4297418","ABACAVIR HYDROXYACETATE"
"547","CHEMBL2109072","FIBRINOGEN, HUMAN"
"548","CHEMBL391805","CHEMBL391805"
"549","CHEMBL1615487","IODOXAMIC ACID"
"550","CHEMBL151","LUTEOLIN"
"551","CHEMBL1707454","SCARLET RED"
"552","CHEMBL4650337","ULOTARONT"
"553","CHEMBL4297569","AVIDIN"
"554","CHEMBL1615350","CLOMACRAN"
"555","CHEMBL2110686","GEMCABENE"
"556","CHEMBL4650363",".ALPHA.-R-LIPOIC ACID CHOLINE ESTER CHLORIDE"
"557","CHEMBL944","CHLOROPROCAINE HYDROCHLORIDE"
"558","CHEMBL3989751","NEOMYCIN"
"559","CHEMBL2141296","IXAZOMIB"
