"","Drug_brand_name","Sponsor","Properties","Indication","DrugId","DiseaseId","TA","Year","OriginalDrugId"
"20","Eflapegrastim","Spectrum","Leukocyte growth factor","Incidence of infection in non-myeloid malignancies, with myelosuppressive drugs","CHEMBL3833384","EFO_0000544","Infectious",2022,"CHEMBL3833384"
"21","Faricimab","Roche/Genentech","VEGF _ ANG2 bispecific antibody","nAMD and DME","CHEMBL4297750","EFO_0001365","Ophthalmology",2022,"CHEMBL4297750"
"22","Futibatinib","Taiho Oncology","FGFR kinase inhibitor","FGFR2-aberrant intrahepatic cholangiocarcinoma","CHEMBL3701238","EFO_0005221","Oncology",2022,"CHEMBL3701238"
"23","Gadopiclenol","Guerbet","Gadolinium-based contrast agent","Lesions with abnormal vascularity","CHEMBL4297634","-","Imaging",2022,"CHEMBL4297634"
"24","Ganaxolone","Marinus","GABAA�receptor positive allosteric modulator","Seizures associated with CDD","CHEMBL1568698","HP_0200134","Other",2022,"CHEMBL1568698"
"25","Lenacapavir","Gilead","HIV-1 capsid inhibitor","HIV-1 infection","CHEMBL4594438","EFO_0000180","Infectious",2022,"CHEMBL4594438"
"26","Lutetium Lu-177 vipivotide tetraxetan","Novartis","PSMA-binding radioligand therapeutic agent","PSMA-positive prostate cancer","CHEMBL4594406","EFO_0001663","Oncology",2022,"CHEMBL4594406"
"27","Mavacamten","Bristol Myers Squibb","Cardiac myosin inhibitor","Classes of obstructive HCM (Hypertrophic Obstructive Cardiomyopathy)","CHEMBL4297517","EFO_0000538","Cardiovascular",2022,"CHEMBL4297517"
"28","Mirvetuximab soravtansine","ImmunoGen","FR_-targeted antibody-drug conjugate","Ovarian cancer","CHEMBL3545132","EFO_0001075","Oncology",2022,"CHEMBL3545132"
"29","Mitapivat","Agios","Pyruvate kinase activator","Haemolytic anaemia due to PK deficiency","CHEMBL4299940","EFO_0005558","Other",2022,"CHEMBL4299940"
"30","Mosunetuzumab","Roche/Genentech","CD20 _ CD3 bispecific antibody","Follicular lymphoma","CHEMBL4297788","MONDO_0018906","Oncology",2022,"CHEMBL4297788"
"31","Olipudase alfa","Sanofi/Genzyme","Acid sphingomyelinase ERT","Acid sphingomyelinase deficiency","CHEMBL3707358","MONDO_0100464","Other",2022,"CHEMBL3707358"
"32","Olutasidenib","Rigel/Forma","IDH1 inhibitor","IDH1-mutated AML","CHEMBL4297610","EFO_0000222","Oncology",2022,"CHEMBL4297610"
"33","Omidenepag isopropyl","Santen","Prostaglandin E2 receptor agonist","Intraocular pressure in open-angle glaucoma or ocular hypertension","CHEMBL4297666","EFO_1001069","Ophthalmology",2022,"CHEMBL4297666"
"34","Omidenepag isopropyl","Santen","Prostaglandin E2 receptor agonist","Intraocular pressure in open-angle glaucoma or ocular hypertension","CHEMBL4297666","EFO_0004190","Ophthalmology",2022,"CHEMBL4297666"
"35","Oteseconazole","Mycovia","Azole antifungal","Vulvovaginal candidiasis","CHEMBL3311228","EFO_0007543","Infectious",2022,"CHEMBL3311228"
"36","Pacritinib","CTI Biopharma","JAK2 inhibitor","Myelofibrosis","CHEMBL2035187","MONDO_0044903","Oncology",2022,"CHEMBL2035187"
"37","Relatlimab; nivolumab","Bristol Myers Squibb","LAG3-targeted mAb plus PD1-targeted mAb","Melanoma","CHEMBL3990044","EFO_0000756","Oncology",2022,"CHEMBL3990044; CHEMBL2108738"
"38","Relatlimab; nivolumab","Bristol Myers Squibb","LAG3-targeted mAb plus PD1-targeted mAb","Melanoma","CHEMBL3990044","EFO_0002617","Oncology",2022,"CHEMBL3990044; CHEMBL2108738"
"39","Relatlimab; nivolumab","Bristol Myers Squibb","LAG3-targeted mAb plus PD1-targeted mAb","Melanoma","CHEMBL3990044","EFO_0002617","Oncology",2022,"CHEMBL3990044; CHEMBL2108738"
"40","Relatlimab; nivolumab","Bristol Myers Squibb","LAG3-targeted mAb plus PD1-targeted mAb","Melanoma","CHEMBL2108738","EFO_0000756","Oncology",2022,"CHEMBL3990044; CHEMBL2108738"
"41","Relatlimab; nivolumab","Bristol Myers Squibb","LAG3-targeted mAb plus PD1-targeted mAb","Melanoma","CHEMBL2108738","EFO_0002617","Oncology",2022,"CHEMBL3990044; CHEMBL2108738"
"42","Relatlimab; nivolumab","Bristol Myers Squibb","LAG3-targeted mAb plus PD1-targeted mAb","Melanoma","CHEMBL2108738","EFO_0002617","Oncology",2022,"CHEMBL3990044; CHEMBL2108738"
"43","Sodium phenylbutyrate; taurursodiol","Amylyx","Mechanism unknown","Amyotrophic lateral sclerosis","CHEMBL1746","MONDO_0004976","Other",2022,"CHEMBL1746; CHEMBL272427"
"44","Sodium phenylbutyrate; taurursodiol","Amylyx","Mechanism unknown","Amyotrophic lateral sclerosis","CHEMBL272427","MONDO_0004976","Other",2022,"CHEMBL1746; CHEMBL272427"
"45","Spesolimab","Boehringer Ingelheim","IL-36R-targeted mAb","Generalized pustular psoriasis flares","CHEMBL4297911","MONDO_0013626","Dermatology",2022,"CHEMBL4297911"
"46","Spesolimab","Boehringer Ingelheim","IL-36R-targeted mAb","Generalized pustular psoriasis flares","CHEMBL4297911","MONDO_0015597","Dermatology",2022,"CHEMBL4297911"
"47","Sutimlimab","Bioverativ","C1s-targeted mAb","RBC transfusion due to haemolysis in CAD (cold agglutinin disease)","CHEMBL4297832","EFO_1001264","Autoimmune",2022,"CHEMBL4297832"
"48","Tapinarof","Dermavant","Aryl hydrocarbon receptor agonist","Plaque psoriasis","CHEMBL259571","EFO_0000676","Dermatology",2022,"CHEMBL259571"
"49","Tebentafusp","Immunocore","gp100 peptide�HLA _ CD3 bispecific T-cell engager","Uveal melanoma","CHEMBL4297990","EFO_1000616","Oncology",2022,"CHEMBL4297990"
"50","Teclistamab","J&J","BCMA _ CD3 bispecific antibody","Multiple myeloma","CHEMBL4594505","EFO_0001378","Oncology",2022,"CHEMBL4594505"
"51","Teplizumab","Provention Bio","CD3-targeted antibody","Delay onset of type 1 diabetes","CHEMBL1743078","MONDO_0005147","Autoimmune",2022,"CHEMBL1743078"
"52","Terlipressin","Mallinckrodt","Vasopressin receptor agonist","Kidney function in hepatorenal syndrome","CHEMBL2135460","EFO_1002048","Other",2022,"CHEMBL2135460"
"53","Terlipressin","Mallinckrodt","Vasopressin receptor agonist","Kidney function in hepatorenal syndrome","CHEMBL2135460","EFO_0001421","Other",2022,"CHEMBL2135460"
"54","Terlipressin","Mallinckrodt","Vasopressin receptor agonist","Kidney function in hepatorenal syndrome","CHEMBL2135460","MONDO_0001382","Other",2022,"CHEMBL2135460"
"55","Tirzepatide","Eli Lilly","GIP receptor and GLP1 receptor agonist","Type 2 diabetes","CHEMBL4297839","MONDO_0005148","Autoimmune",2022,"CHEMBL4297839"
"56","Tremelimumab","AstraZeneca","CTLA4-targeted mAb","Hepatocellular carcinoma","CHEMBL2108658","EFO_0000182","Oncology",2022,"CHEMBL2108658"
"57","Ublituximab","TG Therapeutics","CD20-targeted mAb","Relapsing forms of multiple sclerosis","CHEMBL2108354","EFO_0003929","Other",2022,"CHEMBL2108354"
"58","Vonoprazan; amoxicillin; clarithromycin","Phathom","Potassium-competitive acid blocker plus a penicillin class antibacterial plus a macrolide antimicrobial","Helicobacter pylori�infection","CHEMBL2079130","EFO_1000961","Infectious",2022,"CHEMBL2079130; CHEMBL1082; CHEMBL1741"
"59","Vonoprazan; amoxicillin; clarithromycin","Phathom","Potassium-competitive acid blocker plus a penicillin class antibacterial plus a macrolide antimicrobial","Helicobacter pylori�infection","CHEMBL1082","EFO_1000961","Infectious",2022,"CHEMBL2079130; CHEMBL1082; CHEMBL1741"
"60","Vonoprazan; amoxicillin; clarithromycin","Phathom","Potassium-competitive acid blocker plus a penicillin class antibacterial plus a macrolide antimicrobial","Helicobacter pylori�infection","CHEMBL1741","EFO_1000961","Infectious",2022,"CHEMBL2079130; CHEMBL1082; CHEMBL1741"
"61","Vutrisiran","Alnylam","TTR-targeted siRNA","Polyneuropathy of hereditary TTR-mediated amyloidosis","CHEMBL4594511","EFO_0004129","Other",2022,"CHEMBL4594511"
"62","Xenon Xe 129 hyperpolarized","Polarean","Hyperpolarized contrast agent","MRI-evaluation of lung ventilation","CHEMBL4594411","-","Imaging",2022,"CHEMBL4594411"
"63","Vericiguat","Merck & Co./Bayer","sGC stimulator","Chronic heart failure","CHEMBL4066936","EFO_0001645","Cardiovascular",2021,"CHEMBL4066936"
"64","Cabotegravir; rilpivirine","ViiV","INSTI and an NNRTI","HIV-1 infection","CHEMBL2403238","EFO_0000180","Infectious",2021,"CHEMBL2403238"
"65","Voclosporin","Aurinia","Calcineurin inhibitor","Lupus nephritis","CHEMBL2218919","EFO_0002690","Nephrology",2021,"CHEMBL2218919"
"66","Tepotinib","EMD Serono","MET kinase inhibitor","NSCLC","CHEMBL3402762","EFO_0003060","Oncology",2021,"CHEMBL3402762"
"67","Umbralisib","TG Therapeutics","PI3Kdelta and CK1epsilon inhibitor","MZL, follicular lymphoma","CHEMBL3948730","EFO_1000630","Oncology",2021,"CHEMBL3948730"
"68","Evinacumab","Regeneron","ANGPTL3-targeted mAb","HoFH","CHEMBL3545191","Orphanet_391665","Metabolic",2021,"CHEMBL3545191"
"69","Trilaciclib","G1 Therapeutics","CDK4 and CDK6 kinase inhibitor","Chemotherapy-induced myelosuppression","CHEMBL3894860","EFO_0000702","Oncology",2021,"CHEMBL3894860"
"70","Casimersen","Sarepta","Exon 45-skipping ASO","DMD","CHEMBL4297566","Orphanet_98896","Other",2021,"CHEMBL4297566"
"71","Fosdenopterin","BridgeBio","cPMP","MoCD type A","CHEMBL2338675","Orphanet_308386","Other",2021,"CHEMBL2338675"
"72","Melphalan flufenamide","Oncopeptides","Peptide-conjugated alkylating drug","Multiple myeloma","CHEMBL4303060","EFO_0001378","Oncology",2021,"CHEMBL4303060"
"73","Dexmethylphenidate; serdexmethylphenidate","Commave Therapeutics","CNS stimulant","ADHD","CHEMBL827","EFO_0003888","Psychiatric",2021,"CHEMBL827; CHEMBL4301162"
"74","Dexmethylphenidate; serdexmethylphenidate","Commave Therapeutics","CNS stimulant","ADHD","CHEMBL4301162","EFO_0003888","Psychiatric",2021,"CHEMBL827; CHEMBL4301162"
"75","Tivozanib","Aveo","VEGFR kinase inhibitor","Renal cell carcinoma","CHEMBL1289494","EFO_0000681","Oncology",2021,"CHEMBL1289494"
"76","Ponesimod","J&J","S1P receptor modulator","Relapsing multiple sclerosis","CHEMBL1096146","EFO_0003885","Other",2021,"CHEMBL1096146"
"77","Dasiglucagon","Zealand Pharma","Glucagon receptor agonist","Severe hypoglycaemia","CHEMBL4297741","EFO_0001360","Metabolic",2021,"CHEMBL4297741"
"78","Viloxazine","Supernus","SNRI","ADHD","CHEMBL306700","EFO_0003888","Psychiatric",2021,"CHEMBL306700"
"79","Dostarlimab","GlaxoSmithKline","PD1-targeted mAb","Endometrial cancer","CHEMBL4298124","MONDO_0011962","Oncology",2021,"CHEMBL4298124"
"80","Loncastuximab tesirine","ADC Therapeutics","CD19-targeted ADC","B-cell lymphoma","CHEMBL4297778","EFO_0000403","Oncology",2021,"CHEMBL4297778"
"81","Pegcetacoplan","Apellis","Complement protein C3 inhibitor","PNH","CHEMBL4298211","Orphanet_447","Other",2021,"CHEMBL4298211"
"82","Amivantamab","J&J","EGFRxMETR bispecific antibody","EGFR exon 20-mutated NSCLC","CHEMBL4297774","EFO_0003060","Oncology",2021,"CHEMBL4297774"
"83","Infigratinib","BridgeBio","FGFR2 kinase inhibitor","FGFR2-mutated bile duct cancer","CHEMBL1852688","EFO_0005540","Oncology",2021,"CHEMBL1852688"
"84","Sotorasib","Amgen","KRAS-G12C inhibitor","KRASG12C-mutated NSCLC","CHEMBL4535757","EFO_0003060","Oncology",2021,"CHEMBL4535757"
"85","Olanzapine; samidorphan","Alkermes","Atypical antipsychotic and opioid antagonist","Schizophrenia and bipolar I disorder","CHEMBL715","EFO_0000692","Psychiatric",2021,"CHEMBL715; CHEMBL426084"
"86","Olanzapine; samidorphan","Alkermes","Atypical antipsychotic and opioid antagonist","Schizophrenia and bipolar I disorder","CHEMBL426084","EFO_0000692","Psychiatric",2021,"CHEMBL715; CHEMBL426084"
"87","Ibrexafungerp","Scynexis","Triterpenoid antifungal","Vulvovaginal candidiasis","CHEMBL4297513","EFO_0007543","Infectious",2021,"CHEMBL4297513"
"88","Aducanumab","Biogen/Eisai","Amyloid-beta-targeted mAb","Alzheimers disease","CHEMBL3039540","EFO_0000249","Other",2021,"CHEMBL3039540"
"89","Asparaginase erwinia chrysanthemi","Jazz","Recombinant asparagine-specific enzyme","ALL and LBL, in patients allergic to E. coli-derived products","CHEMBL1863514","EFO_0000220","Oncology",2021,"CHEMBL1863514"
"90","Finerenone","Bayer","Non-steroidal MR antagonist","CKD with type 2 diabetes","CHEMBL2181927","EFO_0000401","Other",2021,"CHEMBL2181927"
"91","Fexinidazole","Sanofi/DNDi","Nitroimidazole antimicrobial","Sleeping sickness","CHEMBL1631694","DOID_10113","Infectious",2021,"CHEMBL1631694"
"92","Belumosudil","Kadmon","ROCK2 kinase inhibitor","Chronic GVHD","CHEMBL4594302","MONDO_0013730","Other",2021,"CHEMBL4594302"
"93","Odevixibat","Albireo","IBAT inhibitor","Pruritus in PFIC","CHEMBL4297588","Orphanet_172","Other",2021,"CHEMBL4297588"
"94","Anifrolumab","AstraZeneca","IFNAR-targeted mAb","SLE","CHEMBL2364653","EFO_0002690","Other",2021,"CHEMBL2364653"
"95","Avalglucosidase alfa","Sanofi","Recombinant alpha-glucosidase","Pompe disease","CHEMBL4594320","Orphanet_365","Other",2021,"CHEMBL4594320"
"96","Belzutifan","Merck & Co.","HIF-2alpha inhibitor","von Hippel-Lindau disease","CHEMBL4585668","Orphanet_892","Oncology",2021,"CHEMBL4585668"
"97","Difelikefalin","Cara Therapeutics","kappa-Opioid receptor agonist","Pruritus associated with CKD","CHEMBL3989915","EFO_0003884","Other",2021,"CHEMBL3989915"
"98","Lonapegsomatropin","Ascendis Pharma","PEGylated human growth hormone","Growth failure due to GHD","CHEMBL4298185","HP_0001510","Other",2021,"CHEMBL4298185"
"99","Mobocertinib","Takeda","EGFR kinase inhibitor","EGFR exon 20-mutated NSCLC","CHEMBL4650319","EFO_0003060","Oncology",2021,"CHEMBL4650319"
"100","Tisotumab vedotin","Seagen/Genmab","Tissue-factor-directed ADC","Cervical cancer","CHEMBL4297841","MONDO_0002974","Oncology",2021,"CHEMBL4297841"
"101","Atogepant","AbbVie","CGRP receptor antagonist","Episodic migraine","CHEMBL3991065","EFO_0003821","Other",2021,"CHEMBL3991065"
"102","Maralixibat","Mirum","IBAT inhibitor","Pruritus in Alagille syndrome","CHEMBL363392","Orphanet_52","Other",2021,"CHEMBL363392"
"103","Avacopan","ChemoCentryx","Complement 5a receptor antagonist","ANCA-associated vasculitis","CHEMBL3989871","EFO_0004826","Cardiovascular",2021,"CHEMBL3989871"
"104","Asciminib","Novartis","ABL/BCR�ABL1  kinase inhibitor","Ph+ CML","CHEMBL4208229","EFO_0000339","Oncology",2021,"CHEMBL4208229"
"105","Ropeginterferon alfa-2b","Pharmaessentia","PEGylated interferon alpha-2b","Polycythaemia vera","CHEMBL4297819","EFO_0002429","Oncology",2021,"CHEMBL4297819"
"106","Vosoritide","Biomarin","CNP analogue","Achondroplasia","CHEMBL3707276","Orphanet_15","Other",2021,"CHEMBL3707276"
"107","Maribavir","Takeda","CMV pUL97 kinase inhibitor","Post-transplant CMV infection","CHEMBL515408","EFO_0001062","Infectious",2021,"CHEMBL515408"
"108","Pafolacianine","On Target Labs","Fluorescent FR imaging agent","Ovarian cancer imaging","CHEMBL4297412","MONDO_0008170","Imaging",2021,"CHEMBL4297412"
"109","Efgartigimod alfa","Argenx","FcRn-binding Fc fragment","Myasthenia gravis","CHEMBL4297551","EFO_0004991","Other",2021,"CHEMBL4297551"
"110","Tezepelumab","Astrazeneca/Amgen","TSLP-targeted mAb","Severe asthma","CHEMBL3707229","EFO_0000270","Respiratory",2021,"CHEMBL3707229"
"111","Inclisiran","Novartis/Alnylam","PCSK9-targeted siRNA","HeFH or ASCVD","CHEMBL3990033","MONDO_0021661","Cardiovascular",2021,"CHEMBL3990033"
"112","Tralokinumab","LEO Pharma","IL-13-targeted mAb","Atopic dermatitis","CHEMBL1743081","EFO_0000274","Dermatology",2021,"CHEMBL1743081"
"113","Concizumab","Novo Nordisk","TFPI-targeted mAb","Haemophilia A and B","CHEMBL4297730","MONDO_0010602","Other",2023,"CHEMBL4297730"
"114","Concizumab","Novo Nordisk","TFPI-targeted mAb","Haemophilia A and B","CHEMBL4297730","MONDO_0010604","Other",2023,"CHEMBL4297730"
"115","Donanemab","Eli Lilly","Amyloid-beta-targeted mAb","Alzheimer disease","CHEMBL4297245","MONDO_0004975","Other",2023,"CHEMBL4297245"
"116","Lecanemab","Eisai/Biogen","Amyloid-beta-targeted mAb","Alzheimer disease","CHEMBL3833321","MONDO_0004975","Other",2023,"CHEMBL3833321"
"117","Momelotinib","GSK/Sierra Oncology","ALK2, JAK1 and JAK2 inhibitor","Myelofibrosis","CHEMBL1078178","MONDO_0044903","Oncology",2023,"CHEMBL1078178"
"118","Nedosiran","Novo Nordisk","LDH-targeted siRNA","Hyperoxaluria","CHEMBL4594338","MONDO_0002474","Other",2023,"CHEMBL4594338"
"119","Olorofim","F2G","Dihydroorotate dehydrogenase inhibitor","Fungal infections","CHEMBL4297609","MONDO_0002041","Infectious",2023,"CHEMBL4297609"
"120","Repotrectinib","Bristol Myers Squibb/Turning Point","ROS1 inhibitor","ROS1+�NSCLC","CHEMBL4298138","EFO_0003060","Oncology",2023,"CHEMBL4298138"
"121","Talquetamab","J&J","GPRC5D _ CD3 bispecific antibody","Multiple myeloma","CHEMBL4594503","EFO_0001378","Oncology",2023,"CHEMBL4594503"
"122","Tofersen","Biogen/Ionis","SOD1 antisense agent","SOD1-mutated ALS","CHEMBL3833346","MONDO_0004976","Other",2023,"CHEMBL3833346"
"123","Valoctocogene roxaparvovec","BioMarin","Factor VIII gene therapy","Haemophilia A","CHEMBL4297579","MONDO_0010602","Other",2023,"CHEMBL4297579"
"124","Zuranolone","Sage/Biogen","GABAA�receptor positive allosteric modulator","MDD and postpartum depression","CHEMBL4105630","MONDO_0002009","Psychiatric",2023,"CHEMBL4105630"
"125","Zuranolone","Sage/Biogen","GABAA�receptor positive allosteric modulator","MDD and postpartum depression","CHEMBL4105630","EFO_0007453","Psychiatric",2023,"CHEMBL4105630"
"126","Abrocitinib","Pfizer","JAK inhibitor","Atopic dermatitis","CHEMBL3655081","EFO_0000274","Dermatology",2022,"CHEMBL3655081"
"127","Adagrasib","Mirati","KRAS-G12C inhibitor","KRASG12C-mutated NSCLC","CHEMBL4594350","EFO_0003060","Oncology",2022,"CHEMBL4594350"
"128","Daridorexant","Idorsia","Orexin receptor antagonist","Insomnia","CHEMBL4297590","EFO_0004698","Other",2022,"CHEMBL4297590"
"129","Daridorexant","Idorsia","Orexin receptor antagonist","Insomnia","CHEMBL4297590","EFO_0005271","Other",2022,"CHEMBL4297590"
"130","DaxibotulinumtoxinA","Revance","Botulinum toxin","Glabellar lines","CHEMBL3707359","HP_0009762","Other",2022,"CHEMBL3707359"
"131","Deucravacitinib","Bristol Myers Squibb","TYK2 inhibitor","Plaque psoriasis","CHEMBL4435170","EFO_1001494","Dermatology",2022,"CHEMBL4435170"
"132","Eflapegrastim","Spectrum","Leukocyte growth factor","Incidence of infection in non-myeloid malignancies, with myelosuppressive drugs","CHEMBL3833384","EFO_0000544","Infectious",2022,"CHEMBL3833384"
"133","Faricimab","Roche/Genentech","VEGF _ ANG2 bispecific antibody","nAMD and DME","CHEMBL4297750","EFO_0001365","Ophthalmology",2022,"CHEMBL4297750"
"134","Futibatinib","Taiho Oncology","FGFR kinase inhibitor","FGFR2-aberrant intrahepatic cholangiocarcinoma","CHEMBL3701238","EFO_0005221","Oncology",2022,"CHEMBL3701238"
"135","Gadopiclenol","Guerbet","Gadolinium-based contrast agent","Lesions with abnormal vascularity","CHEMBL4297634","-","Imaging",2022,"CHEMBL4297634"
"136","Ganaxolone","Marinus","GABAA�receptor positive allosteric modulator","Seizures associated with CDD","CHEMBL1568698","HP_0200134","Other",2022,"CHEMBL1568698"
"137","Lenacapavir","Gilead","HIV-1 capsid inhibitor","HIV-1 infection","CHEMBL4594438","EFO_0000180","Infectious",2022,"CHEMBL4594438"
"138","Lutetium Lu-177 vipivotide tetraxetan","Novartis","PSMA-binding radioligand therapeutic agent","PSMA-positive prostate cancer","CHEMBL4594406","EFO_0001663","Oncology",2022,"CHEMBL4594406"
"139","Mavacamten","Bristol Myers Squibb","Cardiac myosin inhibitor","Classes of obstructive HCM (Hypertrophic Obstructive Cardiomyopathy)","CHEMBL4297517","EFO_0000538","Cardiovascular",2022,"CHEMBL4297517"
"140","Mirvetuximab soravtansine","ImmunoGen","FR_-targeted antibody-drug conjugate","Ovarian cancer","CHEMBL3545132","EFO_0001075","Oncology",2022,"CHEMBL3545132"
"141","Mitapivat","Agios","Pyruvate kinase activator","Haemolytic anaemia due to PK deficiency","CHEMBL4299940","EFO_0005558","Other",2022,"CHEMBL4299940"
"142","Mosunetuzumab","Roche/Genentech","CD20 _ CD3 bispecific antibody","Follicular lymphoma","CHEMBL4297788","MONDO_0018906","Oncology",2022,"CHEMBL4297788"
"143","Olipudase alfa","Sanofi/Genzyme","Acid sphingomyelinase ERT","Acid sphingomyelinase deficiency","CHEMBL3707358","MONDO_0100464","Other",2022,"CHEMBL3707358"
"144","Olutasidenib","Rigel/Forma","IDH1 inhibitor","IDH1-mutated AML","CHEMBL4297610","EFO_0000222","Oncology",2022,"CHEMBL4297610"
"145","Omidenepag isopropyl","Santen","Prostaglandin E2 receptor agonist","Intraocular pressure in open-angle glaucoma or ocular hypertension","CHEMBL4297666","EFO_1001069","Ophthalmology",2022,"CHEMBL4297666"
"146","Omidenepag isopropyl","Santen","Prostaglandin E2 receptor agonist","Intraocular pressure in open-angle glaucoma or ocular hypertension","CHEMBL4297666","EFO_0004190","Ophthalmology",2022,"CHEMBL4297666"
"147","Oteseconazole","Mycovia","Azole antifungal","Vulvovaginal candidiasis","CHEMBL3311228","EFO_0007543","Infectious",2022,"CHEMBL3311228"
"148","Pacritinib","CTI Biopharma","JAK2 inhibitor","Myelofibrosis","CHEMBL2035187","MONDO_0044903","Oncology",2022,"CHEMBL2035187"
"149","Relatlimab; nivolumab","Bristol Myers Squibb","LAG3-targeted mAb plus PD1-targeted mAb","Melanoma","CHEMBL3990044","EFO_0000756","Oncology",2022,"CHEMBL3990044; CHEMBL2108738"
"150","Relatlimab; nivolumab","Bristol Myers Squibb","LAG3-targeted mAb plus PD1-targeted mAb","Melanoma","CHEMBL3990044","EFO_0002617","Oncology",2022,"CHEMBL3990044; CHEMBL2108738"
"151","Relatlimab; nivolumab","Bristol Myers Squibb","LAG3-targeted mAb plus PD1-targeted mAb","Melanoma","CHEMBL3990044","EFO_0002617","Oncology",2022,"CHEMBL3990044; CHEMBL2108738"
"152","Relatlimab; nivolumab","Bristol Myers Squibb","LAG3-targeted mAb plus PD1-targeted mAb","Melanoma","CHEMBL2108738","EFO_0000756","Oncology",2022,"CHEMBL3990044; CHEMBL2108738"
"153","Relatlimab; nivolumab","Bristol Myers Squibb","LAG3-targeted mAb plus PD1-targeted mAb","Melanoma","CHEMBL2108738","EFO_0002617","Oncology",2022,"CHEMBL3990044; CHEMBL2108738"
"154","Relatlimab; nivolumab","Bristol Myers Squibb","LAG3-targeted mAb plus PD1-targeted mAb","Melanoma","CHEMBL2108738","EFO_0002617","Oncology",2022,"CHEMBL3990044; CHEMBL2108738"
"155","Sodium phenylbutyrate; taurursodiol","Amylyx","Mechanism unknown","Amyotrophic lateral sclerosis","CHEMBL1746","MONDO_0004976","Other",2022,"CHEMBL1746; CHEMBL272427"
"156","Sodium phenylbutyrate; taurursodiol","Amylyx","Mechanism unknown","Amyotrophic lateral sclerosis","CHEMBL272427","MONDO_0004976","Other",2022,"CHEMBL1746; CHEMBL272427"
"157","Spesolimab","Boehringer Ingelheim","IL-36R-targeted mAb","Generalized pustular psoriasis flares","CHEMBL4297911","MONDO_0013626","Dermatology",2022,"CHEMBL4297911"
"158","Spesolimab","Boehringer Ingelheim","IL-36R-targeted mAb","Generalized pustular psoriasis flares","CHEMBL4297911","MONDO_0015597","Dermatology",2022,"CHEMBL4297911"
"159","Sutimlimab","Bioverativ","C1s-targeted mAb","RBC transfusion due to haemolysis in CAD (cold agglutinin disease)","CHEMBL4297832","EFO_1001264","Autoimmune",2022,"CHEMBL4297832"
