Brand_name,Drug_name_original,Drug_name,DrugId,targetIds,Sponsor,Properties,TA,TA_check,Indication,Indication_EFO,DiseaseId,Review_type,Year,has_GE,comment,Disease_class
Diacomit,Stiripentol,STIRIPENTOL,CHEMBL1983350,ENSG00000022355,Biocodex,GABA reuptake inhibitor,Other,Other indication,Dravet syndrome,dravet syndrome,Orphanet_33069,"P, O",2018,TRUE,,Severe
Dojolvi,Triheptanoin,TRIHEPTANOIN,CHEMBL4297585,NA,Ultragenyx,Medium-chain triglyceride,Other,No human target,LC-FAODs,inherited fatty acid metabolism disorder,MONDO_0037858,"S, O, F",2020,NA,,Severe
Doptelet,Avatrombopag,AVATROMBOPAG,CHEMBL2103883,ENSG00000117400,Dova Pharmaceuticals,Thrombopoietin receptor agonist,Other,Other indication,Thrombocytopenia,thrombocytopenia,HP_0001873,P,2018,TRUE,,Not concordant
Dotarem,Gadoterate meglumine,GADOTERATE MEGLUMINE,CHEMBL2219415,NA,Guerbet,Gadolinium-based contrast agent,Other,No human target,Contrast agent to visualize disruption of the blood-brain barrier,NA,NA,P,2013,NA,,NA
Duavee,Bazedoxifene acetate; oestrogens,"BAZEDOXIFENE ACETATE; ESTROGENS, CONJUGATED",CHEMBL2106615; CHEMBL1201649,"ENSG00000091831, ENSG00000140009; ENSG00000140009, ENSG00000091831",Pfizer,Conjugated oestrogens with an oestrogen receptor modulator,Other,Other indication,Moderate to severe vasomotor symptoms associated with menopause and prevention of postmenopausal osteoporosis,menopause; postmenopausal osteoporosis,EFO_0003922; EFO_0003854,S,2013,TRUE,,Non severe
Dupixent,Dupilumab,DUPILUMAB,CHEMBL2108675,ENSG00000077238,Regeneron/Sanofi,IL-4Ralpha antagonist,Other,Other indication,Atopic dermatitis,atopic eczema,EFO_0000274,"P, B",2017,TRUE,,Non Severe
Ebanga,Ansuvimab,ANSUVIMAB,CHEMBL4594388,NA,Ridgeback,Ebola glycoprotein-directed mAb,Other,No human target,Ebola virus,Ebola hemorrhagic fever,EFO_0007243,"P, O, B",2020,NA,,Severe
Egaten,Triclabendazole,TRICLABENDAZOLE,CHEMBL1086440,NA,Novartis,Anthelmintic,Other,No human target,Fascioliasis,fascioliasis,EFO_1001324,"P, O, F",2019,NA,,Not concordant
Elahere,Mirvetuximab soravtansine,Mirvetuximab soravtansine,CHEMBL3545132,"ENSG00000110195, ENSG00000127824, ENSG00000152086, ENSG00000261456, ENSG00000101162, ENSG00000188229, ENSG00000104833, ENSG00000258947, ENSG00000123416, ENSG00000198033, ENSG00000167553, ENSG00000137285, ENSG00000167552, ENSG00000176014, ENSG00000137267, ENSG00000196230",ImmunoGen,FR_-targeted antibody-drug conjugate,Oncology,Oncology,Ovarian cancer,ovarian carcinoma,EFO_0001075,"P, O, A, F",2022,TRUE,,Severe
Elucirem,Gadopiclenol,Gadopiclenol,CHEMBL4297634,NA,Guerbet,Gadolinium-based contrast agent,Other,No human target,Lesions with abnormal vascularity,NA,NA,P,2022,NA,,NA
Elzonris,Tagraxofusp,TAGRAXOFUSP,CHEMBL4297573,"ENSG00000167658, ENSG00000185291",Stemline Therapeutics,IL-3 and diphtheria toxin fusion protein,Oncology,Oncology,Blastic plasmacytoid dendritic cell neoplasm,blastic plasmacytoid dendritic cell neoplasm,EFO_0010580,"P, O, B",2018,FALSE,,Severe
Emflaza,Deflazacort,DEFLAZACORT,CHEMBL1201891,ENSG00000113580,PTC Therapeutics,Corticosteroid,Other,Other indication,Duchenne muscular dystrophy,Duchenne muscular dystrophy,MONDO_0010679,"P, O, F",2017,FALSE,Symptomatic,Severe
Emgality,Galcanezumab,GALCANEZUMAB,CHEMBL3707328,"ENSG00000175868, ENSG00000110680",Eli Lilly,CGRP antibody,Other,Other indication,Migraine,migraine disorder,MONDO_0005277,"S, F",2018,TRUE,,Non Severe
Empaveli,Pegcetacoplan,Pegcetacoplan,CHEMBL4298211,ENSG00000125730,Apellis,Complement protein C3 inhibitor,Other,Other indication,PNH,paroxysmal nocturnal hemoglobinuria,MONDO_0100244,"P, O, F",2021,TRUE,,Severe
Empliciti,Elotuzumab,ELOTUZUMAB,CHEMBL1743010,ENSG00000026751,Bristol-Myers Squibb,SLAMF7-directed mAb,Oncology,Oncology,Multiple myeloma,multiple myeloma,EFO_0001378,"P, O, B",2015,TRUE,,Severe
Enhertu,Trastuzumab deruxtecan,TRASTUZUMAB DERUXTECAN,CHEMBL4297844,"ENSG00000141736, ENSG00000198900",Daiichi Sankyo/AstraZeneca,HER2-directed ADC,Oncology,Oncology,HER2-positive breast cancer,HER2 Positive Breast Carcinoma,EFO_1000294,"P, B, A, F",2019,TRUE,,Severe
