"","Drug","Brand_name","Sponsor","Properties","Indication","Review","Year","id"
"75","RELEBACTAM","Recarbrio","Merck & Co.","A renal dehydropeptidase inhibitor, a penem antibacterial and a β-lactamase inhibitor","Complicated urinary tract and complicated intra-abdominal infections","P",2019,"CHEMBL3112741"
"76","FERRIC MALTOL","Accrufer","Shield Therapeutics","Iron replacement product","Iron deficiency anaemia","S",2019,"CHEMBL4298110"
"77","DAROLUTAMIDE","Nubeqa","Bayer","Androgen receptor inhibitor","Prostate cancer","P",2019,"CHEMBL4297185"
"78","PEXIDARTINIB","Turalio","Daiichi Sankyo","CSF1R, KIT and FLT3 inhibitor","Tenosynovial giant cell tumour","P, O, B",2019,"CHEMBL3813873"
"79","PITOLISANT","Wakix","Harmony","H3 receptor antagonist/inverse agonist","Excessive sleepiness due to narcolepsy","P, O",2019,"CHEMBL462605"
"80","PRETOMANID","Pretomanid","Pfizer/Mylan","Antimycobacterial","Tuberculosis","P, O",2019,"CHEMBL227875"
"81","ENTRECTINIB","Rozlytrek","Roche","TRKA, TRKB, TRKC, ROS1 and ALK inhibitor","NTRK fusion-positive solid tumours and ROS1-positive NSCLC","P, O, B, A",2019,"CHEMBL1983268"
"82","UPADACITINIB","Rinvoq","AbbVie","JAK inhibitor","Rheumatoid arthritis","S",2019,"CHEMBL3622821"
"83","FEDRATINIB","Inrebic","Celgene/BMS","JAK2 and FLT3 inhibitor","Myelofibrosis","P, O",2019,"CHEMBL1287853"
"84","LEFAMULIN","Xenleta","Nabriva","Pleuromutilin antibacterial","CABP","P",2019,"CHEMBL3291398"
"85","GALLIUM DOTATOC GA-68",NA,"UIHC PET Imaging Center","Radioactive diagnostic","Localization of somatostatin receptor-positive neuroendocrine tumours","S, O",2019,NA
"86","ISTRADEFYLLINE","Nourianz","Kyowa Kirin","Adenosine receptor antagonist","Parkinson disease, ‘off’ episodes","S",2019,"CHEMBL431770"
"87","TENAPANOR","Ibsrela","Ardelyx","NHE3 inhibitor","IBS with constipation","S",2019,"CHEMBL3304485"
"88","TRIFAROTENE","Aklief","Galderma","Retinoic acid receptor agonist","Acne vulgaris","S",2019,"CHEMBL3707313"
"89","BROLUCIZUMAB","Beovu","Novartis","VEGF inhibitor","Wet age-related macular degeneration","S",2019,"CHEMBL3707357"
"90","AFAMELANOTIDE","Scenesse","Clinuvel","Melanocortin 1 receptor agonist","Erythropoietic protoporphyria","P, O",2019,"CHEMBL441738"
"91","FLUORODOPA F-18",NA,"Feinstein Institutes","Radioactive diagnostic","Diagnosis of parkinsonian syndromes","S",2019,NA
"92","LASMIDITAN","Reyvow","Eli Lilly","Serotonin (5-HT) 1F receptor agonist","Migraine with or without aura","S",2019,"CHEMBL3039520"
"93","TEZACAFTOR","Trikafta","Vertex","Two CFTR correctors and a CFTR potentiator","Most common gene mutation that causes cystic fibrosis","P, O, B",2019,"CHEMBL3544914"
"94","ELEXACAFTOR","Trikafta","Vertex","Two CFTR correctors and a CFTR potentiator","Most common gene mutation that causes cystic fibrosis","P, O, B",2019,"CHEMBL4298128"
"95","IVACAFTOR","Trikafta","Vertex","Two CFTR correctors and a CFTR potentiator","Most common gene mutation that causes cystic fibrosis","P, O, B",2019,"CHEMBL2010601"
"96","AIR POLYMER-TYPE A","ExEm Foam","Giskit","Ultrasound contrast agent","Assess fallopian tube patency in women with known or suspected infertility","S",2019,"CHEMBL4594264"
"97","LUSPATERCEPT","Reblozyl","Celgene/BMS","Erythroid maturation agent","Anaemia in β-thalassaemia","P, O",2019,"CHEMBL3039545"
"98","CEFIDEROCOL","Fetroja","Shionogi","Cephalosporin antibacterial","Complicated urinary tract infections","P",2019,"CHEMBL3989974"
"99","ZANUBRUTINIB","Brukinsa","BeiGene","BTK inhibitor","Mantle cell lymphoma","P, O, B, A",2019,"CHEMBL3936761"
"100","CRIZANLIZUMAB","Adakveo","Novartis","P-selectin blocker","Painful complications of SCD","P, O, B",2019,"CHEMBL4297734"
"101","GIVOSIRAN","Givlaari","Alnylam","ALAS1-directed siRNA","Acute hepatic porphyria","P, O, B",2019,"CHEMBL4297760"
"102","CENOBAMATE","Xcopri","SK Life Science","Unknown","Partial onset seizures","S",2019,"CHEMBL3989949"
"103","VOXELOTOR","Oxbryta","Global Blood Therapeutics","Haemoglobin S polymerization inhibitor","SCD","P, O, B, A",2019,"CHEMBL4101807"
"104","GOLODIRSEN","Vyondys 53","Sarepta","Exon 53 skipping antisense","Duchenne muscular dystrophy","P, O, A",2019,"CHEMBL4297762"
"105","ENFORTUMAB VEDOTIN","Padcev","Astellas","Nectin-4-directed ADC","Urothelial cancers","P, B, A",2019,"CHEMBL3301589"
"106","BRILLIANT BLUE G","Tissueblue","Dutch Ophthalmic Research","Brilliant Blue G dye","Staining the internal limiting membrane","P, O",2019,"CHEMBL4173394"
"107","LEMBOREXANT","Dayvigo","Eisai","Orexin receptor antagonist","Insomnia","S",2019,"CHEMBL3545367"
"108","TRASTUZUMAB DERUXTECAN","Enhertu","Daiichi Sankyo/AstraZeneca","HER2-directed ADC","HER2-positive breast cancer","P, B, A",2019,"CHEMBL4297844"
"109","LUMATEPERONE","Caplyta","Intra-Cellular Therapies","Atypical antipsychotic","Schizophrenia","S",2019,"CHEMBL3306803"
"110","UBROGEPANT","Ubrelvy","Allergan","CGRP receptor antagonist","Migraine with or without aura","S",2019,"CHEMBL2364638"
"111","LUTETIUM LU 177 DOTATATE","Lutathera","Advanced Accelerator Applications/Novartis","Somatostatin receptor-targeted radiopharmaceutical","GEP-NETs","P, O",2018,NA
"112","BICTEGRAVIR","Biktarvy","Gilead Sciences","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV","P",2018,"CHEMBL3989866"
"113","EMTRICITABINE","Biktarvy","Gilead Sciences","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV","P",2018,"CHEMBL885"
"114","TENOFOVIR ALAFENAMIDE","Biktarvy","Gilead Sciences","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","HIV","P",2018,"CHEMBL2107825"
"115","TEZACAFTOR","Symdeko","Vertex Pharmaceuticals","CFTR corrector and CFTR potentiator","Cystic fibrosis","P, O, B",2018,"CHEMBL3544914"
"116","IVACAFTOR","Symdeko","Vertex Pharmaceuticals","CFTR corrector and CFTR potentiator","Cystic fibrosis","P, O, B",2018,"CHEMBL2010601"
"117","APALUTAMIDE","Erleada","Johnson & Johnson","Androgen receptor inhibitor","Prostate cancer","P",2018,"CHEMBL3183409"
"118","IBALIZUMAB","Trogarzo","TaiMed Biologics/Theratechnologies","CD4 antibody","HIV","P, O, B",2018,"CHEMBL1743029"
"119","TILDRAKIZUMAB","Ilumya","Sun Pharma","IL-23 antibody","Plaque psoriasis","S",2018,"CHEMBL2108681"
"120","FOSTAMATINIB","Tavalisse","Rigel Pharmaceuticals","SYK inhibitor","Immune thrombocytopenic purpura","S, O",2018,"CHEMBL2103830"
"121","BUROSUMAB","Crysvita","Ultragenyx Pharmaceutical/Kyowa Hakko Kirin","FGF23 antibody","X-linked hypophosphataemia","P, O, B",2018,"CHEMBL3707326"
"122","PALONOSETRON","Akynzeo IV","Helsinn Group","5-HT3 receptor antagonist and NK1 receptor antagonist","Chemotherapy-induced emesis","S",2018,"CHEMBL1189679"
"123","FOSNETUPITANT","Akynzeo IV","Helsinn Group","5-HT3 receptor antagonist and NK1 receptor antagonist","Chemotherapy-induced emesis","S",2018,"CHEMBL3989917"
"124","LOFEXIDINE","Lucemyra","US WorldMeds","α2-adrenoceptor agonist","Opioid withdrawal","P",2018,"CHEMBL17860"
"125","ERENUMAB","Aimovig","Amgen/Novartis","CGRP receptor antibody","Migraine","S",2018,"CHEMBL3833329"
"126","SODIUM ZIRCONIUM CYCLOSILICATE","Lokelma","AstraZeneca","Potassium binder","Hyperkalaemia","S",2018,"CHEMBL3301592"
"127","AVATROMBOPAG","Doptelet","Dova Pharmaceuticals","Thrombopoietin receptor agonist","Thrombocytopenia","P",2018,"CHEMBL2103883"
"128","PEGVALIASE","Palynziq","BioMarin Pharmaceutical","PAL replacement therapy","Phenylketonuria","P, O",2018,"CHEMBL4297802"
"129","BARICITINIB","Olumiant","Incyte/Eli Lilly","JAK inhibitor","Rheumatoid arthritis","S",2018,"CHEMBL2105759"
"130","MOXIDECTIN",NA,"Medicines Development for Global Health","Antihelmintic GABA receptor and glutamate channel modulator","River blindness","P, O",2018,"CHEMBL2104415"
"131","CANNABIDIOL","Epidiolex","GW Pharmaceuticals","Cannabinoid","Dravet syndrome and Lennox–Gastaut syndrome","P, O",2018,"CHEMBL190461"
"132","PLAZOMICIN","Zemdri","Achaogen","Aminoglycoside antibacterial","Urinary tract infections","P",2018,"CHEMBL1650559"
"133","BINIMETINIB","Mektovi","Array BioPharma","MEK inhibitor","BRAF-mutated melanoma","S, O",2018,"CHEMBL3187723"
"134","ENCORAFENIB","Braftovi","Array BioPharma","BRAF inhibitor","BRAF-mutated melanoma","S, O",2018,"CHEMBL3301612"
"135","TECOVIRIMAT","TPOXX","SIGA Technologies","Viral p37 protein inhibitor","Smallpox","P, O",2018,"CHEMBL1257073"
"136","IVOSIDENIB","Tibsovo","Agios Pharmaceuticals","IDH1 inhibitor","IDH1-mutated AML","P, O",2018,"CHEMBL3989958"
"137","TAFENOQUINE","Krintafel","Medicines for Malaria Venture/GlaxoSmithKline","8-Aminoquinoline antimalarial","Plasmodium vivax malaria","P, O, B",2018,"CHEMBL298470"
"138","ELAGOLIX SODIUM","Orilissa","AbbVie","GnRH receptor antagonist","Pain associated with endometriosis","P",2018,"CHEMBL502182"
"139","FISH OIL TRIGLYCERIDES","Omegaven","Fresenius","Mixture of fatty acids","Parenteral nutrition-associated cholestasis","P, O",2018,"CHEMBL4297535"
"140","LUSUTROMBOPAG","Mulpleta","Shionogi","Thrombopoietin receptor agonist","Thrombocytopenia","P",2018,"CHEMBL2107831"
"141","MOGAMULIZUMAB","Poteligeo","Kyowa Hakko Kirin","CCR4 antibody","Mycosis fungoides and Sézary syndrome","P, O, B",2018,"CHEMBL1743041"
"142","PATISIRAN","Onpattro","Alnylam Pharmaceuticals","TTR-directed small interfering RNA","Hereditary TTR-mediated amyloidosis","P, O, B",2018,"CHEMBL3989987"
"143","SEGESTERONE ACETATE","Annovera","TherapeuticsMD","Progestin and estrogen combined hormonal contraceptive","Female contraception","S",2018,"CHEMBL3707377"
"144","ETHINYL ESTRADIOL VAGINAL SYSTEM","Annovera","TherapeuticsMD","Progestin and estrogen combined hormonal contraceptive","Female contraception","S",2018,NA
"145","MIGALASTAT","Galafold","Amicus Therapeutics","α-galactosidase regulator","Fabry disease","P, O, A",2018,"CHEMBL110458"
"146","STIRIPENTOL","Diacomit","Biocodex","GABA reuptake inhibitor","Dravet syndrome","P, O",2018,"CHEMBL1983350"
"147","CENEGERMIN","Oxervate","Dompé","Recombinant NGF","Neurotrophic keratitis","P, O, B",2018,"CHEMBL4297852"
"148","LANADELUMAB","Takhzyro","Dyax/Shire","Kallikrein antibody","Hereditary angioedema","P, O, B",2018,"CHEMBL3545189"
"149","ERAVACYCLINE","Xerava","Tetraphase Pharmaceuticals","Tetracycline antibiotic","Complicated intra-abdominal infections","P",2018,"CHEMBL1951095"
"150","DORAVIRINE","Pifeltro","Merck & Co.","NNRTI","HIV","S",2018,"CHEMBL2364608"
"151","MOXETUMOMAB PASUDOTOX","Lumoxiti","AstraZeneca","CD22-directed antibody–drug conjugate","Hairy cell leukaemia","P, O",2018,"CHEMBL1743043"
"152","FREMANEZUMAB","Ajovy","Teva","CGRP antibody","Migraine","P",2018,"CHEMBL4297756"
"153","DUVELISIB","Copiktra","Verastem","PI3K inhibitor","CLL, FL and SLL","P, O, A",2018,"CHEMBL3039502"
"154","GALCANEZUMAB","Emgality","Eli Lilly","CGRP antibody","Migraine","S",2018,"CHEMBL3707328"
"155","DACOMITINIB","Vizimpro","Pfizer","EGFR inhibitor","EGFR-mutated NSCLC","P, O",2018,"CHEMBL2105719"
"156","DACOMITINIB","Vizimpro","Pfizer","EGFR inhibitor","EGFR-mutated NSCLC","P, O",2018,"CHEMBL2110732"
"157","CEMIPLIMAB","Libtayo","Regeneron/Sanofi","PD1 antibody","CSCC","P, B",2018,"CHEMBL4297723"
"158","SARECYCLINE","Seysara","Allergan","Tetracycline antibiotic","Severe acne vulgaris","S",2018,"CHEMBL2364632"
"159","OMADACYCLINE","Nuzyra","Paratek Pharmaceuticals","Tetracycline antibiotic","CABP and ABSSSI","P",2018,"CHEMBL1689772"
"160","ELAPEGADEMASE","Revcovi","Leadiant Biosciences","Recombinant adenosine deaminase","ADA-SCID","P, O",2018,"CHEMBL3990026"
"161","INOTERSEN","Tegsedi","Ionis Pharmaceuticals","TTR-directed antisense oligonucleotide","Hereditary TTR-mediated amyloidosis","P, O",2018,"CHEMBL4297770"
"162","TALAZOPARIB","Talzenna","Pfizer","PARP inhibitor","BRCA-mutated HER2-negative breast cancer","P",2018,"CHEMBL3137320"
"163","BALOXAVIR MARBOXIL","Xofluza","Shionogi/Roche","Polymerase acidic endonuclease inhibitor","Acute uncomplicated influenza","P",2018,"CHEMBL4297503"
"164","LORLATINIB","Lorbrena","Pfizer","ALK and ROS1 inhibitor","ALK-positive NSCLC","P, O, B, A",2018,"CHEMBL3286830"
"165","REVEFENACIN","Yupelri","Theravance Biopharma/Mylan","Long-acting muscarinic receptor antagonist","COPD","S",2018,"CHEMBL3833319"
"166","RIFAMYCIN","Aemcolo","Cosmo Technologies","Ansamycin antibacterial","Travellers’ diarrhoea","P",2018,"CHEMBL437765"
"167","EMAPALUMAB","Gamifant","Novimmune","Interferon-γ-blocking antibody","Primary haemophagocytic lymphohistiocytosis","P, O, B",2018,"CHEMBL3989977"
"168","GLASDEGIB","Daurismo","Pfizer","Hedgehog pathway inhibitor","AML","P, O",2018,"CHEMBL2043437"
"169","LAROTRECTINIB","Vitrakvi","Loxo Oncology/Bayer","TRKA, TRKB and TRKC inhibitor","NTRK-positive solid cancers","P, O, B, A",2018,"CHEMBL3889654"
"170","GILTERITINIB","Xospata","Astellas","FLT3 inhibitor","FLT3-positive AML","P, O, B",2018,"CHEMBL3301622"
"171","AMIFAMPRIDINE","Firdapse","Catalyst Pharmaceuticals","Potassium channel blocker","Lambert–Eaton myasthenic syndrome","P, O",2018,"CHEMBL354077"
"172","PRUCALOPRIDE","Motegrity","Shire/Takeda","5-HT4 receptor agonist","Chronic idiopathic constipation","S",2018,"CHEMBL117287"
"173","CALASPARGASE PEGOL","Asparlas","Servier","Asparagine specific enzyme","ALL","S, O",2018,"CHEMBL2108728"
"174","RAVULIZUMAB","Ultomiris","Alexion","Complement inhibitor","Paroxysmal nocturnal haemoglobinuria","S, O",2018,"CHEMBL3989986"
"175","TAGRAXOFUSP","Elzonris","Stemline Therapeutics","IL-3 and diphtheria toxin fusion protein","Blastic plasmacytoid dendritic cell neoplasm","P, O, B",2018,"CHEMBL4297573"
