"Brand_name","Drug_name_original","Drug_name","DrugId","targetId","targetId_type","Sponsor","Properties","TA","Indication","Indication_cur","diseaseId","diseaseId_type","Disease_class","Year.x","Review_type","has_GE","Year.y","Interactor","Related","Interactor_Related"
"Akynzeo","Netupitant; palonosetron","NETUPITANT; PALONOSETRON","CHEMBL206253; CHEMBL1189679","ENSG00000115353; ENSG00000166736","Original","Helsinn","An NK1-receptor antagonist plus a 5-HT3-receptor antagonist","Other indication","Chemotherapy-related nausea","Chemotherapy-induced nausea and vomiting","EFO_0006911","Original","Not serious",2014,"S",FALSE,2014,FALSE,FALSE,FALSE
"Akynzeo IV","Palonosetron; fosnetupitant","PALONOSETRON; FOSNETUPITANT","CHEMBL1189679; CHEMBL3989917","ENSG00000166736; ENSG00000115353","Original","Helsinn Group","5-HT3-receptor antagonist and NK1-receptor antagonist","Other indication","Chemotherapy-induced emesis","Chemotherapy-induced nausea and vomiting","EFO_0006911","Original","Not serious",2018,"S",FALSE,2018,FALSE,FALSE,FALSE
"Alecensa","Alectinib","ALECTINIB","CHEMBL1738797","ENSG00000171094, ENSG00000143924, ENSG00000165731","Original","Roche","ALK inhibitor","Oncology","NSCLC","non-small cell lung carcinoma","EFO_0003060","Original","Serious",2015,"P, O, B, A",TRUE,2015,FALSE,FALSE,FALSE
"Aliqopa","Copanlisib dihydrochloride","COPANLISIB","CHEMBL3218576","ENSG00000171608, ENSG00000121879","Original","Bayer","PI3Kalpha/‚âà√≠¬¨‚Ä¢ inhibitor","Oncology","Follicular lymphoma","follicular lymphoma","MONDO_0018906","Original","Serious",2017,"P, O, A, F",TRUE,2017,FALSE,TRUE,FALSE
"Alunbrig","Brigatinib","BRIGATINIB","CHEMBL3545311","ENSG00000171094, ENSG00000146648","Original","Ariad Pharmaceuticals/Takeda","ALK inhibitor","Oncology","ALK-positive NSCLC","non-small cell lung carcinoma","EFO_0003060","Original","Serious",2017,"P, O, B, A",TRUE,2017,FALSE,FALSE,FALSE
"Amondys 45","Casimersen","Casimersen","CHEMBL4297566","ENSG00000198947","Original","Sarepta","Exon 45-skipping ASO","Other indication","DMD","Duchenne muscular dystrophy","MONDO_0010679","Original","Serious",2021,"P, O, A, F",TRUE,2021,FALSE,FALSE,FALSE
"Amvuttra","Vutrisiran","Vutrisiran","CHEMBL4594511","ENSG00000118271","Original","Alnylam","TTR-targeted siRNA","Other indication","Polyneuropathy of hereditary TTR-mediated amyloidosis","familial amyloid neuropathy","EFO_0004129","Original","Serious",2022,"S, O, F",TRUE,2022,FALSE,FALSE,FALSE
"Annovera","Segesterone acetate; ethinyl estradiol","SEGESTERONE ACETATE; ETHINYL ESTRADIOL","CHEMBL3707377; CHEMBL691","ENSG00000082175; ENSG00000091831","Original","TherapeuticsMD","Progestin and estrogen combined hormonal contraceptive","Other indication","Female contraception","contraception","EFO_0009520","Original","Not serious",2018,"S",TRUE,2018,FALSE,FALSE,FALSE
"Anoro Ellipta","Umeclidinium; vilanterol","UMECLIDINIUM; VILANTEROL","CHEMBL1187833; CHEMBL1198857","ENSG00000133019; ENSG00000169252","Original","GSK","Anticholinergic and a LABA","Other indication","Chronic obstructive pulmonary disease","chronic obstructive pulmonary disease","EFO_0000341","Original","Serious",2013,"S",TRUE,2013,FALSE,FALSE,FALSE
"Anthim","Obiltoxaximab","OBILTOXAXIMAB","CHEMBL3544926",NA,"Original","Elusys Therapeutics","mAb against anthrax toxin","No human target","Anthrax","anthrax infection","EFO_0000778","Original","Serious",2016,"S, O, F",NA,NA,NA,NA,NA
"Aptiom","Eslicarbazepine","ESLICARBAZEPINE","CHEMBL315985","ENSG00000168356, ENSG00000169432, ENSG00000144285, ENSG00000007314, ENSG00000136546, ENSG00000185313, ENSG00000136531, ENSG00000183873, ENSG00000196876, ENSG00000153253","Original","Sunovion","MOA unknown, but thought to involve voltage-gated sodium channels","Other indication","Partial-onset seizures","Seizure","HP_0001250","Original","Not concordant",2013,"S",TRUE,2013,FALSE,FALSE,FALSE
"Aristada","Aripiprazole lauroxil","ARIPIPRAZOLE LAUROXIL","CHEMBL2219425","ENSG00000102468, ENSG00000178394, ENSG00000149295","Original","Alkermes","Extended release atypical antipsychotic","Other indication","Schizophrenia","schizophrenia","MONDO_0005090","Original","Not concordant",2015,"S",TRUE,2015,FALSE,FALSE,FALSE
"Artesunate","Artesunate","ARTESUNATE","CHEMBL361497",NA,"Original","Amivas","Artemisinin antimalarial","No human target","Serious malaria","malaria","EFO_0001068","Original","Serious",2020,"P, O, B, F",NA,NA,NA,NA,NA
"Asparlas","Calaspargase pegol","CALASPARGASE PEGOL","CHEMBL2108728","ENSG00000166183","Original","Servier","Asparagine specific enzyme","Oncology","ALL","acute lymphoblastic leukemia","EFO_0000220","Original","Serious",2018,"S, O",FALSE,2018,FALSE,FALSE,FALSE
"Austedo","Deutetrabenazine","DUTETRABENAZINE","CHEMBL3137326","ENSG00000165646","Original","Teva","VMAT2 inhibitor","Other indication","Chorea associated with Huntington disease","chorea; Huntington disease","EFO_0004152; MONDO_0007739","Original","Serious",2017,"S, O",TRUE,2017,FALSE,FALSE,FALSE
"Avycaz","Avibactam; ceftazidime","AVIBACTAM; CEFTAZIDIME","CHEMBL1689063; CHEMBL44354","NA; NA","Original","Allergan","A beta-lactamase inhibitor and a cephalosporin","No human target","Complicated intra-abdominal infections and complicated urinary tract infections","infection","EFO_0000544","Original","Serious",2015,"P, F",NA,NA,NA,NA,NA
"Axumin","Fluciclovine F-18","FLUCICLOVINE F-18","CHEMBL3707267","ENSG00000155465, ENSG00000105281, ENSG00000165349","Original","Blue Earth","Radioactive diagnostic","Other indication","Suspected prostate cancer recurrence","prostate cancer","MONDO_0008315","Original","Serious",2016,"P",TRUE,2016,FALSE,FALSE,FALSE
"Ayvakit","Avapritinib","AVAPRITINIB","CHEMBL4204794","ENSG00000157404, ENSG00000134853","Original","Blueprint Medicines","PDGFRA, PDGFRA mutants and KIT kinase inhibitor","Oncology","GIST with PDGFRA exon 18 mutations","gastrointestinal stromal tumor","MONDO_0011719","Original","Serious",2020,"P, O, B, F",TRUE,2020,FALSE,FALSE,FALSE
"Azstarys","Dexmethylphenidate; serdexmethylphenidate","Dexmethylphenidate; serdexmethylphenidate","CHEMBL827; CHEMBL4301162","ENSG00000103546, ENSG00000142319; ENSG00000142319, ENSG00000103546","Original","Commave Therapeutics","CNS stimulant","Other indication","ADHD","attention deficit hyperactivity disorder","EFO_0003888","Original","Not serious",2021,"S",TRUE,2021,FALSE,FALSE,FALSE
"Balversa","Erdafitinib","ERDAFITINIB","CHEMBL3545376","ENSG00000077782, ENSG00000066468, ENSG00000160867, ENSG00000068078","Original","Janssen /J&J","FGFR inhibitor","Oncology","Bladder cancer","urinary bladder carcinoma","MONDO_0004986","Original","Serious",2019,"P, B, A",TRUE,2019,FALSE,FALSE,FALSE
"Barhemsys","Amisulpride","AMISULPRIDE","CHEMBL243712","ENSG00000151577, ENSG00000149295, ENSG00000164270, ENSG00000157219, ENSG00000158748, ENSG00000166736, ENSG00000186090, ENSG00000178084, ENSG00000102468, ENSG00000149305, ENSG00000179097, ENSG00000135914, ENSG00000178394, ENSG00000168830, ENSG00000147246, ENSG00000186038, ENSG00000148680, ENSG00000135312, ENSG00000179546","Original","Acacia","Dopamine receptors D2 & D3 antagonist","Other indication","Nausea and vomiting after surgery","Nausea and vomiting","HP_0002017","Original","Not serious",2020,"S",FALSE,2020,FALSE,FALSE,FALSE
"Bavencio","Avelumab","AVELUMAB","CHEMBL3833373","ENSG00000120217","Original","Merck KGaA/Pfizer","PDL1-blocking antibody","Oncology","Merkel cell carcinoma","Merkel cell skin cancer","EFO_1001471","Original","Serious",2017,"P, O, B, A, F",TRUE,2017,FALSE,FALSE,FALSE
"Baxdela","Delafloxacin","DELAFLOXACIN","CHEMBL2105637",NA,"Original","Melinta Therapeutics","Fluoroquinolone antibacterial","No human target","Acute bacterial skin and skin structure infections","staphylococcal skin infections","EFO_1001849","Original","Not serious",2017,"P, F",NA,NA,NA,NA,NA
"Beleodaq","Belinostat","BELINOSTAT","CHEMBL408513","ENSG00000108840, ENSG00000147099, ENSG00000061273, ENSG00000068024, ENSG00000171720, ENSG00000094631, ENSG00000163517, ENSG00000048052, ENSG00000100429, ENSG00000196591, ENSG00000116478","Original","Spectrum","Histone-deacetylase inhibitor","Other indication","Peripheral T-cell lymphoma","unspecified peripheral T-cell lymphoma","EFO_0000211","Original","Serious",2014,"P, O, A, F",TRUE,2014,TRUE,FALSE,FALSE
"Belsomra","Suvorexant","SUVOREXANT","CHEMBL1083659","ENSG00000137252, ENSG00000121764","Original","Merck & Co.","Orexin-receptor antagonist","Other indication","Insomnia","insomnia","EFO_0004698","Original","Not serious",2014,"S",TRUE,2014,FALSE,TRUE,FALSE
"Benznidazole","Benznidazole","BENZNIDAZOLE","CHEMBL110",NA,"Original","Chemo Research","Nitroimidazole antimicrobial","No human target","Chagas disease","Chagas disease","MONDO_0001444","Original","Serious",2017,"P, O, A",NA,NA,NA,NA,NA
"Beovu","Brolucizumab","BROLUCIZUMAB","CHEMBL3707357","ENSG00000112715","Original","Novartis","VEGF inhibitor","Other indication","Wet age-related macular degeneration","macular degeneration","EFO_0009606","Original","Not concordant",2019,"S",TRUE,2019,FALSE,FALSE,FALSE
"Besponsa","Inotuzumab ozogamicin","INOTUZUMAB OZOGAMICIN","CHEMBL2108611","ENSG00000012124","Original","Pfizer","CD22-directed antibody‚Äö√Ñ√∂‚àö√ë‚àö¬®drug conjugate","Oncology","B cell precursor ALL","precursor B-cell acute lymphoblastic leukemia","MONDO_0020511","Original","Serious",2017,"P, O, B",TRUE,2017,FALSE,TRUE,FALSE
"Besremi","Ropeginterferon alfa-2b","Ropeginterferon alfa-2b","CHEMBL4297819","ENSG00000142166, ENSG00000159110","Original","Pharmaessentia","PEGylated interferon alpha-2b","Oncology","Polycythaemia vera","polycythemia vera","EFO_0002429","Original","Serious",2021,"S, O",TRUE,2021,TRUE,FALSE,FALSE
"Bevyxxa","Betrixaban","BETRIXABAN","CHEMBL512351","ENSG00000126218","Original","Portola Pharmaceuticals","FXa inhibitor","Other indication","Prophylaxis of venous thromboembolism","venous thromboembolism","EFO_0004286","Original","Serious",2017,"P, F",TRUE,2017,FALSE,FALSE,FALSE
"Biktarvy","Bictegravir; emtricitabine; tenofovir alafenamide","BICTEGRAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE","CHEMBL3989866; CHEMBL885; CHEMBL2107825","NA; NA; NA","Original","Gilead Sciences","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","No human target","HIV","hiv infection","EFO_0000764","Original","Serious",2018,"P",NA,NA,NA,NA,NA
"Blenrep","Belantamab mafodotin","BELANTAMAB MAFODOTIN","CHEMBL4298209","ENSG00000048462, ENSG00000152086, ENSG00000167553, ENSG00000188229, ENSG00000137267, ENSG00000176014, ENSG00000261456, ENSG00000127824, ENSG00000123416, ENSG00000137285, ENSG00000258947, ENSG00000167552, ENSG00000198033, ENSG00000196230, ENSG00000104833, ENSG00000101162","Original","GlaxoSmithKline","BCMA-directed ADC, with microtubule inhibitor","Oncology","Multiple myeloma","multiple myeloma","EFO_0001378","Original","Serious",2020,"P, O, B, A",TRUE,2020,FALSE,FALSE,FALSE
"Blincyto","Blinatumomab","BLINATUMOMAB","CHEMBL1742992","ENSG00000177455, ENSG00000160654, ENSG00000167286, ENSG00000198851","Original","Amgen","CD19- and CD3-bispecific antibody","Oncology","B-ALL","precursor B-cell acute lymphoblastic leukemia","MONDO_0020511","Original","Serious",2014,"P, O, B, A",TRUE,2014,FALSE,TRUE,FALSE
"Braftovi","Encorafenib","ENCORAFENIB","CHEMBL3301612","ENSG00000157764","Original","Array BioPharma","BRAF inhibitor","Oncology","BRAF-mutated melanoma","melanoma","EFO_0000756","Original","Serious",2018,"S, O",TRUE,2018,FALSE,FALSE,FALSE
"Breo Ellipta","Fluticasone; vilanterol","FLUTICASONE; VILANTEROL","CHEMBL1473; CHEMBL1198857","ENSG00000113580; ENSG00000169252","Original","GSK","Corticosteroid plus LABA","Other indication","Chronic obstructive pulmonary disease","chronic obstructive pulmonary disease","EFO_0000341","Original","Serious",2013,"S",TRUE,2013,FALSE,FALSE,FALSE
"Brexafemme","Ibrexafungerp","Ibrexafungerp","CHEMBL4297513",NA,"Original","Scynexis","Triterpenoid antifungal","No human target","Vulvovaginal candidiasis",NA,NA,"Original",NA,2021,"P, F",NA,NA,NA,NA,NA
"Bridion","Sugammadex","SUGAMMADEX","CHEMBL2111107",NA,"Original","Merck & Co.","A modified gamma cyclodextrin","No human target","Reversal of neuromuscular blockade during surgery","neuromuscular disease","EFO_1001902","Original","Serious",2015,"P",NA,NA,NA,NA,NA
"Brineura","Cerliponase alfa","CERLIPONASE ALFA","CHEMBL3544921","ENSG00000166340","Original","BioMarin Pharmaceutical","Tripeptidyl peptidase","Other indication","Tripeptidyl peptidase 1 deficiency (neuronal ceroid lipofuscinosis type 2*)","neuronal ceroid lipofuscinosis 2","MONDO_0008769","Original","Serious",2017,"P, O, B",TRUE,2017,FALSE,FALSE,FALSE
"Brintellix","Vortioxetine","VORTIOXETINE","CHEMBL2104993","ENSG00000178394, ENSG00000108576, ENSG00000166736","Original","Takeda","Serotonin reuptake inhibitor","Other indication","Major depressive disorder","major depressive disorder","MONDO_0002009","Original","Not serious",2013,"S",TRUE,2013,FALSE,FALSE,FALSE
"Briumvi","Ublituximab","Ublituximab","CHEMBL2108354","ENSG00000156738","Original","TG Therapeutics","CD20-targeted mAb","Other indication","Relapsing forms of multiple sclerosis","relapsing-remitting multiple sclerosis","EFO_0003929","Original","Serious",2022,"S",FALSE,2022,FALSE,FALSE,FALSE
"Briviact","Brivaracetam","BRIVARACETAM","CHEMBL607400","ENSG00000159164, ENSG00000144285","Original","UCB","Anticonvulsant with unknown MOA, binds to SV2A","Other indication","Partial-onset seizures","Focal-onset seizure","HP_0007359","Original","Not concordant",2016,"S",TRUE,2016,FALSE,FALSE,FALSE
"Brukinsa","Zanubrutinib","ZANUBRUTINIB","CHEMBL3936761","ENSG00000010671","Original","BeiGene","BTK inhibitor","Oncology","Mantle cell lymphoma","mantle cell lymphoma","EFO_1001469","Original","Serious",2019,"P, O, B, A, F",TRUE,2019,FALSE,FALSE,FALSE
"Byfavo","Remimazolam","REMIMAZOLAM","CHEMBL4297526","ENSG00000102287, ENSG00000163288, ENSG00000186297, ENSG00000145864, ENSG00000113327, ENSG00000011677, ENSG00000094755, ENSG00000163285, ENSG00000151834, ENSG00000109158, ENSG00000268089, ENSG00000187730, ENSG00000182256, ENSG00000022355, ENSG00000145863, ENSG00000166206","Original","Acacia","Benzodiazepine","Other indication","Procedural sedation","sedation","EFO_0009868","Original","Not serious",2020,"S",TRUE,2020,FALSE,TRUE,FALSE
"Bylvay","Odevixibat","Odevixibat","CHEMBL4297588","ENSG00000125255","Original","Albireo","IBAT inhibitor","Other indication","Pruritus in PFIC","familial intrahepatic cholestasis","MONDO_0017290","Original","Serious",2021,"P, O, F",TRUE,2021,FALSE,FALSE,FALSE
"Cabenuva Kit","Cabotegravir; rilpivirine","Cabotegravir; rilpivirine","CHEMBL2403238; CHEMBL175691","NA; NA","Original","ViiV","INSTI and an NNRTI","No human target","HIV-1 infection",NA,NA,"Original",NA,2021,"P, F",NA,NA,NA,NA,NA
"Cablivi","Caplacizumab","CAPLACIZUMAB","CHEMBL2109624","ENSG00000110799","Original","Sanofi/Ablynx","vWF-directed nanobody","Other indication","ATTP","thrombotic thrombocytopenic purpura","MONDO_0018896","Original","Serious",2019,"P, O, F",TRUE,2019,TRUE,FALSE,FALSE
"Calquence","Acalabrutinib","ACALABRUTINIB","CHEMBL3707348","ENSG00000010671","Original","AstraZeneca/Acerta Pharma","BTK inhibitor","Oncology","Mantle cell lymphoma","Mantle cell lymphoma","EFO_1001469","Original","Serious",2017,"P, O, B, A",TRUE,2017,FALSE,FALSE,FALSE
"Camzyos","Mavacamten","Mavacamten","CHEMBL4297517","ENSG00000092054","Original","Bristol Myers Squibb","Cardiac myosin inhibitor","Other indication","Classes of obstructive HCM (Hypertrophic Obstructive Cardiomyopathy)","hypertrophic cardiomyopathy","EFO_0000538","Original","Serious",2022,"S, O, B",TRUE,2022,FALSE,FALSE,FALSE
"Caplyta","Lumateperone","LUMATEPERONE","CHEMBL3306803","ENSG00000102468, ENSG00000108576, ENSG00000149295","Original","Intra-Cellular Therapies","Atypical antipsychotic","Other indication","Schizophrenia","schizophrenia","MONDO_0005090","Original","Not concordant",2019,"S, F",TRUE,2019,FALSE,FALSE,FALSE
"Cerdelga","Eliglustat","ELIGLUSTAT","CHEMBL2110588","ENSG00000148154","Original","Genzyme","Glucosylceramide-synthase inhibitor","Other indication","Gaucher's disease","Gaucher disease","MONDO_0018150","Original","Serious",2014,"P, O",FALSE,2014,FALSE,FALSE,FALSE
"Cholbam","Cholic acid","CHOLIC ACID","CHEMBL205596",NA,"Original","Retrophin","A primary bile acid","No human target","Bile acid synthesis disorders and peroxisomal disorders","peroxisomal disease; Disorder of bile acid synthesis","MONDO_0019053; Orphanet_79168","Original","Serious",2015,"P, O",NA,NA,NA,NA,NA
"Cibinqo","Abrocitinib","Abrocitinib","CHEMBL3655081","ENSG00000162434","Original","Pfizer","JAK inhibitor","Other indication","Atopic dermatitis","atopic eczema, Eczema","EFO_0000274; HP_0000964","Original","Not serious",2022,"P, B",TRUE,2022,TRUE,TRUE,TRUE
"Cinqair","Reslizumab","RESLIZUMAB","CHEMBL2107884","ENSG00000113525","Original","Teva","IL-5 antagonist","Other indication","Serious asthma","Status Asthmaticus","EFO_0008590","Original","Serious",2016,"S",TRUE,2016,FALSE,TRUE,FALSE
"Copiktra","Duvelisib","DUVELISIB","CHEMBL3039502","ENSG00000105851, ENSG00000171608","Original","Verastem","PI3K inhibitor","Oncology","CLL, FL and SLL","chronic lymphocytic leukemia; follicular lymphoma","EFO_0000095; MONDO_0018906","Original","Serious",2018,"P, O, A, F",TRUE,2018,TRUE,TRUE,FALSE
"Copper dotatate Cu-64","Copper dotatate Cu-64","COPPER DOTATATE CU-64","CHEMBL4297339","ENSG00000180616","Original","Radiomedix","Radioactive diagnostic","Other indication","Imaging, cancer","neuroendocrine neoplasm","EFO_1001901","Original","Serious",2020,"P, O, F",TRUE,2020,TRUE,FALSE,FALSE
"Corlanor","Ivabradine","IVABRADINE","CHEMBL471737","ENSG00000138622","Original","Amgen","Hyperpolarization-activated cyclic nucleotide-gated channel blocker","Other indication","Chronic heart failure","congestive heart failure","EFO_0000373","Original","Serious",2015,"P, F",TRUE,2015,FALSE,FALSE,FALSE
"Cosela","Trilaciclib","Trilaciclib","CHEMBL3894860","ENSG00000135446, ENSG00000105810","Original","G1 Therapeutics","CDK4 and CDK6 kinase inhibitor","Oncology","Chemotherapy-induced myelosuppression","myelosuppression; small cell lung carcinoma","EFO_0007053; EFO_0000702","Original","Serious",2021,"P, B",TRUE,2021,FALSE,FALSE,FALSE
"Cosentyx","Secukinumab","SECUKINUMAB","CHEMBL1743068","ENSG00000112115","Original","Novartis","IL-17A antagonist","Other indication","Plaque psoriasis, *psoriatic arthritis, ankylosing spondylitis, along with other joint inflammatory disorders.","psoriasis vulgaris","EFO_1001494","Original","Not serious",2015,"S",FALSE,2015,FALSE,FALSE,FALSE
"Cotellic","Cobimetinib","COBIMETINIB","CHEMBL2146883","ENSG00000126934, ENSG00000169032","Original","Genentech","MEK inhibitor","Oncology","Melanoma with BRAFV600E/K mutations","melanoma","EFO_0000756","Original","Serious",2015,"P, O, F",TRUE,2015,FALSE,FALSE,FALSE
"Cresemba","Isavuconazonium","ISAVUCONAZONIUM","CHEMBL1183349",NA,"Original","Astellas","Azole antifungal","No human target","Antifungal","aspergillosis; mucormycosis","EFO_0007157; EFO_0007380","Original","Serious",2015,"P, O",NA,NA,NA,NA,NA
"Crysvita","Burosumab","BUROSUMAB","CHEMBL3707326","ENSG00000118972","Original","Ultragenyx Pharmaceutical/Kyowa Hakko Kirin","FGF23 antibody","Other indication","X-linked hypophosphataemia","Hypophosphatemia","HP_0002148","Original","Not serious",2018,"P, O, B, F",TRUE,2018,FALSE,FALSE,FALSE
"Cyramza","Ramucirumab","RAMUCIRUMAB","CHEMBL1743062","ENSG00000128052","Original","Eli Lilly","VEGFR2 antagonist","Oncology","Gastric cancer","gastric cancer","MONDO_0001056","Original","Serious",2014,"P, O, F",TRUE,2014,FALSE,FALSE,FALSE
"Cytalux","Pafolacianine","Pafolacianine","CHEMBL4297412","ENSG00000110195","Original","On Target Labs","Fluorescent FR imaging agent","Other indication","Ovarian cancer imaging","ovarian carcinoma","EFO_0001075","Original","Serious",2021,"P, O, F",FALSE,2021,FALSE,FALSE,FALSE
"Daklinza","Daclatasvir","DACLATASVIR","CHEMBL2023898",NA,"Original","Bristol-Myers Squibb","NS5A inhibitor","No human target","HCV","hepatitis C virus infection","EFO_0003047","Original","Serious",2015,"P, F",NA,NA,NA,NA,NA
"Dalvance","Dalbavancin","DALBAVANCIN","CHEMBL3301669",NA,"Original","Durata","Semisynthetic lipoglycopeptide","No human target","ABSSSI (Acute Bacterial Skin and Skin Structure Infections)","staphylococcal skin infections","EFO_1001849","Original","Not serious",2014,"P, F",NA,NA,NA,NA,NA
"Danyelza","Naxitamab","NAXITAMAB","CHEMBL4297984",NA,"Original","Y-mAbs Therapeutics","GD2-directed mAb",NA,"High-risk neuroblastoma","neuroblastoma","EFO_0000621","Original","Serious",2020,"P, O, B, A",NA,NA,NA,NA,NA
"Darzalex","Daratumumab","DARATUMUMAB","CHEMBL1743007","ENSG00000004468","Original","Johnson & Johnson","CD38-directed mAb","Oncology","Multiple myeloma","multiple myeloma","EFO_0001378","Original","Serious",2015,"P, O, B, A, F",TRUE,2015,FALSE,TRUE,FALSE
"Daurismo","Glasdegib","GLASDEGIB","CHEMBL2043437","ENSG00000128602","Original","Pfizer","Hedgehog pathway inhibitor","Oncology","AML","acute myeloid leukemia","EFO_0000222","Original","Serious",2018,"P, O",TRUE,2018,FALSE,FALSE,FALSE
"Daxxify","DaxibotulinumtoxinA","DaxibotulinumtoxinA","CHEMBL3707359","ENSG00000132639","Original","Revance","Botulinum toxin","Other indication","Glabellar lines","Facial wrinkling","HP_0009762","Original","Not serious",2022,"S",FALSE,2022,FALSE,FALSE,FALSE
"Dayvigo","Lemborexant","LEMBOREXANT","CHEMBL3545367","ENSG00000121764, ENSG00000137252","Original","Eisai","Orexin receptor antagonist","Other indication","Insomnia","insomnia","EFO_0004698","Original","Not serious",2019,"S",TRUE,2019,FALSE,TRUE,FALSE
"Defitelio","Defibrotide sodium","DEFIBROTIDE SODIUM","CHEMBL3707226","ENSG00000122194","Original","Gentium","Profibrinolytic","Other indication","Hepatic veno-occlusive disease","hepatic veno-occlusive disease","MONDO_0019514","Original","Serious",2016,"P, O, F",TRUE,2016,FALSE,TRUE,FALSE
"Diacomit","Stiripentol","STIRIPENTOL","CHEMBL1983350","ENSG00000022355","Original","Biocodex","GABA reuptake inhibitor","Other indication","Dravet syndrome","dravet syndrome","Orphanet_33069","Original","Serious",2018,"P, O",TRUE,2018,FALSE,FALSE,FALSE
"Dojolvi","Triheptanoin","TRIHEPTANOIN","CHEMBL4297585",NA,"Original","Ultragenyx","Medium-chain triglyceride","No human target","LC-FAODs","inherited fatty acid metabolism disorder","MONDO_0037858","Original","Serious",2020,"S, O, F",NA,NA,NA,NA,NA
"Doptelet","Avatrombopag","AVATROMBOPAG","CHEMBL2103883","ENSG00000117400","Original","Dova Pharmaceuticals","Thrombopoietin receptor agonist","Other indication","Thrombocytopenia","thrombocytopenia","HP_0001873","Original","Not concordant",2018,"P",TRUE,2018,FALSE,FALSE,FALSE
"Dotarem","Gadoterate meglumine","GADOTERATE MEGLUMINE","CHEMBL2219415",NA,"Original","Guerbet","Gadolinium-based contrast agent","No human target","Contrast agent to visualize disruption of the blood-brain barrier",NA,NA,"Original",NA,2013,"P",NA,NA,NA,NA,NA
