"Brand_name","Drug_name_original","Sponsor","Properties","TA","Indication","Indication_EFO","DiseaseId","Year","has_GE","has_GE_ds","Drug_name","DrugId","targetIds"
"Besremi","Ropeginterferon alfa-2b","Pharmaessentia","PEGylated interferon alpha-2b","Oncology","Polycythaemia vera","polycythemia vera","EFO_0002429",2021,TRUE,TRUE,"Ropeginterferon alfa-2b","CHEMBL4297819","ENSG00000142166, ENSG00000159110"
"Bevyxxa","Betrixaban","Portola Pharmaceuticals","FXa inhibitor","Other","Prophylaxis of venous thromboembolism","venous thromboembolism","EFO_0004286",2017,TRUE,TRUE,"BETRIXABAN","CHEMBL512351","ENSG00000126218"
"Biktarvy","Bictegravir; emtricitabine; tenofovir alafenamide","Gilead Sciences","HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors","Other","HIV","hiv infection","EFO_0000764",2018,NA,NA,"BICTEGRAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE","CHEMBL3989866; CHEMBL885; CHEMBL2107825","NA; NA; NA"
"Blenrep","Belantamab mafodotin","GlaxoSmithKline","BCMA-directed ADC, with microtubule inhibitor","Oncology","Multiple myeloma","multiple myeloma","EFO_0001378",2020,TRUE,TRUE,"BELANTAMAB MAFODOTIN","CHEMBL4298209","ENSG00000048462, ENSG00000152086, ENSG00000167553, ENSG00000188229, ENSG00000137267, ENSG00000176014, ENSG00000261456, ENSG00000127824, ENSG00000123416, ENSG00000137285, ENSG00000258947, ENSG00000167552, ENSG00000198033, ENSG00000196230, ENSG00000104833, ENSG00000101162"
"Blincyto","Blinatumomab","Amgen","CD19- and CD3-bispecific antibody","Oncology","B-ALL","precursor B-cell acute lymphoblastic leukemia","MONDO_0020511",2014,TRUE,TRUE,"BLINATUMOMAB","CHEMBL1742992","ENSG00000177455, ENSG00000160654, ENSG00000167286, ENSG00000198851"
"Braftovi","Encorafenib","Array BioPharma","BRAF inhibitor","Oncology","BRAF-mutated melanoma","melanoma","EFO_0000756",2018,TRUE,TRUE,"ENCORAFENIB","CHEMBL3301612","ENSG00000157764"
"Breo Ellipta","Fluticasone; vilanterol","GSK","Corticosteroid plus LABA","Other","Chronic obstructive pulmonary disease","chronic obstructive pulmonary disease","EFO_0000341",2013,TRUE,TRUE,"FLUTICASONE; VILANTEROL","CHEMBL1473; CHEMBL1198857","ENSG00000113580; ENSG00000169252"
"Brexafemme","Ibrexafungerp","Scynexis","Triterpenoid antifungal","Other","Vulvovaginal candidiasis",NA,NA,2021,NA,NA,"Ibrexafungerp","CHEMBL4297513","NA"
"Bridion","Sugammadex","Merck & Co.","A modified gamma cyclodextrin","Other","Reversal of neuromuscular blockade during surgery","neuromuscular disease","EFO_1001902",2015,NA,NA,"SUGAMMADEX","CHEMBL2111107","NA"
"Brineura","Cerliponase alfa","BioMarin Pharmaceutical","Tripeptidyl peptidase","Other","Tripeptidyl peptidase 1 deficiency (neuronal ceroid lipofuscinosis type 2*)","neuronal ceroid lipofuscinosis 2","MONDO_0008769",2017,TRUE,TRUE,"CERLIPONASE ALFA","CHEMBL3544921","ENSG00000166340"
"Brintellix","Vortioxetine","Takeda","Serotonin reuptake inhibitor","Other","Major depressive disorder","major depressive disorder","MONDO_0002009",2013,TRUE,TRUE,"VORTIOXETINE","CHEMBL2104993","ENSG00000178394, ENSG00000108576, ENSG00000166736"
"Briumvi","Ublituximab","TG Therapeutics","CD20-targeted mAb","Other","Relapsing forms of multiple sclerosis","relapsing-remitting multiple sclerosis","EFO_0003929",2022,FALSE,FALSE,"Ublituximab","CHEMBL2108354","ENSG00000156738"
"Briviact","Brivaracetam","UCB","Anticonvulsant with unknown MOA, binds to SV2A","Other","Partial-onset seizures","Focal-onset seizure","HP_0007359",2016,TRUE,TRUE,"BRIVARACETAM","CHEMBL607400","ENSG00000159164, ENSG00000144285"
"Brukinsa","Zanubrutinib","BeiGene","BTK inhibitor","Oncology","Mantle cell lymphoma","mantle cell lymphoma","EFO_1001469",2019,TRUE,TRUE,"ZANUBRUTINIB","CHEMBL3936761","ENSG00000010671"
"Byfavo","Remimazolam","Acacia","Benzodiazepine","Other","Procedural sedation","sedation","EFO_0009868",2020,TRUE,TRUE,"REMIMAZOLAM","CHEMBL4297526","ENSG00000102287, ENSG00000163288, ENSG00000186297, ENSG00000145864, ENSG00000113327, ENSG00000011677, ENSG00000094755, ENSG00000163285, ENSG00000151834, ENSG00000109158, ENSG00000268089, ENSG00000187730, ENSG00000182256, ENSG00000022355, ENSG00000145863, ENSG00000166206"
"Bylvay","Odevixibat","Albireo","IBAT inhibitor","Other","Pruritus in PFIC","familial intrahepatic cholestasis","MONDO_0017290",2021,TRUE,TRUE,"Odevixibat","CHEMBL4297588","ENSG00000125255"
"Cabenuva Kit","Cabotegravir; rilpivirine","ViiV","INSTI and an NNRTI","Other","HIV-1 infection",NA,NA,2021,NA,NA,"Cabotegravir; rilpivirine","CHEMBL2403238; CHEMBL175691","NA; NA"
"Cablivi","Caplacizumab","Sanofi/Ablynx","vWF-directed nanobody","Other","ATTP","thrombotic thrombocytopenic purpura","MONDO_0018896",2019,TRUE,TRUE,"CAPLACIZUMAB","CHEMBL2109624","ENSG00000110799"
"Calquence","Acalabrutinib","AstraZeneca/Acerta Pharma","BTK inhibitor","Oncology","Mantle cell lymphoma","Mantle cell lymphoma","EFO_1001469",2017,TRUE,TRUE,"ACALABRUTINIB","CHEMBL3707348","ENSG00000010671"
"Camzyos","Mavacamten","Bristol Myers Squibb","Cardiac myosin inhibitor","Other","Classes of obstructive HCM (Hypertrophic Obstructive Cardiomyopathy)","hypertrophic cardiomyopathy","EFO_0000538",2022,TRUE,TRUE,"Mavacamten","CHEMBL4297517","ENSG00000092054"
"Caplyta","Lumateperone","Intra-Cellular Therapies","Atypical antipsychotic","Other","Schizophrenia","schizophrenia","MONDO_0005090",2019,TRUE,TRUE,"LUMATEPERONE","CHEMBL3306803","ENSG00000102468, ENSG00000108576, ENSG00000149295"
"Cerdelga","Eliglustat","Genzyme","Glucosylceramide-synthase inhibitor","Other","Gaucher's disease","Gaucher disease","MONDO_0018150",2014,FALSE,FALSE,"ELIGLUSTAT","CHEMBL2110588","ENSG00000148154"
"Cholbam","Cholic acid","Retrophin","A primary bile acid","Other","Bile acid synthesis disorders and peroxisomal disorders","peroxisomal disease; Disorder of bile acid synthesis","MONDO_0019053; Orphanet_79168",2015,NA,NA,"CHOLIC ACID","CHEMBL205596","NA"
"Cibinqo","Abrocitinib","Pfizer","JAK inhibitor","Other","Atopic dermatitis","atopic eczema, Eczema","EFO_0000274; HP_0000964",2022,TRUE,TRUE,"Abrocitinib","CHEMBL3655081","ENSG00000162434"
"Cinqair","Reslizumab","Teva","IL-5 antagonist","Other","Severe asthma","Status Asthmaticus","EFO_0008590",2016,TRUE,TRUE,"RESLIZUMAB","CHEMBL2107884","ENSG00000113525"
"Copiktra","Duvelisib","Verastem","PI3K inhibitor","Oncology","CLL, FL and SLL","chronic lymphocytic leukemia; follicular lymphoma","EFO_0000095; MONDO_0018906",2018,TRUE,TRUE,"DUVELISIB","CHEMBL3039502","ENSG00000105851, ENSG00000171608"
"Copper dotatate Cu-64","Copper dotatate Cu-64","Radiomedix","Radioactive diagnostic","Other","Imaging, cancer","neuroendocrine neoplasm","EFO_1001901",2020,TRUE,FALSE,"COPPER DOTATATE CU-64","CHEMBL4297339","ENSG00000180616"
"Corlanor","Ivabradine","Amgen","Hyperpolarization-activated cyclic nucleotide-gated channel blocker","Other","Chronic heart failure","congestive heart failure","EFO_0000373",2015,TRUE,TRUE,"IVABRADINE","CHEMBL471737","ENSG00000138622"
"Cosela","Trilaciclib","G1 Therapeutics","CDK4 and CDK6 kinase inhibitor","Oncology","Chemotherapy-induced myelosuppression","myelosuppression; small cell lung carcinoma","EFO_0007053; EFO_0000702",2021,TRUE,TRUE,"Trilaciclib","CHEMBL3894860","ENSG00000135446, ENSG00000105810"
"Cosentyx","Secukinumab","Novartis","IL-17A antagonist","Other","Plaque psoriasis, *psoriatic arthritis, ankylosing spondylitis, along with other joint inflammatory disorders.","psoriasis vulgaris","EFO_1001494",2015,FALSE,FALSE,"SECUKINUMAB","CHEMBL1743068","ENSG00000112115"
"Cotellic","Cobimetinib","Genentech","MEK inhibitor","Oncology","Melanoma with BRAFV600E/K mutations","melanoma","EFO_0000756",2015,TRUE,TRUE,"COBIMETINIB","CHEMBL2146883","ENSG00000126934, ENSG00000169032"
"Cresemba","Isavuconazonium","Astellas","Azole antifungal","Other","Antifungal","aspergillosis; mucormycosis","EFO_0007157; EFO_0007380",2015,NA,NA,"ISAVUCONAZONIUM","CHEMBL1183349","NA"
"Crysvita","Burosumab","Ultragenyx Pharmaceutical/Kyowa Hakko Kirin","FGF23 antibody","Other","X-linked hypophosphataemia","Hypophosphatemia","HP_0002148",2018,TRUE,TRUE,"BUROSUMAB","CHEMBL3707326","ENSG00000118972"
"Cyramza","Ramucirumab","Eli Lilly","VEGFR2 antagonist","Oncology","Gastric cancer","gastric cancer","MONDO_0001056",2014,TRUE,TRUE,"RAMUCIRUMAB","CHEMBL1743062","ENSG00000128052"
"Cytalux","Pafolacianine","On Target Labs","Fluorescent FR imaging agent","Other","Ovarian cancer imaging","ovarian carcinoma","EFO_0001075",2021,FALSE,FALSE,"Pafolacianine","CHEMBL4297412","ENSG00000110195"
"Daklinza","Daclatasvir","Bristol-Myers Squibb","NS5A inhibitor","Other","HCV","hepatitis C virus infection","EFO_0003047",2015,NA,NA,"DACLATASVIR","CHEMBL2023898","NA"
"Dalvance","Dalbavancin","Durata","Semisynthetic lipoglycopeptide","Other","ABSSSI (Acute Bacterial Skin and Skin Structure Infections)","staphylococcal skin infections","EFO_1001849",2014,NA,NA,"DALBAVANCIN","CHEMBL3301669","NA"
"Danyelza","Naxitamab","Y-mAbs Therapeutics","GD2-directed mAb","Oncology","High-risk neuroblastoma","neuroblastoma","EFO_0000621",2020,NA,NA,"NAXITAMAB","CHEMBL4297984","NA"
"Darzalex","Daratumumab","Johnson & Johnson","CD38-directed mAb","Oncology","Multiple myeloma","multiple myeloma","EFO_0001378",2015,TRUE,TRUE,"DARATUMUMAB","CHEMBL1743007","ENSG00000004468"
"Daurismo","Glasdegib","Pfizer","Hedgehog pathway inhibitor","Oncology","AML",NA,"EFO_0000222",2018,TRUE,TRUE,"GLASDEGIB","CHEMBL2043437","ENSG00000128602"
"Daxxify","DaxibotulinumtoxinA","Revance","Botulinum toxin","Other","Glabellar lines","Facial wrinkling","HP_0009762",2022,FALSE,FALSE,"DaxibotulinumtoxinA","CHEMBL3707359","ENSG00000132639"
"Dayvigo","Lemborexant","Eisai","Orexin receptor antagonist","Other","Insomnia","insomnia","EFO_0004698",2019,TRUE,TRUE,"LEMBOREXANT","CHEMBL3545367","ENSG00000121764, ENSG00000137252"
"Defitelio","Defibrotide sodium","Gentium","Profibrinolytic","Other","Hepatic veno-occlusive disease","hepatic veno-occlusive disease","MONDO_0019514",2016,TRUE,TRUE,"DEFIBROTIDE SODIUM","CHEMBL3707226","ENSG00000122194"
"Diacomit","Stiripentol","Biocodex","GABA reuptake inhibitor","Other","Dravet syndrome","dravet syndrome","Orphanet_33069",2018,TRUE,TRUE,"STIRIPENTOL","CHEMBL1983350","ENSG00000022355"
"Dojolvi","Triheptanoin","Ultragenyx","Medium-chain triglyceride","Other","LC-FAODs","inherited fatty acid metabolism disorder","MONDO_0037858",2020,NA,NA,"TRIHEPTANOIN","CHEMBL4297585","NA"
"Doptelet","Avatrombopag","Dova Pharmaceuticals","Thrombopoietin receptor agonist","Other","Thrombocytopenia","thrombocytopenia","HP_0001873",2018,TRUE,TRUE,"AVATROMBOPAG","CHEMBL2103883","ENSG00000117400"
"Dotarem","Gadoterate meglumine","Guerbet","Gadolinium-based contrast agent","Other","Contrast agent to visualize disruption of the blood-brain barrier",NA,NA,2013,NA,NA,"GADOTERATE MEGLUMINE","CHEMBL2219415","NA"
"Duavee","Bazedoxifene acetate; oestrogens","Pfizer","Conjugated oestrogens with an oestrogen receptor modulator","Other","Moderate to severe vasomotor symptoms associated with menopause and prevention of postmenopausal osteoporosis","menopause; postmenopausal osteoporosis","EFO_0003922; EFO_0003854",2013,TRUE,TRUE,"BAZEDOXIFENE ACETATE; ESTROGENS, CONJUGATED","CHEMBL2106615; CHEMBL1201649","ENSG00000091831, ENSG00000140009; ENSG00000140009, ENSG00000091831"
"Dupixent","Dupilumab","Regeneron/Sanofi","IL-4Ralpha antagonist","Other","Atopic dermatitis","atopic eczema","EFO_0000274",2017,TRUE,TRUE,"DUPILUMAB","CHEMBL2108675","ENSG00000077238"
"Ebanga","Ansuvimab","Ridgeback","Ebola glycoprotein-directed mAb","Other","Ebola virus","Ebola hemorrhagic fever","EFO_0007243",2020,NA,NA,"ANSUVIMAB","CHEMBL4594388","NA"
"Egaten","Triclabendazole","Novartis","Anthelmintic","Other","Fascioliasis","fascioliasis","EFO_1001324",2019,NA,NA,"TRICLABENDAZOLE","CHEMBL1086440","NA"
"Elahere","Mirvetuximab soravtansine","ImmunoGen","FR_-targeted antibody-drug conjugate","Oncology","Ovarian cancer","ovarian carcinoma","EFO_0001075",2022,TRUE,TRUE,"Mirvetuximab soravtansine","CHEMBL3545132","ENSG00000110195, ENSG00000127824, ENSG00000152086, ENSG00000261456, ENSG00000101162, ENSG00000188229, ENSG00000104833, ENSG00000258947, ENSG00000123416, ENSG00000198033, ENSG00000167553, ENSG00000137285, ENSG00000167552, ENSG00000176014, ENSG00000137267, ENSG00000196230"
"Elucirem","Gadopiclenol","Guerbet","Gadolinium-based contrast agent","Other","Lesions with abnormal vascularity",NA,NA,2022,NA,NA,"Gadopiclenol","CHEMBL4297634","NA"
"Elzonris","Tagraxofusp","Stemline Therapeutics","IL-3 and diphtheria toxin fusion protein","Oncology","Blastic plasmacytoid dendritic cell neoplasm","blastic plasmacytoid dendritic cell neoplasm","EFO_0010580",2018,FALSE,FALSE,"TAGRAXOFUSP","CHEMBL4297573","ENSG00000167658, ENSG00000185291"
"Emflaza","Deflazacort","PTC Therapeutics","Corticosteroid","Other","Duchenne muscular dystrophy","Duchenne muscular dystrophy","MONDO_0010679",2017,FALSE,FALSE,"DEFLAZACORT","CHEMBL1201891","ENSG00000113580"
"Emgality","Galcanezumab","Eli Lilly","CGRP antibody","Other","Migraine","migraine disorder","MONDO_0005277",2018,TRUE,TRUE,"GALCANEZUMAB","CHEMBL3707328","ENSG00000175868, ENSG00000110680"
"Empaveli","Pegcetacoplan","Apellis","Complement protein C3 inhibitor","Other","PNH","paroxysmal nocturnal hemoglobinuria","MONDO_0100244",2021,TRUE,TRUE,"Pegcetacoplan","CHEMBL4298211","ENSG00000125730"
"Empliciti","Elotuzumab","Bristol-Myers Squibb","SLAMF7-directed mAb","Oncology","Multiple myeloma","multiple myeloma","EFO_0001378",2015,TRUE,TRUE,"ELOTUZUMAB","CHEMBL1743010","ENSG00000026751"
"Enhertu","Trastuzumab deruxtecan","Daiichi Sankyo/AstraZeneca","HER2-directed ADC","Oncology","HER2-positive breast cancer","HER2 Positive Breast Carcinoma","EFO_1000294",2019,TRUE,TRUE,"TRASTUZUMAB DERUXTECAN","CHEMBL4297844","ENSG00000141736, ENSG00000198900"
"Enjaymo","Sutimlimab","Bioverativ","C1s-targeted mAb","Other","RBC transfusion due to haemolysis in CAD (cold agglutinin disease)","Anemia, Hemolytic, Autoimmune","EFO_1001264",2022,FALSE,FALSE,"Sutimlimab","CHEMBL4297832","ENSG00000182326"
"Enspryng","Satralizumab","Roche/Genentech","IL-6R-directed mAb","Other","NMOSD","neuromyelitis optica","EFO_0004256",2020,TRUE,TRUE,"SATRALIZUMAB","CHEMBL3833307","ENSG00000160712, ENSG00000134352"
"Entresto","Sacubitril; valsartan","Novartis","A neprilysin inhibitor plus an angiotensin II receptor blocker","Other","Chronic heart failure","congestive heart failure","EFO_0000373",2015,TRUE,TRUE,"SACUBITRIL; VALSARTAN","CHEMBL3137301; CHEMBL1069","ENSG00000196549; ENSG00000144891"
"Entyvio","Vedolizumab","Takeda","Integrin-receptor antagonist","Other","Ulcerative colitis and Crohn's disease","ulcerative colitis; Crohn's disease","EFO_0000729; EFO_0000384",2014,TRUE,TRUE,"VEDOLIZUMAB","CHEMBL1743087","ENSG00000115232, ENSG00000139626"
"Epclusa","Sofosbuvir; velpatasvir","Gilead Sciences","A nucleotide analogue NS5B polymerase inhibitor plus an HCV NS5A inhibitor","Other","genotype 1, 2, 3 or 4 chronic hepatitis C virus (HCV)","hepatitis C virus infection","EFO_0003047",2016,NA,NA,"SOFOSBUVIR; VELPATASVIR","CHEMBL1259059; CHEMBL3545062","NA; NA"
"Epidiolex","Cannabidiol","GW Pharmaceuticals","Cannabinoid","Other","Dravet syndrome and Lennox-Gastaut syndrome","Dravet syndrome; Lennox-Gastaut syndrome","Orphanet_33069; MONDO_0016532",2018,TRUE,TRUE,"CANNABIDIOL","CHEMBL190461","ENSG00000118432"
"Erleada","Apalutamide","Johnson & Johnson","Androgen receptor inhibitor","Oncology","Prostate cancer","prostate cancer","MONDO_0008315",2018,TRUE,TRUE,"APALUTAMIDE","CHEMBL3183409","ENSG00000169083"
