"","_1","Drug_name","Brand_name_3","DrugId","Brand_name_5","Sponsor","Properties","Indication","Indication_EFO","DiseaseId","TA","Year","id"
"22",19,"ELVITEGRAVIR","Stribild",NA,NA,NA,"Cytochrome P450 inhibitor; HIV-1 integrase inhibitor; NRTI; acyclic nucleoside phosphonate analogue","HIV-1 infection","EFO_0000180","hiv-1 infection",NA,2012,"CHEMBL204656"
"23",19,"EMTRICITABINE","Stribild",NA,NA,NA,"Cytochrome P450 inhibitor; HIV-1 integrase inhibitor; NRTI; acyclic nucleoside phosphonate analogue","HIV-1 infection","EFO_0000180","hiv-1 infection",NA,2012,"CHEMBL885"
"24",19,"TENOFOVIR DISOPROXIL FUMARATE","Stribild",NA,NA,NA,"Cytochrome P450 inhibitor; HIV-1 integrase inhibitor; NRTI; acyclic nucleoside phosphonate analogue","HIV-1 infection","EFO_0000180","hiv-1 infection",NA,2012,"CHEMBL1486"
"25",20,"TBO-FILGRASTIM","Neutroval",NA,NA,NA,"Methionyl human G-CSF","Severe neutropaenia in patients with non-myeloid malignancies",NA,NA,NA,2012,NA
"26",21,"LINACLOTIDE","Linzess",NA,NA,NA,"Guanylyl cyclase C agonist","Irritable bowel syndrome with constipation; chronic idiopathic constipation",NA,NA,NA,2012,"CHEMBL3301675"
"27",22,"ENZALUTAMIDE","Xtandi",NA,NA,NA,"Androgen receptor inhibitor","Metastatic castration-resistant prostate cancer",NA,NA,NA,2012,"CHEMBL1082407"
"28",23,"BOSUTINIB MONOHYDRATE","Bosulif",NA,NA,NA,"BCR–ABL inhibitor; SRC family kinase inhibitor","Chronic, accelerated or blast phase Ph+ chronic myelogenous leukaemia",NA,NA,NA,2012,NA
"29",24,"TERIFLUNOMIDE","Aubagio",NA,NA,NA,"Dihydroorotate dehydrogenase inhibitor","Relapsing forms of multiple sclerosis",NA,NA,NA,2012,"CHEMBL973"
"30",25,"CHOLINE C-11",NA,NA,NA,NA,"Radiolabelled choline analogue","Diagnostic agent for imaging of patients with suspected prostate cancer recurrence",NA,NA,NA,2012,"CHEMBL2095207"
"31",26,"REGORAFENIB","Stivarga",NA,NA,NA,"Multikinase inhibitor with targets including RET, VEGFR1, -2, -3 and KIT","Metastatic colorectal cancer","EFO_1001480","metastatic colorectal cancer",NA,2012,"CHEMBL1946170"
"32",27,"OCRIPLASMIN","Jetrea",NA,NA,NA,"Recombinant truncated form of human plasmin","Symptomatic vitreomacular adhesion",NA,NA,NA,2012,"CHEMBL2095222"
"33",28,"PERAMPANEL","Fycompa",NA,NA,NA,"Non-competitive ionotropic AMPA glutamate receptor antagonist","Partial-onset seizures in patients with epilepsy",NA,NA,NA,2012,"CHEMBL1214124"
"34",29,"OMACETAXINE MEPESUCCINATE","Synribo",NA,NA,NA,"MOA unknown","Chronic or accelerated-phase chronic myeloid leukaemia",NA,NA,NA,2012,"CHEMBL46286"
"35",30,"TOFACITINIB","Xeljanz",NA,NA,NA,"JAK inhibitor","Severely active rheumatoid arthritis",NA,NA,NA,2012,"CHEMBL221959"
"36",31,"CABOZANTINIB","Cometriq",NA,NA,NA,"Multikinase inhibitor with targets including RET, MET, VEGFR1, -2, -3, KIT and FLT3","Progressive, metastatic medullary thyroid cancer",NA,NA,NA,2012,"CHEMBL2105717"
"37",32,"PONATINIB","Iclusig",NA,NA,NA,"Multikinase inhibitor with targets including Bcr–Abl, KIT, RET and FLT3","Chronic, accelerated or blast-phase chronic myeloid leukaemia",NA,NA,NA,2012,"CHEMBL1171837"
"38",33,"PASIREOTIDE DIASPARTATE","Signifor",NA,NA,NA,"Somatostatin analogue","Cushing's disease",NA,NA,NA,2012,"CHEMBL3039588"
"39",34,"RAXIBACUMAB",NA,NA,NA,NA,"Human mAb against Bacillus anthracis toxin","Anthrax","EFO_0000778","anthrax infection",NA,2012,"CHEMBL2108638"
"40",35,"TEDUGLUTIDE","Gattex",NA,NA,NA,"GLP2 analogue","Short bowel syndrome","MONDO_0015183","short bowel syndrome",NA,2012,"CHEMBL2104987"
"41",36,"LOMITAPIDE","Juxtapid",NA,NA,NA,"Microsomal triglyceride transfer protein inhibitor","Homozygous familial hypercholesterolaemia",NA,NA,NA,2012,"CHEMBL354541"
"42",37,"APIXABAN","Eliquis",NA,NA,NA,"Factor Xa inhibitor","Stroke and systemic embolism in patients with non-valvular atrial fibrillation",NA,NA,NA,2012,"CHEMBL231779"
"43",38,"BEDAQUILINE","Sirturo",NA,NA,NA,"Diarylquinoline antimycobacterial","Pulmonary multidrug-resistant tuberculosis",NA,NA,NA,2012,"CHEMBL376488"
"44",39,"CROFELEMER","Fulyzaq",NA,NA,NA,"CFTR and CaCC channel inhibitors","HIV-associated diarrhoea",NA,NA,NA,2012,"CHEMBL2108184"
