Brand_name,Drug_name_original,Drug_name,Sponsor,DrugId,Properties,Indication,Indication_EFO,DiseaseId,TA,Review_type,Year
Pretomanid,Pretomanid,PRETOMANID,Pfizer/Mylan,CHEMBL227875,Antimycobacterial,Tuberculosis,tuberculosis,MONDO_0018076,Infectious,"P, O",2019
Rozlytrek,Entrectinib,ENTRECTINIB,Roche,CHEMBL1983268,"TRKA, TRKB, TRKC, ROS1 and ALK inhibitor",NTRK fusion-positive solid tumours and ROS1-positive NSCLC,non-small cell lung carcinoma,EFO_0003060,Oncology,"P, O, B, A",2019
Rinvoq,Upadacitinib,UPADACITINIB,AbbVie,CHEMBL3622821,JAK inhibitor,Rheumatoid arthritis,rheumatoid arthritis,EFO_0000685,Immunology,S,2019
Inrebic,Fedratinib,FEDRATINIB,Celgene/BMS,CHEMBL1287853,JAK2 and FLT3 inhibitor,Myelofibrosis,myelofibrosis,MONDO_0044903,Hematology,"P, O",2019
Xenleta,Lefamulin,LEFAMULIN,Nabriva,CHEMBL3291398,Pleuromutilin antibacterial,CABP,bacterial pneumonia,EFO_1001272,Respiratory,P,2019
Gallium dotatoc Ga-68,Gallium dotatoc Ga-68,GALLIUM DOTATOC GA-68,UIHC PET Imaging Center,CHEMBL4297340,Radioactive diagnostic,Localization of somatostatin receptor-positive neuroendocrine tumours,neuroendocrine neoplasm,EFO_1001901,Oncology,"S, O",2019
Nourianz,Istradefylline,ISTRADEFYLLINE,Kyowa Kirin,CHEMBL431770,Adenosine receptor antagonist,Parkinson disease episodes,Parkinson disease,MONDO_0005180,Neurological,S,2019
Ibsrela,Tenapanor,TENAPANOR,Ardelyx,CHEMBL3304485,NHE3 inhibitor,IBS with constipation,irritable bowel syndrome,EFO_0000555,Gastrointestinal,S,2019
Aklief,Trifarotene,TRIFAROTENE,Galderma,CHEMBL3707313,Retinoic acid receptor agonist,Acne vulgaris,acne,EFO_0003894,Dermatology,S,2019
Beovu,Brolucizumab,BROLUCIZUMAB,Novartis,CHEMBL3707357,VEGF inhibitor,Wet age-related macular degeneration,macular degeneration,EFO_0009606,Ophthalmology,S,2019
Scenesse,Afamelanotide,AFAMELANOTIDE,Clinuvel,CHEMBL441738,Melanocortin 1 receptor agonist,Erythropoietic protoporphyria,erythropoietic protoporphyria,MONDO_0001676,Dermatology,"P, O",2019
Fluorodopa F-18,Fluorodopa F-18,FLUORODOPA F-18,Feinstein Institutes,CHEMBL3400972,Radioactive diagnostic,Diagnosis of parkinsonian syndromes,Parkinson disease,MONDO_0005180,Neurological,S,2019
Reyvow,Lasmiditan,LASMIDITAN,Eli Lilly,CHEMBL3039520,Serotonin (5-HT) 1F receptor agonist,Migraine with or without aura,migraine disorder,MONDO_0005277,Neurological,S,2019
Trikafta,Tezacaftor; elexacaftor; ivacaftor,TEZACAFTOR,Vertex,CHEMBL3544914,Two CFTR correctors and a CFTR potentiator,Most common gene mutation that causes cystic fibrosis,cystic fibrosis,MONDO_0009061,Metabolic,"P, O, B",2019
Trikafta,Tezacaftor; elexacaftor; ivacaftor,ELEXACAFTOR,Vertex,CHEMBL4298128,Two CFTR correctors and a CFTR potentiator,Most common gene mutation that causes cystic fibrosis,cystic fibrosis,MONDO_0009061,Metabolic,"P, O, B",2019
Trikafta,Tezacaftor; elexacaftor; ivacaftor,IVACAFTOR,Vertex,CHEMBL2010601,Two CFTR correctors and a CFTR potentiator,Most common gene mutation that causes cystic fibrosis,cystic fibrosis,MONDO_0009061,Metabolic,"P, O, B",2019
ExEm Foam,Air polymer-type A,AIR POLYMER-TYPE A,Giskit,CHEMBL4594264,Ultrasound contrast agent,Assess fallopian tube patency in women with known or suspected infertility,infertility,EFO_0000545,Other,S,2019
Reblozyl,Luspatercept,LUSPATERCEPT,Celgene/BMS,CHEMBL3039545,Erythroid maturation agent,Anaemia in beta-thalassaemia,beta thalassemia; anemia,MONDO_0019402; MONDO_0002280,Hematology,"P, O",2019
Fetroja,Cefiderocol,CEFIDEROCOL,Shionogi,CHEMBL3989974,Cephalosporin antibacterial,Complicated urinary tract infections,urinary tract infection,EFO_0003103,Infectious,P,2019
Brukinsa,Zanubrutinib,ZANUBRUTINIB,BeiGene,CHEMBL3936761,BTK inhibitor,Mantle cell lymphoma,mantle cell lymphoma,EFO_1001469,Oncology,"P, O, B, A",2019
Adakveo,Crizanlizumab,CRIZANLIZUMAB,Novartis,CHEMBL4297734,P-selectin blocker,Painful complications of SCD,sickle cell disease and related diseases,MONDO_0017146,Hematology,"P, O, B",2019
Givlaari,Givosiran,GIVOSIRAN,Alnylam,CHEMBL4297760,ALAS1-directed siRNA,Acute hepatic porphyria,acute hepatic porphyria,Orphanet_95157,Metabolic,"P, O, B",2019
Xcopri,Cenobamate,CENOBAMATE,SK Life Science,CHEMBL3989949,Unknown,Partial onset seizures,seizure,HP_0001250,Neurological,S,2019
Oxbryta,Voxelotor,VOXELOTOR,Global Blood Therapeutics,CHEMBL4101807,Haemoglobin S polymerization inhibitor,SCD (sickle cell disease),sickle cell anemia,MONDO_0011382,Hematology,"P, O, B, A",2019
Vyondys 53,Golodirsen,GOLODIRSEN,Sarepta,CHEMBL4297762,Exon 53 skipping antisense,Duchenne muscular dystrophy,duchenne muscular dystrophy,MONDO_0010679,Neurological,"P, O, A",2019
Padcev,Enfortumab vedotin,ENFORTUMAB VEDOTIN,Astellas,CHEMBL3301589,Nectin-4-directed ADC,Urothelial cancers,urothelial neoplasm,MONDO_0024337,Oncology,"P, B, A",2019
Tissueblue,Brilliant Blue G,BRILLIANT BLUE G,Dutch Ophthalmic Research,CHEMBL4173394,Brilliant Blue G dye,Staining the internal limiting membrane,NA,NA,Other,"P, O",2019
Dayvigo,Lemborexant,LEMBOREXANT,Eisai,CHEMBL3545367,Orexin receptor antagonist,Insomnia,insomnia,EFO_0004698,Neurological,S,2019
Enhertu,Trastuzumab deruxtecan,TRASTUZUMAB DERUXTECAN,Daiichi Sankyo/AstraZeneca,CHEMBL4297844,HER2-directed ADC,HER2-positive breast cancer,HER2 Positive Breast Carcinoma,EFO_1000294,Oncology,"P, B, A",2019
Caplyta,Lumateperone,LUMATEPERONE,Intra-Cellular Therapies,CHEMBL3306803,Atypical antipsychotic,Schizophrenia,schizophrenia,MONDO_0005090,Neurological,S,2019
Ubrelvy,Ubrogepant,UBROGEPANT,Allergan,CHEMBL2364638,CGRP receptor antagonist,Migraine with or without aura,migraine disorder,MONDO_0005277,Neurological,S,2019
Ayvakit,Avapritinib,AVAPRITINIB,Blueprint Medicines,CHEMBL4204794,"PDGFRA, PDGFRA mutants and KIT kinase inhibitor",GIST with PDGFRA exon 18 mutations,gastrointestinal stromal tumor,MONDO_0011719,Oncology,,2020
Tepezza,Teprotumumab,TEPROTUMUMAB,Horizon Therapeutics,CHEMBL1743079,IGF1R-directed mAb,Thyroid eye disease,Graves disease,EFO_0004237,Ophthalmology,,2020
Tazverik,Tazemetostat,TAZEMETOSTAT,Epizyme,CHEMBL3414621,EZH2 inhibitor,Epithelioid sarcoma,epithelioid sarcoma,MONDO_0017387,Oncology,,2020
Pizensy,Lactitol,LACTITOL,Braintree Labs,CHEMBL1661,Osmotic laxative,Chronic idiopathic constipation,Chronic constipation,HP_0012450,Other,,2020
Vyepti,Eptinezumab,EPTINEZUMAB,Lundbeck,CHEMBL3833320,CGRP-directed mAb,Migraine,migraine disorder,MONDO_0005277,Other,,2020
Nexletol,Bempedoic acid,BEMPEDOIC ACID,Esperion Therapeutics,CHEMBL3545313,ACL inhibitor,HeFH or atherosclerotic cardiovascular disease,atherosclerosis; familial hypercholesterolemia,EFO_0003914; EFO_0004911,Cardiovascular,,2020
Barhemsys,Amisulpride,AMISULPRIDE,Acacia,CHEMBL243712,Dopamine receptors D2 & D3 antagonist,Nausea and vomiting after surgery,Nausea and vomiting,HP_0002017,Other,,2020
Nurtec ODT,Rimegepant,RIMEGEPANT,Biohaven,CHEMBL2178422,CGRP receptor antagonist,Migraine,migraine disorder,MONDO_0005277,Other,,2020
Sarclisa,Isatuximab,ISATUXIMAB,Sanofi,CHEMBL3545131,CD38-directed mAb,Multiple myeloma,multiple myeloma,EFO_0001378,Oncology,,2020
Isturisa,Osilodrostat,OSILODROSTAT,Recordati Rare Diseases,CHEMBL3099695,Cortisol synthesis inhibitor,Cushing disease,Cushing syndrome,EFO_0003099,Endocrine,,2020
Zeposia,Ozanimod,OZANIMOD,Celgene/Bristol Myers Squibb,CHEMBL3707247,S1P receptor modulator,Multiple sclerosis,multiple sclerosis,MONDO_0005301,Other,,2020
Koselugo,Selumetinib,SELUMETINIB,AstraZeneca,CHEMBL1614701,MEK1/2 kinase inhibitor,Neurofibromatosis type 1,neurofibromatosis type 1,MONDO_0018975,Other,,2020
Tukysa,Tucatinib,TUCATINIB,Seagen,CHEMBL3989868,HER2 kinase inhibitor,HER2-positive breast cancer,HER2 Positive Breast Carcinoma,EFO_1000294,Oncology,,2020
Pemazyre,Pemigatinib,PEMIGATINIB,Incyte,CHEMBL4297522,FGFR1-3 kinase inhibitor,Cholangiocarcinoma,cholangiocarcinoma,EFO_0005221,Oncology,,2020
