"brandDrugName","originalDrugName","drugName","drugId","sponsor","properties","therapeuticArea","indication","diseaseName","diseaseIds","diseaseClass","reviewType","yearApproval","OriginalDrugId","targetIds","interactorIds","relatedIds"
"Entyvio","Vedolizumab","VEDOLIZUMAB","CHEMBL1743087","Takeda","Integrin-receptor antagonist","Other indication","Ulcerative colitis and Crohn's disease","ulcerative colitis; Crohn's disease","EFO_0000384,EFO_0000729","Serious","P,F","2014","CHEMBL1743087","ENSG00000115232,ENSG00000139626","ENSG00000115414,ENSG00000144366,ENSG00000111077,ENSG00000150093,ENSG00000159788,ENSG00000254087,ENSG00000121653,ENSG00000162692,ENSG00000185046,ENSG00000011454,ENSG00000136754,ENSG00000151491,ENSG00000139626,ENSG00000196924,ENSG00000089159,ENSG00000115232","NA"
"Epclusa","Sofosbuvir, velpatasvir","SOFOSBUVIR,VELPATASVIR","CHEMBL1259059,CHEMBL3545062","Gilead Sciences","A nucleotide analogue NS5B polymerase inhibitor plus an HCV NS5A inhibitor","No human target","genotype 1, 2, 3 or 4 chronic hepatitis C virus (HCV)","hepatitis C virus infection","EFO_0003047","Serious","P,B,F","2016","CHEMBL1259059,CHEMBL3545062","NA","NA","NA"
"Epidiolex","Cannabidiol","CANNABIDIOL","CHEMBL190461","GW Pharmaceuticals","Cannabinoid","Other indication","Dravet syndrome and Lennox-Gastaut syndrome","Dravet syndrome; Lennox-Gastaut syndrome","MONDO_0016532,Orphanet_33069","Serious","P,O,F","2018","CHEMBL190461","ENSG00000118432","ENSG00000102468,ENSG00000118432,ENSG00000149295,ENSG00000128271,ENSG00000188822","MONDO_0020072"
"Erleada","Apalutamide","APALUTAMIDE","CHEMBL3183409","Johnson & Johnson","Androgen receptor inhibitor","Oncology","Prostate cancer","prostate cancer","MONDO_0008315","Serious","P,F","2018","CHEMBL3183409","ENSG00000169083","ENSG00000000938,ENSG00000012817,ENSG00000013561,ENSG00000110092,ENSG00000117450,ENSG00000125686,ENSG00000132437,ENSG00000145675,ENSG00000163565,ENSG00000164190,ENSG00000167548,ENSG00000168036,ENSG00000169291,ENSG00000176105,ENSG00000183918,ENSG00000197122,ENSG00000198646,ENSG00000010671,ENSG00000035720,ENSG00000107338,ENSG00000131746,ENSG00000134954,ENSG00000140396,ENSG00000185634,ENSG00000196684,ENSG00000197943,ENSG00000254087,ENSG00000079308,ENSG00000095585,ENSG00000115641,ENSG00000116030,ENSG00000124151,ENSG00000130522,ENSG00000136826,ENSG00000141867,ENSG00000160293,ENSG00000165025,ENSG00000165458,ENSG00000170365,ENSG00000171988,ENSG00000177885,ENSG00000178028,ENSG00000179295,ENSG00000182866,ENSG00000184557,ENSG00000100351,ENSG00000101213,ENSG00000106462,ENSG00000136504,ENSG00000141027,ENSG00000145715,ENSG00000157554,ENSG00000160691,ENSG00000169083,ENSG00000097007,ENSG00000101336,ENSG00000109685,ENSG00000111837,ENSG00000116288,ENSG00000141738,ENSG00000141968,ENSG00000148180,ENSG00000167193,ENSG00000184634,ENSG00000253729,ENSG00000266412,ENSG00000005339,ENSG00000084676,ENSG00000089280,ENSG00000118058,ENSG00000129514,ENSG00000129691,ENSG00000159388,ENSG00000170677,ENSG00000178585,ENSG00000004478,ENSG00000007264,ENSG00000068024,ENSG00000095370,ENSG00000124181,ENSG00000134215,ENSG00000160973,ENSG00000170734,ENSG00000182511,ENSG00000198574,ENSG00000204209,ENSG00000027869,ENSG00000105647,ENSG00000117461,ENSG00000136573,ENSG00000142515,ENSG00000143322,ENSG00000148082,ENSG00000172977,ENSG00000175215,ENSG00000196363,ENSG00000127870","NA"
"Esbriet","Pirfenidone","PIRFENIDONE","CHEMBL1256391","InterMune","MOA unknown","No human target","IPF (idiopathic pulmonary fibrosis)","idiopathic pulmonary fibrosis","EFO_0000768","Serious","P,O,B,F","2014","CHEMBL1256391","NA","NA","NA"
"Eucrisa","Crisaborole","CRISABOROLE","CHEMBL484785","Pfizer/Anacor Pharmaceuticals","PDE4 inhibitor","Other indication","Atopic dermatitis","atopic eczema","EFO_0000274","Not serious","S","2016","CHEMBL484785","ENSG00000184588,ENSG00000105650,ENSG00000065989,ENSG00000113448","NA,ENSG00000005102,ENSG00000075142,ENSG00000114395,ENSG00000138794,ENSG00000145358,ENSG00000213809,ENSG00000123240,ENSG00000175676,ENSG00000171509,ENSG00000097033,ENSG00000121058,ENSG00000153684,ENSG00000158571,ENSG00000005893,ENSG00000106511,ENSG00000140961,ENSG00000007372,ENSG00000056558,ENSG00000141480,ENSG00000186908,ENSG00000063515,ENSG00000169548,ENSG00000183629,ENSG00000196504,ENSG00000197172","MONDO_0002406,HP_0000964"
"Evenity","Romosozumab","ROMOSOZUMAB","CHEMBL2107874","Amgen","Sclerostin inhibitor","Other indication","Osteoporosis","osteoporosis","EFO_0003882","Not serious","S","2019","CHEMBL2107874","ENSG00000167941","ENSG00000134569,ENSG00000162337,ENSG00000175895,ENSG00000070018","NA"
"Evkeeza","Evinacumab","Evinacumab","CHEMBL3545191","Regeneron","ANGPTL3-targeted mAb","Other indication","HoFH","homozygous familial hypercholesterolemia","MONDO_0018328","Serious","P,O,B","2021","CHEMBL3545191","ENSG00000132855","ENSG00000175445","EFO_0004611"
"Evrysdi","Risdiplam","RISDIPLAM","CHEMBL4297528","Roche/Genentech","SMN2 splicing modifier","Other indication","Spinal muscular atrophy","spinal muscular atrophy","EFO_0008525","Serious","P,O,F","2020","CHEMBL4297528","ENSG00000205571","ENSG00000113790,ENSG00000123892,ENSG00000125531,ENSG00000126945,ENSG00000171055,ENSG00000183640,ENSG00000186925,ENSG00000204410,ENSG00000064703,ENSG00000079805,ENSG00000109534,ENSG00000112578,ENSG00000138398,ENSG00000142252,ENSG00000149089,ENSG00000160679,ENSG00000163517,ENSG00000172336,ENSG00000179409,ENSG00000185386,ENSG00000186930,ENSG00000186977,ENSG00000205302,ENSG00000125835,ENSG00000160948,ENSG00000179222,ENSG00000186451,ENSG00000187191,ENSG00000092208,ENSG00000102471,ENSG00000104381,ENSG00000105202,ENSG00000108424,ENSG00000108590,ENSG00000132591,ENSG00000137463,ENSG00000143889,ENSG00000152147,ENSG00000167037,ENSG00000177138,ENSG00000180098,ENSG00000181222,ENSG00000010810,ENSG00000033800,ENSG00000087365,ENSG00000089280,ENSG00000100462,ENSG00000134996,ENSG00000139343,ENSG00000140009,ENSG00000144711,ENSG00000175899,ENSG00000197386,ENSG00000197442,ENSG00000240432,ENSG00000244362,ENSG00000082516,ENSG00000099956,ENSG00000105323,ENSG00000109103,ENSG00000121058,ENSG00000136379,ENSG00000169057,ENSG00000176108,ENSG00000176302,ENSG00000182004,ENSG00000100138,ENSG00000101888,ENSG00000102048,ENSG00000104164,ENSG00000104852,ENSG00000115317,ENSG00000132382,ENSG00000134046,ENSG00000158710,ENSG00000164675,ENSG00000167088,ENSG00000171453,ENSG00000172062,ENSG00000184351,ENSG00000184724,ENSG00000187026,ENSG00000268988,ENSG00000023734,ENSG00000046647,ENSG00000107290,ENSG00000116918,ENSG00000141499,ENSG00000143977,ENSG00000151923,ENSG00000164404,ENSG00000176105,ENSG00000185246,ENSG00000198353,ENSG00000198513,ENSG00000205571,ENSG00000125743,ENSG00000168090","NA"
"ExEm Foam","Air polymer-type A","AIRPOLYMER-TYPEA","CHEMBL4594264","Giskit","Ultrasound contrast agent","No human target","Assess fallopian tube patency in women with known or suspected infertility","infertility","EFO_0000545","Not serious","S","2019","CHEMBL4594264","NA","NA","NA"
"Exkivity","Mobocertinib","Mobocertinib","CHEMBL4650319","Takeda","EGFR kinase inhibitor","Oncology","EGFR exon 20-mutated NSCLC","non-small cell lung carcinoma","EFO_0003060","Serious","P,O,B,A,F","2021","CHEMBL4650319","ENSG00000146648","ENSG00000008735,ENSG00000012061,ENSG00000043462,ENSG00000061273,ENSG00000067606,ENSG00000069345,ENSG00000081237,ENSG00000090520,ENSG00000100170,ENSG00000100591,ENSG00000104341,ENSG00000104756,ENSG00000104904,ENSG00000106211,ENSG00000107317,ENSG00000110395,ENSG00000110651,ENSG00000113070,ENSG00000115085,ENSG00000115415,ENSG00000120053,ENSG00000124942,ENSG00000126561,ENSG00000127329,ENSG00000130340,ENSG00000131016,ENSG00000134308,ENSG00000136573,ENSG00000138363,ENSG00000142669,ENSG00000143322,ENSG00000143933,ENSG00000151491,ENSG00000160014,ENSG00000162704,ENSG00000163235,ENSG00000182636,ENSG00000182718,ENSG00000183918,ENSG00000198909,ENSG00000000938,ENSG00000006125,ENSG00000058262,ENSG00000064999,ENSG00000091831,ENSG00000096384,ENSG00000100614,ENSG00000103876,ENSG00000107643,ENSG00000111816,ENSG00000115145,ENSG00000115540,ENSG00000116254,ENSG00000117152,ENSG00000117461,ENSG00000124207,ENSG00000133124,ENSG00000135506,ENSG00000135823,ENSG00000136205,ENSG00000137267,ENSG00000140575,ENSG00000141198,ENSG00000146648,ENSG00000154556,ENSG00000157500,ENSG00000158092,ENSG00000160255,ENSG00000166313,ENSG00000168036,ENSG00000171132,ENSG00000174791,ENSG00000182473,ENSG00000186868,ENSG00000196961,ENSG00000197943,ENSG00000204388,ENSG00000213658,ENSG00000214193,ENSG00000004478,ENSG00000008056,ENSG00000044115,ENSG00000044574,ENSG00000071537,ENSG00000080031,ENSG00000096060,ENSG00000096968,ENSG00000100324,ENSG00000102606,ENSG00000105245,ENSG00000105976,ENSG00000113013,ENSG00000113580,ENSG00000114805,ENSG00000118363,ENSG00000121653,ENSG00000125731,ENSG00000126088,ENSG00000126581,ENSG00000132669,ENSG00000133961,ENSG00000135046,ENSG00000137463,ENSG00000142208,ENSG00000145016,ENSG00000145335,ENSG00000147010,ENSG00000148053,ENSG00000148082,ENSG00000149177,ENSG00000154277,ENSG00000154710,ENSG00000159352,ENSG00000161203,ENSG00000169375,ENSG00000170312,ENSG00000182511,ENSG00000184557,ENSG00000185046,ENSG00000185483,ENSG00000185634,ENSG00000186834,ENSG00000197122,ENSG00000198561,ENSG00000206052,ENSG00000014641,ENSG00000042753,ENSG00000071051,ENSG00000075415,ENSG00000101182,ENSG00000102189,ENSG00000103653,ENSG00000109321,ENSG00000109684,ENSG00000109971,ENSG00000110011,ENSG00000111252,ENSG00000111679,ENSG00000113263,ENSG00000115325,ENSG00000127191,ENSG00000129946,ENSG00000141480,ENSG00000141655,ENSG00000142949,ENSG00000144749,ENSG00000149428,ENSG00000168003,ENSG00000169047,ENSG00000170248,ENSG00000170293,ENSG00000172757,ENSG00000178568,ENSG00000183020,ENSG00000184524,ENSG00000196154,ENSG00000198668,ENSG00000015479,ENSG00000027869,ENSG00000046653,ENSG00000057294,ENSG00000067992,ENSG00000072135,ENSG00000077232,ENSG00000092820,ENSG00000097007,ENSG00000101336,ENSG00000103266,ENSG00000105974,ENSG00000106299,ENSG00000107295,ENSG00000110711,ENSG00000111640,ENSG00000114737,ENSG00000124882,ENSG00000127824,ENSG00000134242,ENSG00000134853,ENSG00000135052,ENSG00000137076,ENSG00000137486,ENSG00000140600,ENSG00000141736,ENSG00000142627,ENSG00000143294,ENSG00000149925,ENSG00000155926,ENSG00000165025,ENSG00000165731,ENSG00000167601,ENSG00000169045,ENSG00000169398,ENSG00000174808,ENSG00000198853,ENSG00000204389,ENSG00000033327,ENSG00000034713,ENSG00000065361,ENSG00000067182,ENSG00000087586,ENSG00000099942,ENSG00000100280,ENSG00000101082,ENSG00000101213,ENSG00000101558,ENSG00000105971,ENSG00000106070,ENSG00000109458,ENSG00000117450,ENSG00000120694,ENSG00000131746,ENSG00000132155,ENSG00000150403,ENSG00000151834,ENSG00000153707,ENSG00000154237,ENSG00000159176,ENSG00000163697,ENSG00000164615,ENSG00000165527,ENSG00000167552,ENSG00000170606,ENSG00000177885,ENSG00000179295,ENSG00000184575,ENSG00000185499,ENSG00000185896,ENSG00000188191,ENSG00000189043,ENSG00000198799,ENSG00000254087,ENSG00000269335,ENSG00000011132,ENSG00000011485,ENSG00000050748,ENSG00000094631,ENSG00000095370,ENSG00000101134,ENSG00000102309,ENSG00000104814,ENSG00000105401,ENSG00000105613,ENSG00000116285,ENSG00000123384,ENSG00000124181,ENSG00000125170,ENSG00000127947,ENSG00000130402,ENSG00000131558,ENSG00000132970,ENSG00000138798,ENSG00000140009,ENSG00000141968,ENSG00000142192,ENSG00000144554,ENSG00000144724,ENSG00000145675,ENSG00000145715,ENSG00000149269,ENSG00000159228,ENSG00000162591,ENSG00000166598,ENSG00000168610,ENSG00000170581,ENSG00000173801,ENSG00000174437,ENSG00000175203,ENSG00000175866,ENSG00000178078,ENSG00000178188,ENSG00000184144,ENSG00000185359,ENSG00000197102,ENSG00000198399,ENSG00000204305,ENSG00000240972,ENSG00000253729,ENSG00000067225,ENSG00000069869,ENSG00000080824,ENSG00000085063,ENSG00000085733,ENSG00000088930,ENSG00000092758,ENSG00000100351,ENSG00000100485,ENSG00000102010,ENSG00000105647,ENSG00000105701,ENSG00000107263,ENSG00000111669,ENSG00000113108,ENSG00000115904,ENSG00000123908,ENSG00000130558,ENSG00000130706,ENSG00000131171,ENSG00000132639,ENSG00000132670,ENSG00000136810,ENSG00000137193,ENSG00000137462,ENSG00000138698,ENSG00000139625,ENSG00000146674,ENSG00000148180,ENSG00000154127,ENSG00000154229,ENSG00000157168,ENSG00000158402,ENSG00000160691,ENSG00000164924,ENSG00000166913,ENSG00000167193,ENSG00000168439,ENSG00000169139,ENSG00000170677,ENSG00000173020,ENSG00000175793,ENSG00000176105,ENSG00000177666,ENSG00000182585,ENSG00000196396,ENSG00000250722,ENSG00000254772,ENSG00000039068,ENSG00000105649,ENSG00000133056,ENSG00000136235","NA"
"Exondys 51","Eteplirsen","ETEPLIRSEN","CHEMBL2108278","Sarepta Therapeutics","ASO designed to target dystrophin pre-mRNA","Other indication","Duchenne muscular dystrophy","Duchenne muscular dystrophy","MONDO_0010679","Serious","P,O,A,F","2016","CHEMBL2108278","ENSG00000198947","ENSG00000152240,ENSG00000171345,ENSG00000101400,ENSG00000168807,ENSG00000171873,ENSG00000119326,ENSG00000138101,ENSG00000173402,ENSG00000187555,ENSG00000101076,ENSG00000171621,ENSG00000134769,ENSG00000172164,ENSG00000100151","NA"
"Farxiga","Dapagliflozin","DAPAGLIFLOZIN","CHEMBL429910","AstraZeneca","SGLT2 inhibitor","Other indication","Type 2 diabetes","type 2 diabetes mellitus","MONDO_0005148","Not concordant","S,F","2014","CHEMBL429910","ENSG00000140675","NA","Orphanet_79161,HP_0003076"
"Farydak","Panobinostat","PANOBINOSTAT","CHEMBL483254","Novartis","Histone deacetylase inhibitor","Oncology","Multiple myeloma","multiple myeloma","EFO_0001378","Serious","P,O,A","2015","CHEMBL483254","ENSG00000061273,ENSG00000116478,ENSG00000196591,ENSG00000171720,ENSG00000068024,ENSG00000163517,ENSG00000094631,ENSG00000108840,ENSG00000100429,ENSG00000048052,ENSG00000147099","ENSG00000031691,ENSG00000057935,ENSG00000101457,ENSG00000103202,ENSG00000103254,ENSG00000107485,ENSG00000109089,ENSG00000110092,ENSG00000113068,ENSG00000114107,ENSG00000115484,ENSG00000117475,ENSG00000124496,ENSG00000124782,ENSG00000128340,ENSG00000128596,ENSG00000132005,ENSG00000135365,ENSG00000137404,ENSG00000140382,ENSG00000141644,ENSG00000142599,ENSG00000147223,ENSG00000150459,ENSG00000155959,ENSG00000157259,ENSG00000158406,ENSG00000158636,ENSG00000164916,ENSG00000169083,ENSG00000169744,ENSG00000172534,ENSG00000174744,ENSG00000176903,ENSG00000178691,ENSG00000180530,ENSG00000196591,ENSG00000197978,ENSG00000268606,ENSG00000276180,ENSG00000053702,ENSG00000070831,ENSG00000083799,ENSG00000086061,ENSG00000089902,ENSG00000091831,ENSG00000100151,ENSG00000100697,ENSG00000100916,ENSG00000101266,ENSG00000105556,ENSG00000123240,ENSG00000134046,ENSG00000135624,ENSG00000135951,ENSG00000137575,ENSG00000138100,ENSG00000149480,ENSG00000153046,ENSG00000159363,ENSG00000162521,ENSG00000166716,ENSG00000167491,ENSG00000167604,ENSG00000169554,ENSG00000170234,ENSG00000182095,ENSG00000185658,ENSG00000185963,ENSG00000197061,ENSG00000197837,ENSG00000215193,ENSG00000274618,ENSG00000007062,ENSG00000011243,ENSG00000064703,ENSG00000101255,ENSG00000101412,ENSG00000103275,ENSG00000108953,ENSG00000111328,ENSG00000111707,ENSG00000116288,ENSG00000117155,ENSG00000123349,ENSG00000127152,ENSG00000127511,ENSG00000131737,ENSG00000132522,ENSG00000133818,ENSG00000135249,ENSG00000136436,ENSG00000139687,ENSG00000146731,ENSG00000158773,ENSG00000163848,ENSG00000164105,ENSG00000164576,ENSG00000169375,ENSG00000171360,ENSG00000171720,ENSG00000172216,ENSG00000172380,ENSG00000173039,ENSG00000173805,ENSG00000178951,ENSG00000181449,ENSG00000184619,ENSG00000185591,ENSG00000186432,ENSG00000197238,ENSG00000198176,ENSG00000198681,ENSG00000205571,ENSG00000213999,ENSG00000074266,ENSG00000102144,ENSG00000104964,ENSG00000109320,ENSG00000109906,ENSG00000124216,ENSG00000135363,ENSG00000143614,ENSG00000147130,ENSG00000148400,ENSG00000149639,ENSG00000149923,ENSG00000156374,ENSG00000160972,ENSG00000162924,ENSG00000167110,ENSG00000170027,ENSG00000171446,ENSG00000172062,ENSG00000179409,ENSG00000180357,ENSG00000181090,ENSG00000185345,ENSG00000196747,ENSG00000197079,ENSG00000197386,ENSG00000198795,ENSG00000278677,ENSG00000020633,ENSG00000065361,ENSG00000068903,ENSG00000081189,ENSG00000101945,ENSG00000105287,ENSG00000106511,ENSG00000109099,ENSG00000122042,ENSG00000128245,ENSG00000129654,ENSG00000129911,ENSG00000130816,ENSG00000131910,ENSG00000139146,ENSG00000141736,ENSG00000141741,ENSG00000145358,ENSG00000146648,ENSG00000146809,ENSG00000150347,ENSG00000150753,ENSG00000151612,ENSG00000156030,ENSG00000157500,ENSG00000163618,ENSG00000163697,ENSG00000164283,ENSG00000166226,ENSG00000166851,ENSG00000166913,ENSG00000168036,ENSG00000169016,ENSG00000170788,ENSG00000179348,ENSG00000183305,ENSG00000183323,ENSG00000196363,ENSG00000196498,ENSG00000196535,ENSG00000204843,ENSG00000276966,ENSG00000278637,ENSG00000005436,ENSG00000073614,ENSG00000085733,ENSG00000100201,ENSG00000121741,ENSG00000125630,ENSG00000131738,ENSG00000136238,ENSG00000136715,ENSG00000136997,ENSG00000137478,ENSG00000141027,ENSG00000156261,ENSG00000159692,ENSG00000162390,ENSG00000164331,ENSG00000166946,ENSG00000167771,ENSG00000168556,ENSG00000172638,ENSG00000174197,ENSG00000175793,ENSG00000177565,ENSG00000178568,ENSG00000181163,ENSG00000183092,ENSG00000183690,ENSG00000196388,ENSG00000196700,ENSG00000196787,ENSG00000204209,ENSG00000204220,ENSG00000204889,ENSG00000205643,ENSG00000213523,ENSG00000270276,ENSG00000066185,ENSG00000066427,ENSG00000068305,ENSG00000101040,ENSG00000101126,ENSG00000102054,ENSG00000113916,ENSG00000116478,ENSG00000129195,ENSG00000137055,ENSG00000138738,ENSG00000139083,ENSG00000141510,ENSG00000141526,ENSG00000142182,ENSG00000143256,ENSG00000143390,ENSG00000145335,ENSG00000150991,ENSG00000164924,ENSG00000169750,ENSG00000173020,ENSG00000181472,ENSG00000182195,ENSG00000198160,ENSG00000204713,ENSG00000223501,ENSG00000266074,ENSG00000273542,ENSG00000275221,ENSG00000276903,ENSG00000278705,ENSG00000288547,ENSG00000054267,ENSG00000066739,ENSG00000068024,ENSG00000068400,ENSG00000071655,ENSG00000080561,ENSG00000094796,ENSG00000095066,ENSG00000100395,ENSG00000101493,ENSG00000101849,ENSG00000105127,ENSG00000108654,ENSG00000108840,ENSG00000109118,ENSG00000117625,ENSG00000120438,ENSG00000125457,ENSG00000131149,ENSG00000134308,ENSG00000134686,ENSG00000140743,ENSG00000143321,ENSG00000143373,ENSG00000155330,ENSG00000159086,ENSG00000160207,ENSG00000162676,ENSG00000163468,ENSG00000167552,ENSG00000170004,ENSG00000172936,ENSG00000182979,ENSG00000186628,ENSG00000196843,ENSG00000197114,ENSG00000204371,ENSG00000270882,ENSG00000275126,ENSG00000277157,ENSG00000004487,ENSG00000064961,ENSG00000100109,ENSG00000111642,ENSG00000120948,ENSG00000132938,ENSG00000157933,ENSG00000162367,ENSG00000167967,ENSG00000171940","MONDO_0004095"
"Fasenra","Benralizumab","BENRALIZUMAB","CHEMBL1742991","AstraZeneca","IL-5Ralpha-directed monoclonal antibody","Other indication","Serious asthma","Status Asthmaticus","EFO_0008590","Serious","S","2017","CHEMBL1742991","ENSG00000091181","ENSG00000100368,ENSG00000113525,ENSG00000137575,ENSG00000096968","MONDO_0004979"
"Fetroja","Cefiderocol","CEFIDEROCOL","CHEMBL3989974","Shionogi","Cephalosporin antibacterial","No human target","Complicated urinary tract infections","urinary tract infection","EFO_0003103","Not serious","P,F","2019","CHEMBL3989974","NA","NA","NA"
"Fexinidazole","Fexinidazole","Fexinidazole","CHEMBL1631694","Sanofi/DNDi","Nitroimidazole antimicrobial","No human target","Sleeping sickness","NA","NA","NA","P,O","2021","CHEMBL1631694","NA","NA","NA"
"Firdapse","Amifampridine","AMIFAMPRIDINE","CHEMBL354077","Catalyst Pharmaceuticals","Potassium channel blocker","Other indication","Lambert-Eaton myasthenic syndrome","Lambert-Eaton myasthenic syndrome","Orphanet_43393","Serious","P,O","2018","CHEMBL354077","ENSG00000182255,ENSG00000130037,ENSG00000182674,ENSG00000177272,ENSG00000143105,ENSG00000151079,ENSG00000111262,ENSG00000104848,ENSG00000184611,ENSG00000102057,ENSG00000124134,ENSG00000166006,ENSG00000158445,ENSG00000117013,ENSG00000075043,ENSG00000184156,ENSG00000185760,ENSG00000170745,ENSG00000026559,ENSG00000171126,ENSG00000183960,ENSG00000168418,ENSG00000140015,ENSG00000131398,ENSG00000178342,ENSG00000173826,ENSG00000162975,ENSG00000171385,ENSG00000184408,ENSG00000135519,ENSG00000177301,ENSG00000164794,ENSG00000143473,ENSG00000129159,ENSG00000116396,ENSG00000053918,ENSG00000168263,ENSG00000156486,ENSG00000055118,ENSG00000089558","ENSG00000077522,ENSG00000107882,ENSG00000175283,NA,ENSG00000111262,ENSG00000130066,ENSG00000134049,ENSG00000137210,ENSG00000143384,ENSG00000175514,ENSG00000179029,ENSG00000182132,ENSG00000187555,ENSG00000196937,ENSG00000112038,ENSG00000137575,ENSG00000171517,ENSG00000176105,ENSG00000179593,ENSG00000186318,ENSG00000120742,ENSG00000156795,ENSG00000164615,ENSG00000172005,ENSG00000180509,ENSG00000104969,ENSG00000120049,ENSG00000128335,ENSG00000139644,ENSG00000145982,ENSG00000171703,ENSG00000206560,ENSG00000049656,ENSG00000100300,ENSG00000147378,ENSG00000198668,ENSG00000215251,ENSG00000055118,ENSG00000112473,ENSG00000115687,ENSG00000126251,ENSG00000126391,ENSG00000143105,ENSG00000160014,ENSG00000197191,ENSG00000286219,ENSG00000105974,ENSG00000132535,ENSG00000137693,ENSG00000143933,ENSG00000151117,ENSG00000171135,ENSG00000177272","NA"
"Flortaucipir F-18","Flortaucipir F-18","FLORTAUCIPIRF-18","CHEMBL3545253","Eli Lilly","Radioactive diagnostic","Other indication","Imaging, tau in Alzheimer disease","Alzheimer disease","MONDO_0004975","Serious","P","2020","CHEMBL3545253","ENSG00000186868","ENSG00000006659,ENSG00000103266,ENSG00000109971,ENSG00000143933,ENSG00000198668,ENSG00000096060,ENSG00000124214,ENSG00000136367,ENSG00000175166,ENSG00000185624,ENSG00000197122,ENSG00000204389,ENSG00000134308,ENSG00000136059,ENSG00000153944,ENSG00000175793,ENSG00000177189,ENSG00000186868,ENSG00000188906,ENSG00000204843,ENSG00000072518,ENSG00000110367,ENSG00000110436,ENSG00000115687,ENSG00000134516,ENSG00000165732,ENSG00000170027,ENSG00000182718,ENSG00000185345,ENSG00000275700,ENSG00000108953,ENSG00000136717,ENSG00000142192,ENSG00000164924,ENSG00000167552,ENSG00000175203,ENSG00000075624,ENSG00000100784,ENSG00000117676,ENSG00000118515,ENSG00000135097,ENSG00000146648,ENSG00000166033,ENSG00000171867,ENSG00000229359,ENSG00000084764,ENSG00000096384,ENSG00000130203,ENSG00000142208,ENSG00000142330,ENSG00000145335,ENSG00000004478,ENSG00000010810,ENSG00000082701,ENSG00000105723,ENSG00000108443,ENSG00000160014,ENSG00000164885,ENSG00000108107","NA"
"Fluorodopa F-18","Fluorodopa F-18","FLUORODOPAF-18","CHEMBL3400972","Feinstein Institutes","Radioactive diagnostic","No human target","Diagnosis of parkinsonian syndromes","Parkinson disease","MONDO_0005180","Serious","S","2019","CHEMBL3400972","NA","NA","NA"
"Fluoroestradiol F-18","Fluoroestradiol F-18","FLUOROESTRADIOLF-18","CHEMBL4594261","Zionexa","Radioactive diagnostic","Other indication","Imaging, breast cancer","breast carcinoma","EFO_0000305","Serious","S","2020","CHEMBL4594261","ENSG00000186868","ENSG00000006659,ENSG00000143933,ENSG00000146648,ENSG00000188906,ENSG00000198668,ENSG00000204389,ENSG00000204843,ENSG00000096384,ENSG00000165732,ENSG00000185624,ENSG00000229359,ENSG00000108107,ENSG00000109971,ENSG00000110367,ENSG00000124214,ENSG00000166033,ENSG00000175793,ENSG00000100784,ENSG00000108443,ENSG00000130203,ENSG00000134516,ENSG00000142330,ENSG00000082701,ENSG00000105723,ENSG00000108953,ENSG00000118515,ENSG00000136367,ENSG00000136717,ENSG00000175203,ENSG00000010810,ENSG00000084764,ENSG00000115687,ENSG00000164885,ENSG00000164924,ENSG00000167552,ENSG00000177189,ENSG00000182718,ENSG00000185345,ENSG00000186868,ENSG00000072518,ENSG00000096060,ENSG00000103266,ENSG00000110436,ENSG00000117676,ENSG00000136059,ENSG00000153944,ENSG00000160014,ENSG00000170027,ENSG00000175166,ENSG00000275700,ENSG00000004478,ENSG00000134308,ENSG00000135097,ENSG00000142192,ENSG00000142208,ENSG00000171867,ENSG00000197122,ENSG00000075624,ENSG00000145335","NA"
