drugId,yearApproval,brandDrugName,originalDrugName,drugName,targetIds,interactorIds,targetType,sponsor,properties,therapeuticArea,indication,diseaseName,diseaseIds,relatedIds,diseaseType,diseaseClass,reviewType,hasAnyGE,hasInteractorDiseasesGE,hasTargetRelatedGE,hasInteractorRelatedGE,hasTargetDiseaseGE
CHEMBL1257051,2014,Sivextro,Tedizolid,TEDIZOLID,NA,NA,Original,Cubist,Oxazolidinone-class antibacterial,No human target,ABSSSI (Acute Bacterial Skin and Skin Structure Infections),staphylococcal skin infections,EFO_1001849,NA,Original,Not serious,P,NA,NA,NA,NA,NA
CHEMBL2108670,2016,Zinplava,Bezlotoxumab,BEZLOTOXUMAB,NA,NA,Original,Merck & Co.,mAb against Clostridium difficile toxin,No human target,C. difficile recurrence,clostridium difficile infection,EFO_0009130,NA,Original,Serious,"P,F",NA,NA,NA,NA,NA
CHEMBL4298110,2019,Accrufer,Ferric maltol,FERRICMALTOL,NA,NA,Original,Shield Therapeutics,Iron replacement product,No human target,Iron deficiency anaemia,iron deficiency anemia,HP_0001891,EFO_0004272,Original,Not serious,S,NA,NA,NA,NA,NA
CHEMBL1688530,2014,Orbactiv,Oritavancin,ORITAVANCIN,NA,NA,Original,The Medicines Company,Semi-synthetic lipoglycopeptide,No human target,ABSSSI (Acute Bacterial Skin and Skin Structure Infections),staphylococcal skin infections,EFO_1001849,NA,Original,Not serious,P,NA,NA,NA,NA,NA
CHEMBL1908370,2014,Xtoro,Finafloxacin,FINAFLOXACIN,NA,NA,Original,Alcon,Fluoroquinolone antimicrobial,No human target,Acute otitis externa (swimmer's ear),otitis externa,EFO_0009560,NA,Original,Not serious,P,NA,NA,NA,NA,NA
CHEMBL4594411,2022,Xenoview,Xenon Xe 129 hyperpolarized,XenonXe129hyperpolarized,NA,NA,Original,Polarean,Hyperpolarized contrast agent,No human target,MRI-evaluation of lung ventilation,NA,NA,NA,Original,NA,S,NA,NA,NA,NA,NA
CHEMBL205596,2015,Cholbam,Cholic acid,CHOLICACID,NA,NA,Original,Retrophin,A primary bile acid,No human target,Bile acid synthesis disorders and peroxisomal disorders,peroxisomal disease; Disorder of bile acid synthesis,"MONDO_0019053,Orphanet_79168",NA,Original,Serious,"P,O",NA,NA,NA,NA,NA
CHEMBL290960,2020,Lampit,Nifurtimox,NIFURTIMOX,NA,NA,Original,Bayer,Nitrofuran antiprotozoal,No human target,Chagas disease,chagas disease,MONDO_0001444,NA,Original,Serious,"P,O,A",NA,NA,NA,NA,NA
CHEMBL1951095,2018,Xerava,Eravacycline,ERAVACYCLINE,NA,NA,Original,Tetraphase Pharmaceuticals,Tetracycline antibiotic,No human target,Complicated intra-abdominal infections,infectious disease,EFO_0005741,NA,Original,Serious,"P,F",NA,NA,NA,NA,NA
"CHEMBL3545363,CHEMBL3545123",2017,Mavyret,"Glecaprevir, pibrentasvir","GLECAPREVIR,PIBRENTASVIR","NA,NA",NA,Original,AbbVie,NS3/4A protease inhibitor plus a NS5A inhibitor,No human target,HCV,hepatitis C virus infection,EFO_0003047,NA,Original,Serious,"P,B,F",NA,NA,NA,NA,NA
CHEMBL406393,2015,Kybella,Deoxycholic acid,DEOXYCHOLICACID,NA,NA,Original,Kythera,Cytolytic drug,No human target,Fat below the chin,body fat distribution,EFO_0004341,NA,Original,Not serious,S,NA,NA,NA,NA,NA
"CHEMBL127,CHEMBL3317857",2017,Vabomere,"Meropenem, vaborbactam","MEROPENEM,VABORBACTAM","NA,NA",NA,Original,The Medicines Company/Rempex Pharmaceuticals,Carbapenem antimicrobial plus a ‚âà√≠‚Äö√¢¬ß-lactamase inhibitor,No human target,Complicated urinary tract infections,urinary tract infection,EFO_0003103,NA,Original,Not serious,"P,F",NA,NA,NA,NA,NA
CHEMBL498847,2017,Solosec,Secnidazole,SECNIDAZOLE,NA,NA,Original,Lupin,Nitroimidazole antimicrobial,No human target,Bacterial vaginosis,bacterial vaginosis,EFO_0003932,NA,Original,Not serious,"P,F",NA,NA,NA,NA,NA
CHEMBL1661,2020,Pizensy,Lactitol,LACTITOL,NA,NA,Original,Braintree Labs,Osmotic laxative,No human target,Chronic idiopathic constipation,Chronic constipation,HP_0012450,NA,Original,Not serious,S,NA,NA,NA,NA,NA
CHEMBL437765,2018,Aemcolo,Rifamycin,RIFAMYCIN,NA,NA,Original,Cosmo Technologies,Ansamycin antibacterial,No human target,Travellers diarrhoea,Diarrhea,HP_0002014,NA,Original,Not serious,"P,F",NA,NA,NA,NA,NA
CHEMBL501849,2013,Olysio,Simeprevir,SIMEPREVIR,NA,NA,Original,Janssen,HCV NS3/4A protease inhibitor,No human target,"Chronic HCV infection, as a component of a combination antiviral treatment regimen",hepatitis C virus infection,EFO_0003047,NA,Original,Serious,"P,F",NA,NA,NA,NA,NA
"CHEMBL1259059,CHEMBL3545062,CHEMBL3707372",2017,Vosevi,"Sofosbuvir, velpatasvir, voxilaprevir","SOFOSBUVIR,VELPATASVIR,VOXILAPREVIR","NA,NA,NA",NA,Original,Gilead Sciences,Nucleotide analogue NS5B polymerase inhibitor plus an NS5A inhibitor plus an NS3/4A protease inhibitor,No human target,HCV,hepatitis C virus infection,EFO_0003047,NA,Original,Serious,"P,B",NA,NA,NA,NA,NA
"CHEMBL3989866,CHEMBL885,CHEMBL2107825",2018,Biktarvy,"Bictegravir, emtricitabine, tenofovir alafenamide","BICTEGRAVIR,EMTRICITABINE,TENOFOVIRALAFENAMIDE","NA,NA,NA",NA,Original,Gilead Sciences,HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors,No human target,HIV,hiv infection,EFO_0000764,NA,Original,Serious,P,NA,NA,NA,NA,NA
CHEMBL2104415,2018,Moxidectin,Moxidectin,MOXIDECTIN,NA,NA,Original,Medicines Development for Global Health,Antihelmintic GABA receptor and glutamate channel modulator,No human target,River blindness,ocular onchocerciasis,EFO_0007398,NA,Original,Not concordant,"P,O",NA,NA,NA,NA,NA
CHEMBL298470,2018,Krintafel,Tafenoquine,TAFENOQUINE,NA,NA,Original,Medicines for Malaria Venture/GlaxoSmithKline,8-Aminoquinoline antimalarial,No human target,Plasmodium vivax malaria,Plasmodium vivax malaria,EFO_0007445,NA,Original,Serious,"P,O,B,F",NA,NA,NA,NA,NA
CHEMBL2364608,2018,Pifeltro,Doravirine,DORAVIRINE,NA,NA,Original,Merck & Co.,NNRTI,No human target,HIV,hiv infection,EFO_0000764,NA,Original,Serious,S,NA,NA,NA,NA,NA
"CHEMBL1689063,CHEMBL44354",2015,Avycaz,"Avibactam, ceftazidime","AVIBACTAM,CEFTAZIDIME","NA,NA",NA,Original,Allergan,A beta-lactamase inhibitor and a cephalosporin,No human target,Complicated intra-abdominal infections and complicated urinary tract infections,infection,EFO_0000544,Orphanet_169142,Original,Serious,"P,F",NA,NA,NA,NA,NA
CHEMBL3301594,2020,Rukobia,Fostemsavir,FOSTEMSAVIR,NA,NA,Original,ViiV Healthcare,Attachment inhibitor,No human target,HIV,hiv infection,EFO_0000764,NA,Original,Serious,"P,B,F",NA,NA,NA,NA,NA
CHEMBL443052,2014,Kerydin,Tavaborole,TAVABOROLE,NA,NA,Original,Anacor,Oxaborole antifungal,No human target,Onychomycosis of the toenails,paronychia,EFO_0007421,NA,Original,Not serious,S,NA,NA,NA,NA,NA
"CHEMBL204656,CHEMBL2095208,CHEMBL885,CHEMBL483",2015,Genvoya,"Elvitegravir, cobicistat, emtricitabine, tenofovir","ELVITEGRAVIR,COBICISTAT,EMTRICITABINE,TENOFOVIR","NA,ENSG00000160870,ENSG00000106258,ENSG00000160868,ENSG00000021461,NA,NA",NA,Original,Gilead,An INSTI plus a CYP3A inhibitor plus two nucleoside analogue reverse transcriptase inhibitors,No human target,HIV,HIV infection,EFO_0000764,NA,Original,Serious,"S,F",NA,FALSE,FALSE,FALSE,NA
CHEMBL4297634,2022,Elucirem,Gadopiclenol,Gadopiclenol,NA,NA,Original,Guerbet,Gadolinium-based contrast agent,No human target,Lesions with abnormal vascularity,NA,NA,NA,Original,NA,P,NA,NA,NA,NA,NA
"CHEMBL2103872,CHEMBL404",2014,Zerbaxa,"Ceftolozane, tazobactam","CEFTOLOZANE,TAZOBACTAM","NA,NA",NA,Original,Cubist,A cephalosporin antibacterial plus a beta-lactamase inhibitor,No human target,Complicated intra-abdominal infections and complicated urinary tract infections,infection,EFO_0000544,Orphanet_169142,Original,Serious,"P,F",NA,NA,NA,NA,NA
CHEMBL1689772,2018,Nuzyra,Omadacycline,OMADACYCLINE,NA,NA,Original,Paratek Pharmaceuticals,Tetracycline antibiotic,No human target,CABP and ABSSSI,bacterial pneumonia; skin disease caused by bacterial infection,"EFO_1001272,MONDO_0024295",NA,Original,Serious,"P,F",NA,NA,NA,NA,NA
CHEMBL290916,2017,Radicava,Edaravone,EDARAVONE,NA,NA,Original,Mitsubishi Tanabe,Unknown (radical scavenger),No human target,ALS (amyotrophic lateral sclerosis),amyotrophic lateral sclerosis,MONDO_0004976,NA,Original,Serious,"S,O",NA,NA,NA,NA,NA
CHEMBL4297620,2019,Sunosi,Solriamfetol,SOLRIAMFETOL,NA,NA,Original,Jazz,Dopamine and noradrenaline reuptake inhibitor,No human target,Excessive sleepiness due to narcolepsy or obstructive sleep apnoea,hypersomnia; narcolepsy; obstructive sleep apnea,"EFO_0005246,MONDO_0021107,EFO_0003918",NA,Original,Serious,"S,O",NA,NA,NA,NA,NA
CHEMBL4594438,2022,Sunlenca,Lenacapavir,Lenacapavir,NA,NA,Original,Gilead,HIV-1 capsid inhibitor,No human target,HIV-1 infection,HIV-1 infection,EFO_0000180,NA,Original,NA,"P,B,F",NA,NA,NA,NA,NA
"CHEMBL2403238,CHEMBL175691",2021,Cabenuva Kit,"Cabotegravir, rilpivirine","Cabotegravir,rilpivirine","NA,NA",NA,Original,ViiV,INSTI and an NNRTI,No human target,HIV-1 infection,NA,NA,NA,Original,NA,"P,F",NA,NA,NA,NA,NA
CHEMBL3544996,2015,Praxbind,Idarucizumab,IDARUCIZUMAB,NA,NA,Original,Boehringer Ingelheim,Dabigatran-binding mAb fragment,No human target,Reversal of anticoagulant effects of dabigatran,response to anticoagulant,GO_0061476,NA,Original,Not serious,"P,O,B,A",NA,NA,NA,NA,NA
"CHEMBL766,CHEMBL148,CHEMBL3301605",2019,Recarbrio,"Cilastatin, imipenem, relebactam","CILASTATIN,IMIPENEM,RELEBACTAM","ENSG00000015413,NA,NA",NA,Original,Merck & Co.,"A renal dehydropeptidase inhibitor, a penem antibacterial and a beta-lactamase inhibitor",No human target,Complicated urinary tract and complicated intra-abdominal infections,urinary tract infection,EFO_0003103,NA,Original,Not serious,"P,F",NA,FALSE,FALSE,FALSE,NA
CHEMBL4594388,2020,Ebanga,Ansuvimab,ANSUVIMAB,NA,NA,Original,Ridgeback,Ebola glycoprotein-directed mAb,No human target,Ebola virus,Ebola hemorrhagic fever,EFO_0007243,NA,Original,Serious,"P,O,B",NA,NA,NA,NA,NA
CHEMBL1086440,2019,Egaten,Triclabendazole,TRICLABENDAZOLE,NA,NA,Original,Novartis,Anthelmintic,No human target,Fascioliasis,fascioliasis,EFO_1001324,NA,Original,Not concordant,"P,O,F",NA,NA,NA,NA,NA
CHEMBL2205807,2020,Xeglyze,Abametapir,ABAMETAPIR,NA,NA,Original,Dr Reddy‚Äö√Ñ√∂‚àö√ë‚àö‚àÇ‚Äö√†√∂‚àö√´‚Äö√†√∂¬¨‚Ä¢s,Metalloproteinase inhibitor,No human target,Head lice,lice infestation,MONDO_0003472,NA,Original,Not serious,S,NA,NA,NA,NA,NA
CHEMBL4065616,2020,Veklury,Remdesivir,REMDESIVIR,NA,NA,Original,Gilead,Nucleotide analogue RNA polymerase inhibitor,No human target,COVID-19,covid-19,MONDO_0100096,NA,Original,Serious,"P,F",NA,NA,NA,NA,NA
CHEMBL4297503,2018,Xofluza,Baloxavir marboxil,BALOXAVIRMARBOXIL,NA,NA,Original,Shionogi/Roche,Polymerase acidic endonuclease inhibitor,No human target,Acute uncomplicated influenza,influenza,EFO_0007328,NA,Original,Not serious,P,NA,NA,NA,NA,NA
CHEMBL3291398,2019,Xenleta,Lefamulin,LEFAMULIN,NA,NA,Original,Nabriva,Pleuromutilin antibacterial,No human target,CABP,bacterial pneumonia,EFO_1001272,NA,Original,Serious,"P,F",NA,NA,NA,NA,NA
"CHEMBL3989402,CHEMBL139367",2014,Rapivab,Peramivir,"PERAMIVIR,PERAMIVIR","NA,NA",NA,Original,BioCryst,Neuraminidase inhibitor,No human target,Influenza infection,influenza,EFO_0007328,NA,Original,Not serious,"S,F",NA,NA,NA,NA,NA
CHEMBL100259,2015,Xuriden,Uridine,URIDINE,NA,NA,Original,Wellstat,Pyrimidine analogue,No human target,Hereditary orotic aciduria,Hereditary orotic aciduria,Orphanet_30,NA,Original,Serious,"P,O,B",NA,NA,NA,NA,NA
CHEMBL515408,2021,Livtencity,Maribavir,Maribavir,NA,NA,Original,Takeda,CMV pUL97 kinase inhibitor,No human target,Post-transplant CMV infection,NA,NA,NA,Original,NA,"P,O,B",NA,NA,NA,NA,NA
CHEMBL2107816,2013,Xofigo,Radium RA 223 dichloride,RADIUMRA223DICHLORIDE,NA,NA,Original,Bayer,Alpha particle-emitting radioactive therapeutic,No human target,Castration-resistant prostate cancer,prostate cancer,MONDO_0008315,NA,Original,Serious,"P,F",NA,NA,NA,NA,NA
CHEMBL1259059,2013,Sovaldi,Sofosbuvir,SOFOSBUVIR,NA,NA,Original,Gilead,HCV nucleotide analogue NS5B polymerase inhibitor,No human target,"Chronic HCV infection, as a component of a combination antiviral treatment regimen",hepatitis C virus infection,EFO_0003047,NA,Original,Serious,"P,B,F",NA,NA,NA,NA,NA
CHEMBL2364632,2018,Seysara,Sarecycline,SARECYCLINE,NA,NA,Original,Allergan,Tetracycline antibiotic,No human target,Serious acne vulgaris,acne,EFO_0003894,NA,Original,Not serious,S,NA,NA,NA,NA,NA
CHEMBL2111107,2015,Bridion,Sugammadex,SUGAMMADEX,NA,NA,Original,Merck & Co.,A modified gamma cyclodextrin,No human target,Reversal of neuromuscular blockade during surgery,neuromuscular disease,EFO_1001902,NA,Original,Serious,P,NA,NA,NA,NA,NA
CHEMBL3400972,2019,Fluorodopa F-18,Fluorodopa F-18,FLUORODOPAF-18,NA,NA,Original,Feinstein Institutes,Radioactive diagnostic,No human target,Diagnosis of parkinsonian syndromes,Parkinson disease,MONDO_0005180,NA,Original,Serious,S,NA,NA,NA,NA,NA
CHEMBL3301592,2018,Lokelma,Sodium zirconium cyclosilicate,SODIUMZIRCONIUMCYCLOSILICATE,NA,NA,Original,AstraZeneca,Potassium binder,No human target,Hyperkalaemia,hyperkalemia,HP_0002153,NA,Original,Not concordant,S,NA,NA,NA,NA,NA
CHEMBL2105637,2017,Baxdela,Delafloxacin,DELAFLOXACIN,NA,NA,Original,Melinta Therapeutics,Fluoroquinolone antibacterial,No human target,Acute bacterial skin and skin structure infections,staphylococcal skin infections,EFO_1001849,NA,Original,Not serious,"P,F",NA,NA,NA,NA,NA
CHEMBL450449,2015,Yondelis,Trabectedin,TRABECTEDIN,NA,NA,Original,Johnson & Johnson,Alkylating drug,NA,Liposarcoma or leiomyosarcoma,liposarcoma; leiomyosarcoma,"EFO_0000569,EFO_0000564",NA,Original,Serious,"P,O",NA,NA,NA,NA,NA
CHEMBL3301669,2014,Dalvance,Dalbavancin,DALBAVANCIN,NA,NA,Original,Durata,Semisynthetic lipoglycopeptide,No human target,ABSSSI (Acute Bacterial Skin and Skin Structure Infections),staphylococcal skin infections,EFO_1001849,NA,Original,Not serious,"P,F",NA,NA,NA,NA,NA
"CHEMBL4298183,CHEMBL4298188,CHEMBL4298184",2020,Inmazeb,"Atoltivimab, odesivimab, maftivimab","ATOLTIVIMAB,ODESIVIMAB,MAFTIVIMAB","NA,NA,NA",NA,Original,Regeneron,Cocktail of Ebola glycoprotein-directed mAbs,No human target,Ebola virus,Ebola hemorrhagic fever,EFO_0007243,NA,Original,Serious,"P,O,B",NA,NA,NA,NA,NA
CHEMBL2107840,2015,Veltassa,Patiromer sorbitex,PATIROMERSORBITEX,NA,NA,Original,Relypsa,Potassium binder,No human target,Hyperkalaemia,Hyperkalemia,HP_0002153,NA,Original,Not concordant,S,NA,NA,NA,NA,NA
CHEMBL3311228,2022,Vivjoa,Oteseconazole,Oteseconazole,NA,NA,Original,Mycovia,Azole antifungal,No human target,Vulvovaginal candidiasis,vulvovaginal candidiasis,EFO_0007543,NA,Original,NA,"P,F",NA,NA,NA,NA,NA
CHEMBL4594264,2019,ExEm Foam,Air polymer-type A,AIRPOLYMER-TYPEA,NA,NA,Original,Giskit,Ultrasound contrast agent,No human target,Assess fallopian tube patency in women with known or suspected infertility,infertility,EFO_0000545,NA,Original,Not serious,S,NA,NA,NA,NA,NA
CHEMBL4297535,2018,Omegaven,Fish oil triglycerides,FISHOILTRIGLYCERIDES,NA,NA,Original,Fresenius,Mixture of fatty acids,No human target,Parenteral nutrition-associated cholestasis,cholestasis,MONDO_0001751,NA,Original,Serious,"P,O,F",NA,NA,NA,NA,NA
CHEMBL3990047,2017,Xepi,Ozenoxacin,OZENOXACIN,NA,NA,Original,Ferrer Internacional,Quinolone antimicrobial,No human target,Impetigo due to Staphylococcus aureus or Streptococcus pyogenes,impetigo,EFO_1000714,NA,Original,Not serious,S,NA,NA,NA,NA,NA
CHEMBL1229211,2013,Tivicay,Dolutegravir,DOLUTEGRAVIR,NA,NA,Original,ViiV,HIV1 integrase strand transfer inhibitor,No human target,"HIV1 infection in adults and children, in combination with other antiretroviral agents",HIV infection,EFO_0000764,NA,Original,Serious,"P,F",NA,NA,NA,NA,NA
NA,2022,NexoBrid,Anacaulase,Anacaulase,NA,NA,Original,Mediwound,Proteolytic enzymes from pineapple plants,No human target,Eschar removal after thermal burns,NA,NA,NA,Original,NA,"S,O",NA,NA,NA,NA,NA
"CHEMBL1746,CHEMBL272427",2022,Relyvrio,"Sodium phenylbutyrate, taurursodiol","Sodiumphenylbutyrate,taurursodiol","NA,NA",NA,Original,Amylyx,Mechanism unknown,No human target,Amyotrophic lateral sclerosis,amyotrophic lateral sclerosis,MONDO_0004976,NA,Original,Serious,"P,O",NA,NA,NA,NA,NA
CHEMBL2023898,2015,Daklinza,Daclatasvir,DACLATASVIR,NA,NA,Original,Bristol-Myers Squibb,NS5A inhibitor,No human target,HCV,hepatitis C virus infection,EFO_0003047,NA,Original,Serious,"P,F",NA,NA,NA,NA,NA
CHEMBL3544926,2016,Anthim,Obiltoxaximab,OBILTOXAXIMAB,NA,NA,Original,Elusys Therapeutics,mAb against anthrax toxin,No human target,Anthrax,anthrax infection,EFO_0000778,NA,Original,Serious,"S,O,F",NA,NA,NA,NA,NA
CHEMBL227875,2019,Pretomanid,Pretomanid,PRETOMANID,NA,NA,Original,Pfizer/Mylan,Antimycobacterial,No human target,Tuberculosis,tuberculosis,MONDO_0018076,NA,Original,Serious,"P,O,F",NA,NA,NA,NA,NA
CHEMBL4303060,2021,Pepaxto,Melphalan flufenamide,Melphalanflufenamide,NA,NA,Original,Oncopeptides,Peptide-conjugated alkylating drug,NA,Multiple myeloma,multiple myeloma,EFO_0001378,MONDO_0004095,Original,Serious,"P,O,A",NA,NA,NA,NA,NA
CHEMBL4297585,2020,Dojolvi,Triheptanoin,TRIHEPTANOIN,NA,NA,Original,Ultragenyx,Medium-chain triglyceride,No human target,LC-FAODs,inherited fatty acid metabolism disorder,MONDO_0037858,NA,Original,Serious,"S,O,F",NA,NA,NA,NA,NA
"CHEMBL2079130,CHEMBL1082,CHEMBL1741",2022,Voquezna Triple Pak,"Vonoprazan, amoxicillin, clarithromycin","Vonoprazan,amoxicillin,clarithromycin","ENSG00000186009,ENSG00000105675,NA,NA",NA,Original,Phathom,Potassium-competitive acid blocker plus a penicillin class antibacterial plus a macrolide antimicrobial,Other indication,Helicobacter pylori infection,Helicobacter pylori infectious disease,EFO_1000961,NA,Original,Not serious,"P,F",NA,FALSE,FALSE,FALSE,NA
CHEMBL1863514,2021,Rylaze,Asparaginase erwinia chrysanthemi,Asparaginaseerwiniachrysanthemi,NA,NA,Original,Jazz,Recombinant asparagine-specific enzyme,NA,"ALL and LBL, in patients allergic to E. coli-derived products",acute lymphoblastic leukemia; lymphoblastic lymphoma,"EFO_0000220,MONDO_0000873",NA,Original,Serious,"S,O,F",NA,NA,NA,NA,NA
CHEMBL1256391,2014,Esbriet,Pirfenidone,PIRFENIDONE,NA,NA,Original,InterMune,MOA unknown,No human target,IPF (idiopathic pulmonary fibrosis),idiopathic pulmonary fibrosis,EFO_0000768,NA,Original,Serious,"P,O,B,F",NA,NA,NA,NA,NA
CHEMBL2103877,2014,Jublia,Efinaconazole,EFINACONAZOLE,NA,NA,Original,Dow,Azole antifungal,No human target,Onychomycosis of the toenails,paronychia,EFO_0007421,NA,Original,Not serious,S,NA,NA,NA,NA,NA
"CHEMBL2374220,CHEMBL1259059",2014,Harvoni,"Ledipasvir, sofosbuvir","LEDIPASVIR,SOFOSBUVIR","NA,NA",NA,Original,Gilead Sciences,An NS5A inhibitor plus an HCV nucleotide-analogue NS5B-polymerase inhibitor,No human target,Genotype 1 HCV,hepatitis C virus infection,EFO_0003047,NA,Original,Serious,"P,B,F",NA,NA,NA,NA,NA
CHEMBL1631694,2021,Fexinidazole,Fexinidazole,Fexinidazole,NA,NA,Original,Sanofi/DNDi,Nitroimidazole antimicrobial,No human target,Sleeping sickness,NA,NA,NA,Original,NA,"P,O",NA,NA,NA,NA,NA
CHEMBL2105689,2013,Luzu,Luliconazole,LULICONAZOLE,NA,NA,Original,Medicis,Azole antifungal,No human target,"Interdigital tinea pedis, tinea cruris and tinea corporis caused by Trichophyton rubrum and Epidermophyton floccosum",tinea,EFO_0007510,NA,Original,Not serious,S,NA,NA,NA,NA,NA
CHEMBL4297984,2020,Danyelza,Naxitamab,NAXITAMAB,NA,NA,Original,Y-mAbs Therapeutics,GD2-directed mAb,NA,High-risk neuroblastoma,neuroblastoma,EFO_0000621,NA,Original,Serious,"P,O,B,A",NA,NA,NA,NA,NA
CHEMBL3137342,2015,Unituxin,Dinutuximab,DINUTUXIMAB,NA,NA,Original,United Therapeutics,GD2-binding mAb,NA,Neuroblastoma,neuroblastoma,EFO_0000621,NA,Original,Serious,"P,O",NA,NA,NA,NA,NA
CHEMBL4297516,2020,Zepzelca,Lurbinectedin,LURBINECTEDIN,NA,NA,Original,Jazz,Alkylating drug,NA,Small-cell lung cancer,small cell lung carcinoma,EFO_0000702,NA,Original,Serious,"P,O,A",NA,NA,NA,NA,NA
"CHEMBL1259059,CHEMBL3545062",2016,Epclusa,"Sofosbuvir, velpatasvir","SOFOSBUVIR,VELPATASVIR","NA,NA",NA,Original,Gilead Sciences,A nucleotide analogue NS5B polymerase inhibitor plus an HCV NS5A inhibitor,No human target,"genotype 1, 2, 3 or 4 chronic hepatitis C virus (HCV)",hepatitis C virus infection,EFO_0003047,NA,Original,Serious,"P,B,F",NA,NA,NA,NA,NA
CHEMBL1183349,2015,Cresemba,Isavuconazonium,ISAVUCONAZONIUM,NA,NA,Original,Astellas,Azole antifungal,No human target,Antifungal,aspergillosis; mucormycosis,"EFO_0007157,EFO_0007380",NA,Original,Serious,"P,O",NA,NA,NA,NA,NA
CHEMBL4173394,2019,Tissueblue,Brilliant Blue G,BRILLIANTBLUEG,NA,NA,Original,Dutch Ophthalmic Research,Brilliant Blue G dye,No human target,Staining the internal limiting membrane,NA,NA,NA,Original,NA,"P,O",NA,NA,NA,NA,NA
NA,2014,Lumason,Sulfur hexafluoride lipid-type A microspheres,SULFURHEXAFLUORIDELIPID-TYPEAMICROSPHERES,NA,NA,Original,Bracco,Ultrasound contrast agent,No human target,Cardiovascular imaging,NA,NA,NA,Original,NA,S,NA,NA,NA,NA,NA
